"Smiles","CSCL-ISHL—S9_AMES","CSCL-ISHL+S9_AMES","CSCL-ISHLoverall_AMES","Kirkland et al 2005 & 2011 [1, 2]*_AMES","US NTP_AMES","ECHA_AMES","Kirkland et al 2005 & 2011 [1, 2]*MLA_invitro","US NTP_MLA_invitro","SCCS_MLA_invitro","CosE_MLA_invitro","ECHA_MLA_invitro","Kirkland et al 2005 & 2011 [1, 2]*_MN_invitro","SCCS_MN_invitro","CosE_MN_invitro","CSCL-ISHL—S9_CA_invitro","CSCL-ISHL+S9_CA_invitro","Kirkland et al 2005 & 2011 [1, 2]*_CA_invitro","US NTP_CA_invitro","EFSA_CA_invitro","SCCS_CA_invitro","CosE_CA_invitro","ECHA_CA_invitro","CSCL-ISHL_MN_invivo","Kirkland et al 2005 & 2011 [1, 2]*_MN_invivo","US NTP_MN_invivo","EFSA_MN_invivo","SCCS_MN_invivo","CosE_MN_invivo","ECHA_MN_invivo","Kirkland et al 2005 & 2011 [1, 2]*_CA_invivo","US NTP_CA_invivo","Kirkland et al 2005 & 2011 [1, 2]*_UDS_invivo","Kirkland et al 2005 & 2011 [1, 2]*-transgenic","Kirkland et al 2005 & 2011 [1, 2]*_DNAdmg_invivo","Kirkland et al 2005 & 2011 [1, 2]*_Carc","NTP_Carc","EFSA_Carc","ECHA_Carc"
"CCOCN(C(=O)CCl)c1c(C)cccc1CC",,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,
"CC(=O)Nc1cccc2Cc3ccccc3c12",,,,1,,,,,,,,0,,,,,0,,,,,,,,,,,,,0,,,1,,,,,
"CC(=O)ON(C(C)=O)c1ccc2c(Cc3ccccc23)c1",,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,
"CC(=O)OC(C=C)c1ccc2OCOc2c1",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"CC(=O)Nc1ccc2c(Cc3ccccc23)c1",,,,1,1,,1,1,,,,1,,,,,1,1,,,,,,1,,,,,,1,1,1,1,1,1,,,
"CC(=O)NNc1ccccc1",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"[NH4+].[NH4+].CCN(Cc1cccc(c1)[S]([O-])(=O)=O)c2ccc(cc2)[C+](c3ccc(cc3)N(CC)Cc4cccc(c4)[S]([O-])(=O)=O)c5ccccc5[S]([O-])(=O)=O",,,,1,,,0,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,
"C=CC=O",,,,1,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,0,,,
"C=CC#N",,,,1,1,,1,1,,,,,,,,,1,1,,,,,,,0,,,,,0,,0,0,1,1,1,,
"COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO",,,,1,,,1,,,,,1,,,,,1,,,,,,,1,1,,,,,1,,,,,,,,
"COc1cc2O[C@H]3OC=C[C@H]3c2c4OC(=O)C5=C(CC[C@@H]5O)c14",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"COc1cc2OC3OC=CC3c2c4OC(=O)C5=C(CCC5=O)c14",,,,1,,,,,,,,1,,,,,1,,,,,,,1,,,,,,1,,,1,0,1,,,
"NC(CCC(=O)NNc1ccc(CO)cc1)C(O)=O",,,,1,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,
"ClCC=C",1,1,1,,,,,,,,,,,,1,1,,,,,,,0,,,,,,,,,,,,,,,
"C=CCOCC1CO1",,,,1,1,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,1,1,,
"C=CCN=C=S",,,,,,,,1,,,,,,,,,1,1,,,,,,,0,,,,,,,0,,,1,1,,
"Nc1ccc2cc3ccccc3cc2c1",,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,
"Nc1cccc2C(=O)c3ccccc3C(=O)c12",0,1,1,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,
"Nc1ccc2C(=O)c3ccccc3C(=O)c2c1",,,,1,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,
"Nc1ccc(cc1)N=Nc2ccccc2",,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,
"Nc1ccc(cc1)c2ccccc2",,,,1,1,,1,,,,,,,,,,1,1,,,,,,1,1,,,,,1,,1,1,,1,,,
"Nc1ccc(cc1)c2ccc(Cl)cc2",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"Nc1cc(Cl)ccc1O",0,1,1,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
"Nc1ccc(cc1)\C=C\c2ccc(Cl)cc2",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"Cc1ccc(N)c(O)c1",,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,1,1,,,,,,,,,,
