CAS-RN,SMILES,train/test,LC50,CIC0,SM1_Dz(Z),GATS1i,NdsCH,NdssC,MLOGP
10-15-1,ClCCOC(=O)NC1CCCCC1,train,3.770,3.26,0.829,1.676,0,1,1.453
100-01-6,Nc1ccc(cc1)N(=O)=O,train,3.115,2.189,0.58,0.863,0,0,1.348
100-02-7,Oc1ccc(cc1)N(=O)=O,train,3.531,2.125,0.638,0.831,0,0,1.348
100-10-7,O=Cc1ccc(cc1)N(C)C,train,3.510,3.027,0.331,1.472,1,0,1.807
100-25-4,O=N(=O)c1ccc(cc1)N(=O)=O,train,5.390,2.094,0.827,0.86,0,0,1.886
100-37-8,OCCN(CC)CC,train,1.819,3.222,0.331,2.177,0,0,0.706
100-41-4,CCc1ccccc1,train,3.947,3.179,0,1.063,0,0,2.942
100-42-5,C=Cc1ccccc1,train,3.513,3,0,0.938,1,0,2.851
100-44-7,ClCc1ccccc1,train,4.402,2.62,0.499,0.99,0,0,2.942
100-46-9,NCc1ccccc1,train,3.021,2.834,0.134,0.95,0,0,1.591
100-47-0,N#Cc1ccccc1,train,3.210,2.405,0.134,0.843,0,0,1.769
100-51-6,OCc1ccccc1,train,2.371,2.728,0.223,0.953,0,0,1.591
100-52-7,O=Cc1ccccc1,train,3.919,2.512,0.223,0.929,1,0,1.769
100-61-8,CNc1ccccc1,train,3.030,2.834,0.134,1.237,0,0,1.859
100-64-1,ON=C1CCCCC1,test,2.736,2.819,0.331,1.271,0,1,0.981
100-70-9,N#Cc1ccccn1,train,2.157,2.126,0.251,1.114,0,0,0.143
100-71-0,CCc1ccccn1,train,2.413,2.834,0.134,1.322,0,0,1.199
100-79-8,OCC1COC(O1)(C)C,train,0.898,3.014,0.56,1.781,0,0,-0.115
100-97-0,C1N2CN3CN1CN(C2)C3,train,0.450,3.024,0.452,2.698,0,0,1.107
10031-82-0,CCOc1ccc(cc1)C=O,train,3.733,3.036,0.405,1.205,1,0,1.807
10042-84-9,OC(=O)CN(CC(=O)O)CC(=O)O,test,2.976,2.707,0.972,1.889,0,3,-1.169
101-20-2,O=C(Nc1ccc(c(c1)Cl)Cl)Nc1ccc(cc1)Cl,train,6.535,2.978,1.246,1.103,0,1,3.988
101-55-3,Brc1ccc(cc1)Oc1ccccc1,train,5.643,3.111,0.732,0.923,0,0,4.068
101-84-8,c1ccc(cc1)Oc1ccccc1,train,4.629,3.315,0.223,0.96,0,0,3.395
101836-92-4,O=N(=O)c1cc(N(=O)=O)c(c2c1cccc2)O,train,4.838,2.71,0.93,0.724,0,0,2.526
102-08-9,S=C(Nc1ccccc1)Nc1ccccc1,train,4.081,3.326,0.647,0.986,0,1,3.112
102-27-2,CCNc1cccc(c1)C,test,3.436,3.332,0.134,1.294,0,0,2.51
102-69-2,CCCN(CCC)CCC,test,3.450,3.896,0.134,1.984,0,0,2.591
102-71-6,OCCN(CCO)CCO,test,1.102,3.155,0.638,2.128,0,0,-0.937
10202-92-3,O=N(=O)c1ccc(c(c1C)N(=O)=O)N,train,4.257,2.479,0.887,0.954,0,0,1.748
10222-01-2,N#CC(C(=O)N)(Br)Br,test,5.386,1.075,1.161,0.865,0,1,0.024
103-05-9,CC(CCc1ccccc1)(O)C,train,3.393,3.645,0.223,1.155,0,0,2.837
103-76-4,OCCN1CCNCC1,train,1.308,3.079,0.429,2.135,0,0,-0.521
103-83-3,CN(Cc1ccccc1)C,train,3.554,3.332,0.134,1.519,0,0,2.242
103-90-2,CC(=O)Nc1ccc(cc1)O,test,2.269,2.726,0.496,1.179,0,1,1.06
