	"Activity"	"Structure_Name"	"set"	"Min_dist"	"Avg_dist"	"order"	"S_sCH3"	"S_ssCH2"	"S_aaCH"	"S_sssCH"	"S_dssC"	"S_aasC"	"S_ssNH"	"S_sssN"	"S_ddsN"	"S_dO"	"S_ssO"	"N_sssCH"	"N_dssC"	"N_aasC"	"IC"	"BIC"	"Rotlbonds"	"Hbond_acceptor"	"Hbond_donor"	"AlogP98"	"Fh2o"	"JX"	"Kappa-2"	"Kappa-3"	"PHI"	"CHI-0"	"CHI-3_P"	"CHI-3_C"	"CHI-V-1"	"CHI-V-3_P"	"CHI-V-3_C"	"Dipole-mag"	"RadOfGyration"	"Jurs-SASA"	"Jurs-PPSA-1"	"Jurs-PNSA-1"	"Jurs-PPSA-2"	"Jurs-PNSA-2"	"Jurs-PPSA-3"	"Jurs-PNSA-3"	"Jurs-FPSA-1"	"Jurs-FPSA-3"	"Jurs-WPSA-1"	"Jurs-WPSA-3"	"Jurs-RPCG"	"Jurs-RNCG"	"Jurs-RPCS"	"Jurs-RNCS"	"Jurs-TASA"	"Jurs-RPSA"	"Shadow-XY"	"Shadow-XZ"	"Shadow-YZ"	"Shadow-XYfrac"	"Shadow-XZfrac"	"Shadow-YZfrac"	"Shadow-nu"	"Shadow-Xlength"	"Shadow-Ylength"	"Shadow-Zlength"	"Density"	"PMI-mag"	"PMI-X"
"1-1"	6.251811981201172	"1-1"	1	999.9	999.9	1	0	8.034763336181641	20.22544288635254	0.7505525946617126	0.04420220851898193	2.18120288848877	3.051554679870605	0	0	12.0263843536377	0	1	1	2	3.038320064544678	0.60231614112854	7	1	2	2.138504981994629	-14.80171966552734	1.319733619689941	10.22222232818604	6.352499961853027	6.02313232421875	16.61467170715332	8.084141731262207	1.01474142074585	9.018002510070801	4.983347415924072	0.6331163644790649	18.42268304436626	5.136048645319408	618.6427033248	458.4094542719999	160.2332490528	1063.026693585815	-211.3389735373307	28.84996894692315	-16.679734083258	0.7409922590347366	0.0466342992358488	283.5916640204763	17.84782278016107	0.1081356325606023	0.266902736251773	0.9663508034356125	1.109153194343973	568.2440628479998	0.08146647524643912	97.33535393301894	82.71693224666446	44.63854760969016	0.5588768115942029	0.6599378881987578	0.6898809523809524	2.691650205790351	18.36770892379457	9.481990881444606	6.82395835992413	1.011943591078722	1892.702371442945	141.1168272195515
"1-10"	7.522879123687744	"1-10"	1	999.9	999.9	2	0	7.237216949462891	17.79136085510254	0.6100330948829651	-0.2541881799697876	2.505763053894043	0	1.438360095024109	0	24.87221145629883	0	1	2	3	3.042000532150269	0.5839385390281677	5	2	1	2.487304925918579	-10.24623203277588	1.237982630729675	9	4.543210029602051	4.846138477325439	17.93251037597656	9.842229843139648	1.405520915985107	9.54868221282959	5.748366832733154	0.8134335875511169	16.85922071983975	5.006807742362477	623.7090435206399	437.0159122559999	186.69313126464	1068.174663949621	-269.6309208391185	28.28043096256747	-24.98931093691036	0.700672720390879	0.04534234553171363	272.5707766364895	17.63876054601445	0.1067938210610349	0.1899465723825481	0.722218185883664	0.1246343126643242	535.2839036159999	0.1417730604089178	96.75969727699442	83.36216584372256	43.7243225140225	0.6106719367588933	0.6491545893719807	0.7146464646464646	2.589731259149642	18.23634410326242	8.688579115480097	7.04179016213847	1.062564882037725	1889.216577648133	149.0584467199912
"1-12"	5.522879123687744	"1-12"	1	999.9	999.9	3	0	5.302430152893066	14.26347255706787	0.2747422456741333	-0.7530350685119629	1.561610460281372	0	1.265126943588257	-0.5496711730957031	47.12103271484375	0	1	2	4	3.708966016769409	0.6969214677810669	4	4	1	1.993003368377686	0.7473807334899902	1.324449777603149	9.427685737609863	4.854926586151123	4.915289878845215	19.67299842834473	10.6030797958374	1.905520796775818	9.548120498657227	5.715091705322266	0.9252369999885559	27.52112511146035	4.636381608177212	624.0382731475199	388.7652088319999	235.27306431552	1200.993053975654	-491.5443298629086	27.81889848307272	-59.28036811533954	0.6229829572329734	0.04457883383139299	242.6043695793562	17.36005737024286	0.1848034354845826	0.2059702818293583	0.6467179725532247	9.136534255350531	450.3463493759998	0.2783353701936483	100.3908145771257	78.13665234341281	52.25717267708818	0.5620421753607103	0.6349761526232115	0.6848546659867415	2.34087154314693	16.97217432311671	10.52416354308773	7.250365519972238	1.134434331054549	1830.904876926039	255.0033637721375
"1-13"	7.903090000152588	"1-13"	1	999.9	999.9	4	0	6.532855987548828	14.3563346862793	0.4936776757240295	-0.7565975189208984	1.593176245689392	0	1.24761176109314	-0.549351692199707	47.01239776611328	0	1	2	4	3.538509845733643	0.6604713797569275	5	4	1	2.381704568862915	0.9501233100891113	1.261317133903503	10.07999992370605	5.257777690887451	5.3982834815979	20.38010406494141	10.9058313369751	1.905521154403687	10.04812240600586	6.035271644592285	0.9252369999885559	32.00398334504165	5.257253759754299	660.5969466835197	414.8945243519998	245.70242233152	1303.266635391272	-526.0979947635482	29.01527688816296	-60.80842112872604	0.6280600091098641	0.04392281410598717	274.0780559826424	19.16740331949735	0.1817471334503734	0.2009730560803317	0.6360224708711744	8.914864780355455	478.8909269759999	0.2750633659749144	104.9102661560146	84.56981877040086	47.60664708919516	0.5972658000896459	0.5951518528838117	0.7074030552291422	2.61005510892661	19.25833085443831	9.120774067913365	7.378515031568944	1.118407898429367	2604.451616997397	200.2123353854837
"1-14"	6.356546878814697	"1-14"	1	999.9	999.9	5	1.663528323173523	6.339462280273438	12.03334617614746	0.4706165790557861	-0.7743229866027832	2.371162891387939	0	1.241050839424133	-0.5528278350830078	47.13241577148438	5.205698013305664	1	2	5	3.566469192504883	0.6572604179382324	6	5	1	2.365305185317993	-2.714419841766357	1.233610868453979	10.95052051544189	5.7421875	6.105048656463623	21.95745658874512	11.72476482391357	2.109645366668701	10.57117748260498	6.351500511169434	0.9932783842086792	29.24595060076517	5.560808454293105	703.0815926534398	455.5407964799999	247.54079617344	1531.537541484214	-584.6964522090336	31.34968517453557	-66.34311149942995	0.6479202431694771	0.04458897161028127	320.2823487077748	22.0413865816964	0.1698098090941755	0.1821844768083958	0.7428098885788645	8.003349985810477	499.6800251519999	0.2893000892454026	113.5918668060896	90.8118897981298	50.99752928310595	0.5305000915918666	0.6145368669640514	0.6787353391126976	2.849791583644057	20.52125587391768	10.43416831764486	7.200967253779643	1.1289181698159	3136.596524125755	273.6231614673516
"1-15"	6.619789123535156	"1-15"	1	999.9	999.9	6	0	6.317987442016602	11.81426620483398	0.4700150489807129	-0.7775959968566895	2.236323356628418	0	1.237434864044189	-0.5547139644622803	47.05953598022461	0	1	2	5	3.539572477340698	0.656410276889801	5	4	1	3.046104431152344	0.9619603157043457	1.248036026954651	10.29244041442871	5.506763935089111	5.832376480102539	21.2503490447998	11.31651592254639	2.194196224212646	10.52575206756592	6.357680320739746	1.114219188690186	32.15065831139118	5.272778921007833	686.4769071283199	388.5493809119998	297.92752621632	1213.340964413635	-632.4244188033765	27.25588924857923	-64.31034979313775	0.5660050278127856	0.03970401475352821	266.730177275093	18.7105385523967	0.1828211787407651	0.2027202089642131	0.6797674004493129	8.818600350211673	508.1480822879997	0.2597739603307382	109.9212282640584	90.34181262753758	50.27129138736593	0.5580232092837135	0.6290849673202614	0.7278911564625851	2.852171995253081	20.23846648890782	9.733111713169947	7.095808570658098	1.170777835354834	3207.085519863464	281.4620820774145
"1-16"	5.16749095916748	"1-16"	1	999.9	999.9	7	2.173895597457886	5.670246601104736	3.85554027557373	0.5392115712165833	-0.7447197437286377	0.2597095966339111	0	1.235684037208557	-0.5540108680725098	46.37528610229492	0	1	2	3	3.414441108703613	0.689201831817627	3	4	1	0.7982034683227539	3.224618434906006	1.624165534973145	7.486111164093018	3.819444417953491	4.124795436859131	16.56011581420898	8.683518409729004	1.785947799682617	7.930330276489258	4.884769439697266	0.8806091547012329	37.08571817998779	4.640853660499347	555.0260673619199	368.6257307039998	186.40033665792	1043.479492722131	-341.2484684752372	26.82536106882043	-56.96369668545681	0.6641593113925356	0.04833171385323101	204.5968896410551	14.88877465959095	0.2016809469489713	0.2350558295336845	0.8381145494730116	10.32598442479589	368.5629615359998	0.3359537808957207	90.30006575385697	68.33651420353412	33.70237382944403	0.635790627569197	0.6212395795578108	0.6797797010228167	2.864716473281354	17.75160702450955	8.000852607628765	6.196636627071228	1.128134334533392	1463.39817483539	101.1691105966825
"1-18"	8.552842140197754	"1-18"	1	999.9	999.9	8	1.416044235229492	6.866351127624512	15.47482013702393	0.5451632738113403	-0.6850286722183228	2.720575094223022	2.666535615921021	1.366482257843018	0	36.69509124755859	0	1	3	4	3.539572477340698	0.656410276889801	7	3	2	1.60770583152771	-16.89902687072754	1.258498907089233	10.74480152130127	5.880000114440918	5.948137283325195	21.08721160888672	10.83580207824707	2.017893552780151	10.66349124908447	6.161238670349121	0.9988290071487427	25.68857901018057	5.910779081574203	703.9446102796798	504.9920937599999	198.95251651968	1482.00448525291	-384.9150857669435	32.76205589589794	-32.61912835359329	0.7173747570272109	0.04654067296982564	355.4864626362026	23.06267266959896	0.08897265412253777	0.1686624288168582	0.6231876052114512	0.7009012882938864	574.661723328	0.1836549141278536	111.0053723004865	94.47352447002527	47.99517103170577	0.5751552795031056	0.6172458172458173	0.7156286721504113	2.877723583986475	20.98700756229199	9.196199159271867	7.292919889553444	1.08376516080137	2950.615242789639	193.3688442450156
"1-19"	8.920819282531738	"1-19"	1	999.9	999.9	9	0	6.78555965423584	24.41684913635254	0.5273680090904236	-0.7583907842636108	3.187194347381592	2.819961547851562	1.371690511703491	0	38.38748931884766	0	1	3	5	3.435448408126831	0.6056401133537292	8	3	2	3.272006511688232	-19.43626403808594	1.120604753494263	12.69753074645996	6.716049194335938	6.725496768951416	24.20009994506836	13.19075298309326	2.012014150619507	12.32417488098145	7.134717464447021	1.031131267547607	30.60527226533016	6.788187545192303	793.3532946662398	535.1255669759997	258.22772769024	1716.831982656088	-570.2388027751015	36.47027695439432	-34.47630993246513	0.6745110539953385	0.04596978067600666	424.543631620549	28.93381437915897	0.0813859506576057	0.1458016304083149	0.6093620414510048	0.6696788488647361	670.516965888	0.1548318127674968	128.2638242295637	104.4344946263203	53.65389641929626	0.5391190006574622	0.5715811965811965	0.6677884615384615	2.961128064140123	23.26010191460148	10.22840539949254	7.855148919861372	1.092033216595817	4486.958395751116	269.6671248377711
"1-2"	6.769550800323486	"1-2"	1	999.9	999.9	10	1.921743035316467	8.149744987487793	20.36356925964355	0.7551360130310059	0.1321651935577393	2.218764781951904	0	1.873545289039612	0	12.39443969726562	0	1	1	2	3.003074407577515	0.5902892351150513	7	1	1	2.34440541267395	-10.98079967498779	1.365659952163696	10.36408138275146	6.282314777374268	6.236865043640137	17.48491668701172	8.678961753845215	1.207191467285156	9.401496887207031	5.349421977996826	0.7858427762985229	17.10090954553034	5.110703145771725	630.8896126579198	481.7221368959998	149.1674757619199	1111.879275384817	-195.1310506009017	28.23847936362506	-14.37340659222536	0.7635601018481163	0.04475977856832539	303.9134923550627	17.81536330776608	0.1096440580347729	0.261216199822666	0.5296382713374127	0.1142654698926485	591.9948101759998	0.06165072573957482	101.6219203723445	83.10356006102695	40.65023760860185	0.6210526315789474	0.6768740031897926	0.7176308539944903	2.888663842524446	18.8323449251132	8.688695778695832	6.519396493243514	1.00895779947176	1974.842679023835	123.1193002384094
