	"Activity"	"Structure Name"	"set"	"Min_dist"	"Avg_dist"	"Order"	"S_sCH3"	"S_ssCH2"	"S_aaCH"	"S_sssCH"	"S_aasC"	"S_aaaC"	"S_sNH2"	"S_ssNH"	"S_aaN"	"S_sssN"	"S_ssO"	"S_sCl"	"N_ssCH2"	"N_sssCH"	"N_aasC"	"N_aaaC"	"Apol"	"IC"	"BIC"	"CIC"	"MW"	"Rotlbonds"	"Hbond acceptor"	"Hbond donor"	"AlogP98"	"Fh2o"	"Foct"	"MolRef"	"JX"	"Kappa-3"	"PHI"	"SC-3_P"	"SC-3_C"	"CHI-0"	"CHI-3_C"	"CHI-V-1"	"CHI-V-3_P"	"CHI-V-3_C"	"RadOfGyration"	"Jurs-PPSA-1"	"Jurs-PNSA-1"	"Jurs-PPSA-2"	"Jurs-PNSA-2"	"Jurs-DPSA-2"	"Jurs-PPSA-3"	"Jurs-FPSA-1"	"Jurs-FPSA-3"	"Jurs-FNSA-3"	"Jurs-WNSA-1"	"Jurs-WPSA-3"	"Jurs-RPCG"	"Jurs-RNCG"	"Jurs-RPCS"	"Jurs-RNCS"	"Jurs-TPSA"	"Jurs-TASA"	"Jurs-RPSA"	"Shadow-XY"	"Shadow-XZ"	"Shadow-YZ"	"Shadow-XYfrac"	"Shadow-XZfrac"	"Shadow-YZfrac"	"Shadow-nu"	"Shadow-Xlength"	"Shadow-Ylength"	"Shadow-Zlength"	"Density"	"PMI-mag"	"PMI-X"
"7-4"	4.293282218	"7-4"	1	999.9	999.9	1	0	3.050799608230591	5.551046371459961	0	4.75004768371582	1.235879898071289	11.62592506408691	0	8.169632911682129	2.25675368309021	0	12.21956539154053	4	0	7	2	14886.92006874084	3.751628875732422	0.7314139008522034	0.8333336114883423	364.2334	2	4	4	3.119800329208374	-36.56544876098633	-36.77000045776367	96.22949981689453	1.562298655509949	3.485596656799316	3.750844240188599	54	10	16.84457015991211	2.000072956085205	8.261297225952148	4.820596218109131	1.003807067871094	4.274684658343445	318.4644946559999	236.66059593792	691.4246533838538	-513.8185702615084	1205.243223645362	30.8749081877991	0.5736805992957003	0.05561792956388713	-0.06779658852132425	131.3762347600489	17.13943620483094	0.1073456322040071	0.2030497006710549	1.062998123155457	4.394710845889778	70.56099950591999	484.5640910879999	0.1271082873058897	88.7993204919923	67.97871010984714	43.21634418732365	0.6061579651941098	0.6037865748709123	0.7073015873015873	2.397620444265854	16.42990113889205	8.916386299865664	6.852586354185367	1.266995793008226	1492.223305821101	198.4214892570176
"7-5"	4.68613278	"7-5"	1	999.9	999.9	2	0	3.133716344833374	5.684112548828125	0	4.668423175811768	1.245161414146423	11.62516784667969	0	8.171667098999023	2.275056123733521	0	12.05593681335449	4	0	7	2	14886.92006874084	3.834962368011475	0.7476605176925659	0.7500001192092896	364.2334	2	4	4	3.119800329208374	-36.6199951171875	-36.77000045776367	96.22949981689453	1.54920768737793	3.485596656799316	3.750844240188599	54	10	16.84457015991211	1.984557390213013	8.261297225952148	4.953809261322021	0.99427729845047	4.266138218753865	320.3866511999998	240.3807529939199	704.3758006258005	-528.4813972179444	1232.857197843745	31.01944523387838	0.5713360812412812	0.05531606331232385	-0.06812016690879011	134.7976908745804	17.39469378333744	0.1060078934684072	0.2005193014001546	1.024147381099694	4.339944091329169	70.49257545792	490.2748287359999	0.1257073341473015	92.50865685438566	63.92531900328143	44.64080465098075	0.5792592592592593	0.5965867828612926	0.68	2.432687308507825	16.14517597220149	9.891601413307857	6.636765816854902	1.269104540376724	1567.381699877093	196.9995811399978
"1-98535"	7.769551079	"1-98535"	1	999.9	999.9	3	0	-0.6256725788116455	7.524284839630127	-1.700421214103699	-1.92398738861084	0.5946422815322876	11.31077861785889	5.151671409606934	16.2775993347168	0	0	0	2	1	7	2	15744.98016166687	3.999046325683594	0.7303215861320496	0.9551500082015991	424.375	8	9	6	-1.982999563217163	-49.31752395629883	-37.58999633789062	104.3239135742188	1.572817802429199	7.5	6.046044826507568	56	11	22.54324340820312	2.545992374420166	8.827720642089844	4.082497119903564	0.7462714314460754	5.802062033624851	354.7562578559999	324.2007295296	1179.380323634663	-1726.200528915351	2905.580852550014	38.65321128185498	0.5225018144699102	0.05693027982625749	-0.2021859454583387	220.1183506296309	26.24386788470734	0.07561399186425935	0.1201323459074593	0.1461020858137393	5.97247748146054	263.8040350176	415.1529523679999	0.3885430740368503	106.6528425508128	91.9873041518829	39.96102933007523	0.5696070234113713	0.5995322245322245	0.599294947121034	2.808025509941275	20.75669503291126	9.020672062616287	7.391918256948225	1.244217072362937	3292.390361786363	193.1877656044969
"1-107146"	9.443697499000001	"1-107146"	1	999.9	999.9	4	1.582280516624451	-0.9169678688049316	4.964468955993652	-1.574948668479919	-3.515967845916748	0.4594225883483887	11.33706283569336	2.106884002685547	16.23305511474609	1.505006313323975	0	0	3	1	8	2	16883.8801574707	4.395998001098633	0.7892481088638306	0.6914648413658142	470.4191	9	9	5	-0.8249001502990723	-45.08748626708984	-35.15999603271484	113.5297088623047	1.658962965011597	7.997984409332275	6.990521430969238	63	13	24.99083709716797	2.949355602264404	9.816864013671875	4.748408794403076	0.9401561617851257	5.804471541465016	369.9872373119998	359.71764347904	1278.89651123485	-1962.833979540247	3241.730490775097	37.19022048831972	0.5070368131715297	0.0509661117354779	-0.2069404791853233	262.4877201533066	27.13788540802183	0.07275100788183606	0.1172424781077967	0.2811404009900476	5.753432865678326	314.52365402304	415.1812267679999	0.4310285737462509	123.386594227222	88.97427947400807	46.77199489520561	0.5955769230769231	0.6652097902097902	0.7266666666666667	3.218692294769918	20.74878420437649	9.984756111027139	6.446339787773866	1.244702863637962	3569.957806389506	303.3107802737262
"1-117356"	8.207608311	"1-117356"	1	999.9	999.9	5	1.801447153091431	-0.5080028772354126	7.881567001342773	-1.448153614997864	-1.336266994476318	0.6245589256286621	11.39797115325928	2.246328353881836	16.48892784118652	1.842969417572021	0	0	3	1	7	2	16771.50015068054	4.268344402313232	0.7705762982368469	0.7760497331619263	452.4286	9	9	5	-1.030398845672607	-45.16839981079102	-35.04999542236328	113.3133010864258	1.60723352432251	8	6.809708118438721	60	12	24.1205940246582	2.744236946105957	9.711215972900391	4.697558879852295	0.8955875635147095	5.032253955856564	390.3950709119999	323.9298984768	1300.607118917795	-1727.037199325979	3027.644318243773	36.51457722336542	0.5465230639299015	0.05111759883545512	-0.1998892353461189	231.3912148135572	26.08327425732547	0.07545044054486838	0.1199930687090142	0.2733488819509726	6.145548341749123	272.3193795168	442.0055898719999	0.3812261802213151	112.2869762626617	84.65429948772073	68.2169055638404	0.5459980713596915	0.5421777221526909	0.6072549703522846	1.830700673795564	16.90683625646997	12.16398656699348	9.235172356940957	1.207403483897896	2403.724547883489	470.532154324836
"1-131463"	6.958607315	"1-131463"	1	999.9	999.9	6	1.849940061569214	0.4418895244598389	7.943943500518799	0	0.6221951246261597	0.7288087606430054	11.33257102966309	0	16.46614074707031	1.892117500305176	0	0	1	0	6	2	12566.82011222839	3.851227045059204	0.7478477954864502	0.7337354421615601	324.3213	3	6	4	0.4267001450061798	-38.08194732666016	-31.99999618530273	88.55519866943359	1.772486925125122	4.601177215576172	3.821545839309692	47	9	17.26721954345703	1.933619856834412	7.009689331054688	3.444091320037842	0.6771230697631836	4.022169148595817	326.5218190079999	210.81352678848	790.1229240315516	-720.9435964859141	1511.066520517466	33.55977185907532	0.607668603158804	0.06245591718767436	-0.1456859799236813	113.2775593154634	18.03285161674721	0.09242253361637473	0.1854032191497999	0.8928985631246206	7.747444254537336	160.07788059648	377.2574651999999	0.2979105726968327	88.87462404263451	58.61364027482361	46.3247666685365	0.5948595654478007	0.6283783783783784	0.7279411764705882	2.347720395198279	14.79830305916855	10.0960480757963	6.303264685792684	1.201244139233992	1052.879349850229	214.9725679277383
"1-144698"	8.809668302	"1-144698"	1	999.9	999.9	7	1.352280497550964	-1.435573220252991	3.917849540710449	-1.749693512916565	-5.316909313201904	0.2236568927764893	11.28125953674316	1.957649350166321	15.94378471374512	1.206881523132324	0	0	3	1	8	2	17525.58016967773	4.388790130615234	0.7756497263908386	0.8206632137298584	520.4269	9	9	5	-0.08809890598058701	-46.64473724365234	-37.88999938964844	119.2870178222656	1.784884929656982	8.741021156311035	7.593048095703125	69	17	27.49083709716797	4.197529315948486	10.44482803344727	5.102682113647461	1.091910719871521	5.746636626630404	351.4316910719999	406.98308082432	1327.787676982963	-2351.63944264606	3679.427119629022	35.7402829495163	0.4633766430910747	0.04712498262679174	-0.2068037606854406	308.6619804090382	27.10595854066733	0.1106082537800858	0.1107165225217794	0.02671479210900579	5.433185051451579	273.50659267008	484.9081792262399	0.3606293057639311	128.4775575008782	93.59961808782835	53.40840808573218	0.6126228269085412	0.510120585701981	0.6359753203607024	2.497265549357942	21.40587457998875	9.797180740845365	8.571725416022456	1.288386611054322	3750.075145169082	387.1577422569101
"1-233903"	3.657577319	"1-233903"	1	999.9	999.9	8	0	0.4193201065063477	8.384082794189453	0	2.176766872406006	0.7566084861755371	16.49227905273438	3.161681175231934	16.38574981689453	0	0	0	1	0	5	2	12190.02009391785	3.551190853118896	0.6951500177383423	0.9723711013793945	310.3176	4	5	7	-0.1290996968746185	-51.00380325317383	-43.34000015258789	89.47191619873047	1.707157850265503	4.545454502105713	3.590403079986572	44	8	16.39697647094727	1.735375046730042	6.710746288299561	3.144191980361938	0.5450657606124878	4.862139992488681	352.2077919359999	192.49167788928	984.5152039717876	-538.0658488234908	1522.581052795279	43.79093442547943	0.646609390034794	0.08039467055021368	-0.07868258029593313	104.8501148920694	23.85289876471224	0.08878564793202529	0.1365390644117144	0.814874313054114	2.060586834079619	135.13014596928	409.5693238559998	0.2480820222068968	79.20833862391545	77.23392870505253	32.62434140535103	0.4956011730205279	0.6198608475648324	0.5554812834224599	2.721236299679973	18.41365866542129	8.679575598445975	6.766651858784481	1.19913075419839	1564.745749964337	84.53529821438427
"1-233904"	6.080921908	"1-233904"	1	999.9	999.9	9	1.990128040313721	0.6079065799713135	11.70989799499512	0	2.229182481765747	0.883588433265686	11.36190509796143	0	16.64378547668457	2.073606491088867	0	0	1	0	4	2	11254.44007492065	3.748994827270508	0.7532216310501099	0.6433225870132446	281.3194	3	4	4	1.500100612640381	-36.70098495483398	-33.20999908447266	85.1260986328125	1.838199734687805	3.854848384857178	3.228836059570312	41	7	14.81962490081787	1.433619976043701	6.440757751464844	3.097277879714966	0.5521230101585388	3.859999865903327	351.3648378239999	141.671017488	786.460991085837	-317.1026721797929	1103.56366326563	33.68225322275372	0.7126557511758478	0.06831603190692719	-0.05395926496752496	69.84889128011737	16.60655852651574	0.09991747183846375	0.1705145738298277	0.9894402115297282	2.424151554351178	66.11314987200001	426.9227054399998	0.134093999776472	81.85350692094421	50.65464400550881	42.73908714931633	0.6555068836045056	0.5666089965397924	0.6996245306633292	2.044089093252488	13.51816712396456	9.237239905121957	6.613296440251973	1.14391314756773	722.3789215581286	143.8065838848902
"9-12C"	5.086186148	"9-12C"	1	999.9	999.9	10	0	0.6813135743141174	16.30133056640625	0	2.380760669708252	3.355291128158569	11.44334030151367	0	16.79288101196289	0	0	0	1	0	4	4	14438.14013671875	3.553508758544922	0.6771261096000671	1.031453728675842	334.3978	3	5	4	2.788100242614746	-37.24094390869141	-35.54999923706055	100.0541915893555	1.591284394264221	3.907727718353271	3.546554565429688	51	8	16.51829528808594	1.500667095184326	8.342790603637695	4.733433246612549	0.6517522931098938	4.92601510460477	352.9703210879999	209.942697888	757.2297028511284	-450.3915478403127	1207.621250691441	35.78190718873896	0.6270423834397922	0.0635656060217441	-0.05567021576136654	118.1794778801003	20.14210140033208	0.1042487542048178	0.177906139063279	0.9567946390889206	2.490323781223742	65.16985305599999	497.7431659199998	0.1157725098889187	83.98762006224673	80.03943154582755	41.02914088442851	0.5205512572533849	0.5579268292682927	0.5428126621691749	2.134564693558764	17.4991935882643	9.220059836414997	8.198015099317278	1.197135987434	1492.399580986528	124.2105275173633
