ID,InchiCode
375-17-7,"InChI=1S/C4HF9/c5-1(6)2(7,8)3(9,10)4(11,12)13/h1H"
354-11-0,"InChI=1S/C2HCl4F/c3-1(7)2(4,5)6/h1H"
630-20-6,"InChI=1S/C2H2Cl4/c3-1-2(4,5)6/h1H2"
811-97-2,"InChI=1S/C2H2F4/c3-1-2(4,5)6/h1H2"
2366-36-1,"InChI=1S/C2H2Cl3F/c3-2(4,5)1-6/h1H2"
354-58-5,"InChI=1S/C2Cl3F3/c3-1(4,5)2(6,7)8"
811-95-0,"InChI=1S/C2H2Cl3F/c3-1-2(4,5)6/h1H2"
76-13-1,"InChI=1S/C2Cl3F3/c3-1(4,6)2(5,7)8"
812-04-4,"InChI=1S/C2HCl2F3/c3-2(4,7)1(5)6/h1H"
1842-05-3,"InChI=1S/C2H2Cl2F2/c3-2(4,6)1-5/h1H2"
79-35-6,InChI=1S/C2Cl2F2/c3-1(4)2(5)6
374-07-2,"InChI=1S/C2Cl2F4/c3-1(4,5)2(6,7)8"
75-82-1,"InChI=1S/C2H2Br2F2/c3-1-2(4,5)6/h1H2"
124-73-2,"InChI=1S/C2Br2F4/c3-1(5,6)2(4,7)8"
354-23-4,"InChI=1S/C2HCl2F3/c3-1(5)2(4,6)7/h1H"
431-89-0,"InChI=1S/C3HF7/c4-1(2(5,6)7)3(8,9)10/h1H"
431-63-0,"InChI=1S/C3H2F6/c4-1(2(5)6)3(7,8)9/h1-2H"
460-73-1,"InChI=1S/C3H3F5/c4-2(5)1-3(6,7)8/h2H,1H2"
420-46-2,"InChI=1S/C2H3F3/c1-2(3,4)5/h1H3"
79-34-5,InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H
40723-63-5,"InChI=1S/C3H4F4/c1-3(6,7)2(4)5/h2H,1H3"
359-28-4,InChI=1S/C2H2Cl3F/c3-1(4)2(5)6/h1-2H
79-00-5,"InChI=1S/C2H3Cl3/c3-1-2(4)5/h2H,1H2"
471-43-2,InChI=1S/C2H2Cl2F2/c3-1(4)2(5)6/h1-2H
75-34-3,"InChI=1S/C2H4Cl2/c1-2(3)4/h2H,1H3"
141563-84-0,"InChI=1S/C3HCl2F5/c4-1(2(5,6)7)3(8,9)10/h1H"
430-57-9,"InChI=1S/C2H3Cl2F/c3-1-2(4)5/h2H,1H2"
76-14-2,"InChI=1S/C2Cl2F4/c3-1(5,6)2(4,7)8"
662-01-1,"InChI=1S/C3Cl2F6/c4-2(8,9)1(6,7)3(5,10)11"
354-25-6,"InChI=1S/C2HClF4/c3-2(6,7)1(4)5/h1H"
359-58-0,"InChI=1S/C3HClF6/c4-2(6,7)1(5)3(8,9)10/h1H"
421-04-5,"InChI=1S/C2H2ClF3/c3-2(5,6)1-4/h1H2"
75-68-3,"InChI=1S/C2H3ClF2/c1-2(3,4)5/h1H3"
338-64-7,"InChI=1S/C2H3ClF2/c3-2(5)1-4/h2H,1H2"
1615-75-4,"InChI=1S/C2H4ClF/c1-2(3)4/h2H,1H3"
460-43-5,"InChI=1S/C3H5F3O/c1-7-2-3(4,5)6/h2H2,1H3"
306-83-2,"InChI=1S/C2HCl2F3/c3-1(4)2(5,6)7/h1H"
146916-90-7,"InChI=1S/C3H2Cl2F4/c4-1(2(5)6)3(7,8)9/h1-2H"
338-75-0,"InChI=1S/C3H3Cl2F3/c4-1-2(5)3(6,7)8/h2H,1H2"
76-18-6,"InChI=1S/C3ClF7/c4-1(5,2(6,7)8)3(9,10)11"
2837-89-0,"InChI=1S/C2HClF4/c3-1(4)2(5,6)7/h1H"
460-35-5,"InChI=1S/C3H4ClF3/c4-2-1-3(5,6)7/h1-2H2"
1691-17-4,InChI=1S/C2H2F4O/c3-1(4)7-2(5)6/h1-2H
1511-62-2,InChI=1S/CHBrF2/c2-1(3)4/h1H
54597-66-9,"InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3"
56-23-5,"InChI=1S/CCl4/c2-1(3,4)5"
75-45-6,InChI=1S/CHClF2/c2-1(3)4/h1H
377-41-3,"InChI=1S/C4ClF7/c5-1(6)2(7,8)4(11,12)3(1,9)10"
74-87-3,InChI=1S/CH3Cl/c1-2/h1H3
79-38-9,InChI=1S/C2ClF3/c3-1(4)2(5)6
75-72-9,"InChI=1S/CClF3/c2-1(3,4)5"
355-25-9,"InChI=1S/C4F10/c5-1(6,3(9,10)11)2(7,8)4(12,13)14"
75-61-6,"InChI=1S/CBr2F2/c2-1(3,4)5"
431-06-1,InChI=1S/C2H2Cl2F2/c3-1(5)2(4)6/h1-2H
75-71-8,"InChI=1S/CCl2F2/c2-1(3,4)5"
75-43-4,InChI=1S/CHCl2F/c2-1(3)4/h1H
356-18-3,"InChI=1S/C4Cl2F6/c5-1(7)2(6,8)4(11,12)3(1,9)10"
75-09-2,InChI=1S/CH2Cl2/c2-1-3/h1H2
462-39-5,InChI=1S/C3H6F2/c4-2-1-3-5/h1-3H2
74-84-0,InChI=1S/C2H6/c1-2/h1-2H3
75-04-7,"InChI=1S/C2H7N/c1-2-3/h2-3H2,1H3"
353-36-6,"InChI=1S/C2H5F/c1-2-3/h2H2,1H3"
593-53-3,InChI=1S/CH3F/c1-2/h1H3
67-72-1,"InChI=1S/C2Cl6/c3-1(4,5)2(6,7)8"
460-13-9,"InChI=1S/C3H7F/c1-2-3-4/h2-3H2,1H3"
76-16-4,"InChI=1S/C2F6/c3-1(4,5)2(6,7)8"
