Compound Id	Spectral moment 02 from edge adj. matrix weighted by dipole moments
375-17-7	4.159
354-11-0	3.267
630-20-6	3.077
811-97-2	3.27
2366-36-1	3.07
354-58-5	3.524
811-95-0	3.21
76-13-1	3.615
812-04-4	3.374
1842-05-3	3.204
79-35-6	3.018
374-07-2	3.611
75-82-1	3.263
124-73-2	3.651
354-23-4	3.439
431-89-0	3.849
431-63-0	3.655
460-73-1	3.478
420-46-2	2.988
79-34-5	2.932
40723-63-5	3.336
359-28-4	3.025
79-00-5	2.661
471-43-2	3.018
75-34-3	2.291
141563-84-0	3.856
430-57-9	2.782
76-14-2	3.663
662-01-1	4.017
354-25-6	3.419
359-58-0	3.853
421-04-5	3.189
75-68-3	2.995
338-64-7	2.772
1615-75-4	2.461
460-43-5	3.232
306-83-2	3.358
146916-90-7	3.663
338-75-0	3.488
76-18-6	4.014
2837-89-0	3.419
460-35-5	3.269
1691-17-4	3.243
1511-62-2	2.621
54597-66-9	1.609
56-23-5	2.757
75-45-6	2.639
377-41-3	4.211
74-87-3	1.234
79-38-9	3.103
75-72-9	3.103
355-25-9	4.274
75-61-6	3.088
431-06-1	3.196
75-71-8	3.018
75-43-4	2.498
356-18-3	4.183
75-09-2	1.772
462-39-5	2.607
74-84-0	0
75-04-7	1.151
353-36-6	1.664
593-53-3	1.188
67-72-1	3.372
460-13-9	1.985
76-16-4	3.655
116-15-4	3.667
425-88-7	3.453
22410-44-2	3.686
74-89-5	0.148
115-25-3	4.208
76-01-7	3.176
3822-68-2	3.523
354-33-6	3.414
109-66-0	1.946
40811-14-1	1.099
115-07-1	1.242
116-14-3	3.097
75-73-0	3.097
67-66-3	2.205
7125-83-9	3.668
2356-62-9	3.921
24270-67-5	2.881
2356-61-8	3.921
662-00-0	3.97
431-31-2	3.478
690-39-1	3.706
354-21-2	3.363
2252-84-8	3.849
359-35-3	3.097
25167-88-8	2.65
1649-08-7	3.196
107-06-2	2.289
507-55-1	3.856
422-48-0	3.856
422-56-0	3.813
679-85-6	3.483
353-59-3	3.099
76-15-3	3.659
69948-24-9	3.58
74-85-1	0
78-78-4	2.197
421-14-7	3.149
354-56-3	3.473
375-03-1	4.033
589-53-7	2.708
25550-14-5	3.175
96-22-0	2.873
96-14-0	2.398
589-34-4	2.565
760-20-3	2.439
620-14-4	3.175
107-05-1	2.066
95-75-0	3.412
75-33-2	2.754
43133-95-5	2.398
591-76-4	2.565
513-35-9	2.341
763-29-1	2.479
563-46-2	2.295
137-32-6	2.463
591-78-6	2.98
95-49-8	3.174
78-93-3	2.753
78-92-2	2.276
513-53-1	2.874
108-08-7	2.708
107-40-4	3.108
107-39-1	3.088
565-59-3	2.708
79-29-8	2.565
463-82-1	2.565
590-35-2	2.833
75-83-2	2.708
464-06-2	2.944
75-35-4	2.291
590-19-2	2.093
106-93-4	2.239
106-99-0	1.609
591-93-5	2.07
106-98-9	1.698
540-54-5	2.006
592-76-7	2.439
111-27-3	2.463
592-41-6	2.247
124-19-6	3.145
75-07-0	2.222
67-64-1	2.616
617-84-5	2.957
123-86-4	3.122
109-73-9	1.969
123-72-8	2.582
124-18-5	2.833
142-82-5	2.398
76-11-9	3.528
4259-43-2	3.921
76-12-0	3.564
354-14-3	3.314
354-15-4	3.379
677-68-9	3.987
71-55-6	2.712
420-97-3	3.098
624-72-6	2.258
431-07-2	3.103
75-88-7	3.189
420-99-5	3.091
754-12-1	3.353
75-63-8	3.092
75-00-3	1.693
75-01-4	1.693
1885-48-9	3.58
75-28-5	1.946
76-19-7	4.012
79-01-6	2.661
57041-67-5	3.741
661-97-2	4.017
431-87-8	3.853
593-70-4	2.043
355-42-0	4.653
75-69-4	2.853
75-46-7	2.628
563-45-1	2.247
611-14-3	3.175
75-29-6	2.244
95-73-8	3.412
540-84-1	3.045
78-87-5	2.63
109-69-3	2.244
111-65-9	2.565
109-60-4	3.03
354-12-1	3.244
