ID,InchiCode
1,"InChI=1/C4H9Br/c1-3-4(2)5/h4H,3H2,1-2H3"
2,InChI=1/C4H8BrCl/c5-3-1-2-4-6/h1-4H2
3,"InChI=1/C7H6Cl2/c1-5-2-3-6(8)7(9)4-5/h2-4H,1H3"
4,"InChI=1/C7H16/c1-5-7(3,4)6-2/h5-6H2,1-4H3"
5,"InChI=1/C8H17Br/c1-2-3-4-5-6-7-8-9/h2-8H2,1H3"
6,"InChI=1S/C18H38O/c1-18(2)16-14-12-10-8-6-4-3-5-7-9-11-13-15-17-19/h18-19H,3-17H2,1-2H3"
7,"InChI=1/C6H12O/c1-5(2)4-6(3)7/h5H,4H2,1-3H3"
8,"InChI=1/C7H16/c1-4-6-7(3)5-2/h7H,4-6H2,1-3H3"
9,"InChI=1/C8H9BrO/c1-2-10-8-5-3-7(9)4-6-8/h3-6H,2H2,1H3"
10,"InChI=1S/C6H14S2/c1-3-5-7-8-6-4-2/h3-6H2,1-2H3"
11,"InChI=1S/C11H20O2/c1-4-5-6-7-8-9-13-11(12)10(2)3/h2,4-9H2,1,3H3"
12,"InChI=1/C6H13Br/c1-2-3-4-5-6-7/h2-6H2,1H3"
13,"InChI=1S/C21H42O2/c1-19(2)17-15-13-11-9-7-5-6-8-10-12-14-16-18-21(22)23-20(3)4/h19-20H,5-18H2,1-4H3"
14,"InChI=1/C5H11Br/c1-2-3-4-5-6/h2-5H2,1H3"
15,"InChI=1/C10H18/c1-3-5-7-9-10-8-6-4-2/h3-4H,1-2,5-10H2"
16,InChI=1/C6H12Br2/c7-5-3-1-2-4-6-8/h1-6H2
17,"InChI=1/C12H18/c1-9(2)11-6-5-7-12(8-11)10(3)4/h5-10H,1-4H3"
18,"InChI=1/C6H14/c1-4-5-6(2)3/h6H,4-5H2,1-3H3"
19,"InChI=1/C10H14/c1-3-9(2)10-7-5-4-6-8-10/h4-9H,3H2,1-2H3"
20,"InChI=1/C9H12/c1-3-9-6-4-5-8(2)7-9/h4-7H,3H2,1-2H3"
21,"InChI=1S/C6H12O2/c1-6(2,3)5(7)8-4/h1-4H3"
22,"InChI=1/C3H7Br/c1-3(2)4/h3H,1-2H3"
23,"InChI=1S/C10H16/c1-9-5-3-7-10(2)8-4-6-9/h3,5,7,9H,4,6,8H2,1-2H3"
24,"InChI=1/C8H14/c1-2-4-6-8-7-5-3-1/h1-2H,3-8H2/b2-1-"
25,"InChI=1S/C18H36O2/c1-17(2)15-13-11-9-7-5-3-4-6-8-10-12-14-16-18(19)20/h17H,3-16H2,1-2H3,(H,19,20)"
26,"InChI=1/C6H12/c1-6-4-2-3-5-6/h6H,2-5H2,1H3"
27,"InChI=1S/C7H14O2/c1-5-9-6(8)7(2,3)4/h5H2,1-4H3"
28,InChI=1/C4H8Br2/c5-3-1-2-4-6/h1-4H2
29,InChI=1/C5H10Br2/c6-4-2-1-3-5-7/h1-5H2
30,InChI=1/C3H6Br2/c4-2-1-3-5/h1-3H2
31,"InChI=1S/C14H30O/c1-14(2)12-10-8-6-4-3-5-7-9-11-13-15/h14-15H,3-13H2,1-2H3"
32,InChI=1/C6H3F2NO2/c7-4-1-2-6(9(10)11)5(8)3-4/h1-3H
33,"InChI=1/C6H10/c1-3-5-6-4-2/h3-4H,1-2,5-6H2"
34,"InChI=1/C6H12O/c1-5(2)4-6(3)7/h5H,4H2,1-3H3"
35,"InChI=1S/C7H10O2/c1-4-5-9-7(8)6(2)3/h4H,1-2,5H2,3H3"
36,"InChI=1/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2"
37,"InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3"
38,"InChI=1/C7H16O/c1-5-6(8)7(2,3)4/h6,8H,5H2,1-4H3"
39,"InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3"
40,"InChI=1/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3"
41,"InChI=1/C7H14O/c1-3-4-5-6-7(2)8/h3-6H2,1-2H3"
42,"InChI=1/C6H14O/c1-3-4-6(2)5-7/h6-7H,3-5H2,1-2H3"
43,InChI=1/C3H4ClN/c4-2-1-3-5/h1-2H2
44,"InChI=1S/C6H12O3/c1-3-8-4-5-9-6(2)7/h3-5H2,1-2H3"
45,"InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3"
46,"InChI=1/C7H14O/c1-3-4-5-6-7(2)8/h3-6H2,1-2H3"
47,"InChI=1S/C7H12O3/c1-4-10-7(9)5(2)6(3)8/h5H,4H2,1-3H3"
48,"InChI=1/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2"
49,"InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3"
50,"InChI=1S/C4H5NO2/c1-7-4(6)2-3-5/h2H2,1H3"
51,"InChI=1/C3H8O/c1-3(2)4/h3-4H,1-2H3"
52,InChI=1S/C3H6O2/c1-3(4)5-2/h1-2H3
53,"InChI=1/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3"
54,InChI=1S/C4H6O2/c5-4-2-1-3-6-4/h1-3H2
55,"InChI=1S/C5H6O2/c6-4-5-2-1-3-7-5/h1-3,6H,4H2"
56,"InChI=1S/C6H12O2/c1-4-6(2,3)5(7)8/h4H2,1-3H3,(H,7,8)"
57,"InChI=1S/C6H10O3/c1-4-6(7)9-5(2)8-3/h4-5H,1H2,2-3H3"
58,InChI=1/C5H5N/c1-2-4-6-5-3-1/h1-5H
59,"InChI=1/C4H8O/c1-3-4(2)5/h3H2,1-2H3"
60,"InChI=1/C8H18O/c1-3-5-6-8(4-2)7-9/h8-9H,3-7H2,1-2H3"
61,"InChI=1/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3"
62,"InChI=1/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3"
63,"InChI=1S/C7H14N2/c1-4-9(5-2)7(3)6-8/h7H,4-5H2,1-3H3"
64,"InChI=1/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3"
65,InChI=1/C3H6O/c1-3(2)4/h1-2H3
66,"InChI=1S/C6H14O2/c1-2-3-5-8-6-4-7/h7H,2-6H2,1H3"
67,"InChI=1/C6H6FN/c7-5-1-3-6(8)4-2-5/h1-4H,8H2"
68,"InChI=1/C6H12O/c7-6-4-2-1-3-5-6/h6-7H,1-5H2"
69,InChI=1/C3H6O/c1-3(2)4/h1-2H3
70,"InChI=1/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3"
71,"InChI=1/C7H14O/c1-3-4-5-6-7(2)8/h3-6H2,1-2H3"
72,"InChI=1/C9H18O/c1-3-4-5-6-7-8-9(2)10/h3-8H2,1-2H3"
73,"InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3"
74,"InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3"
75,"InChI=1S/C8H16O2/c1-3-4-5-6-7-10-8(2)9/h3-7H2,1-2H3"
76,"InChI=1S/C10H20O2/c1-3-4-5-6-7-8-9-12-10(2)11/h3-9H2,1-2H3"
77,"InChI=1S/C12H24O2/c1-3-4-5-6-7-8-9-10-11-14-12(2)13/h3-11H2,1-2H3"
78,"InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3"
79,"InChI=1/C3H8O/c1-2-3-4/h4H,2-3H2,1H3"
80,"InChI=1/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3"
81,"InChI=1/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3"
82,"InChI=1/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3"
83,"InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3"
84,"InChI=1/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3"
85,"InChI=1/C9H12/c1-2-6-9-7-4-3-5-8-9/h3-5,7-8H,2,6H2,1H3"
86,"InChI=1/C9H12/c1-8(2)9-6-4-3-5-7-9/h3-8H,1-2H3"
87,"InChI=1/C10H14/c1-8(2)10-6-4-9(3)5-7-10/h4-8H,1-3H3"
88,"InChI=1/C10H16/c1-7-4-5-8-9(6-7)10(8,2)3/h4,8-9H,5-6H2,1-3H3"
89,"InChI=1/C10H18O/c1-5-10(4,11)8-6-7-9(2)3/h5,7,11H,1,6,8H2,2-4H3"
90,"InChI=1/C10H18O/c1-9(2)8-4-6-10(3,11-9)7-5-8/h8H,4-7H2,1-3H3/t8-,10+"
91,"InChI=1/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7+"
