Compound Id	Shape descriptor derived from the distance distribution moments of the geometry matrix
1	2.377
2	2.839
3	3.173
4	2.803
5	3.574
6	4.997
7	2.833
8	2.938
9	3.431
10	3.419
11	4.114
12	3.101
13	5.319
14	2.819
15	3.753
16	3.374
17	3.666
18	2.669
19	3.369
20	3.187
21	2.964
22	2.027
23	3.33
24	2.949
25	5.077
26	2.509
27	3.201
28	2.856
29	3.13
30	2.542
31	4.517
32	3.446
33	2.762
34	2.845
35	3.3
36	2.978
37	3.196
38	2.989
39	2.719
40	2.956
41	3.229
42	2.925
43	2.44
44	3.418
45	2.606
46	3.229
47	3.358
48	2.493
49	1.51
50	2.849
51	1.929
52	2.252
53	3.548
54	2.465
55	2.751
56	2.96
57	3.357
58	2.428
59	2.291
60	3.344
61	2.301
62	2.423
63	3.337
64	3.061
65	1.912
66	3.289
67	2.95
68	2.704
69	1.912
70	2.648
71	3.229
72	3.686
73	2.606
74	3.196
75	3.663
76	4.043
77	4.362
78	1.51
79	2.016
80	2.423
81	3.061
82	3.548
83	2.719
84	2.981
85	3.242
86	3.16
87	3.36
88	3.28
89	3.68
90	3.33
91	3.76
