Compound Id	Three- dimensional volume of the minimum energy conformation
1	381.12
2	436.15
3	467.09
4	450.5
5	606.11
6	1093.42
7	421.84
8	470.7
9	529.22
10	555.76
11	718.89
12	498.51
13	1259.97
14	444.66
15	617.13
16	563.59
17	628.84
18	422.99
19	528.6
20	484.64
21	448.41
22	332.65
23	533.1
24	446.17
25	1093.73
26	385.83
27	504.71
28	455.93
29	509.83
30	402.12
31	877.65
32	408.66
33	402.3
34	426.79
35	484.32
36	416.77
37	470.17
38	474.04
39	384.83
40	436.84
41	489.92
42	445.14
43	321.06
44	504.3
45	361.36
46	489.92
47	515.21
48	357.56
49	242.38
50	353.43
51	293.2
52	303.83
53	565.9
54	314.67
55	357.58
56	431.19
57	481.45
58	318.53
59	328.03
60	546.11
61	342.97
62	350.58
63	515.76
64	457.78
65	275.29
66	491.96
67	376.72
68	398.55
69	275.29
70	382.08
71	489.92
72	597.48
73	361.36
74	470.17
75	577.05
76	684.18
77	793.03
78	242.38
79	296.3
80	350.58
81	457.78
82	565.9
83	384.83
84	432.04
85	486.32
86	480.18
87	532.53
88	529.88
89	613.77
90	543.92
91	619.88
