Compound Id	Overall hydrogen bond basicity
96	0.59
97	0.30
98	0.76
99	0.76
100	1.06
101	1.06
102	1.74
103	1.07
104	1.25
105	1.38
106	1.09
107	1.31
108	0.82
109	1.18
110	1.18
111	1.18
112	1.18
113	1.18
114	1.18
115	1.18
116	2.48
117	1.11
118	1.21
119	1.20
120	1.72
121	1.25
122	1.55
123	1.55
124	1.60
125	1.23
126	1.37
127	1.37
128	2.00
129	1.18
130	1.12
131	2.00
132	1.20
133	1.57
134	0.91
135	2.00
136	2.00
137	1.82
138	1.77
139	0.75
140	1.28
141	1.28
142	0.88
143	0.88
144	1.83
145	1.01
146	1.01
147	1.01
148	1.29
149	1.16
150	1.50
151	1.79
152	1.38
153	1.38
154	1.13
155	0.91
156	0.96
157	1.24
158	1.16
159	1.00
160	1.28
161	1.28
162	1.90
163	0.94
164	2.37
165	1.59
166	0.80
167	0.82
168	1.81
169	1.81
170	1.45
171	1.46
172	1.48
173	1.72
174	1.29
175	0.93
176	1.60
177	0.95
178	1.37
179	1.37
180	1.89
181	2.06
182	1.08
183	0.81
184	1.15
185	4.00
186	1.57
187	1.57
188	0.96
189	1.24
190	1.63
191	1.63
192	2.20
193	1.79
194	1.30
195	0.70
196	1.48
197	1.09
198	1.38
199	1.38
200	1.38
201	1.38
202	1.37
203	0.76
204	1.83
205	1.98
206	1.25
207	1.44
208	1.09
209	1.19
210	1.75
211	1.96
212	0.83
213	1.20
214	1.12
215	0.86
216	1.60
217	1.60
218	0.86
219	1.38
220	1.25
221	1.25
222	1.23
223	1.23
224	1.02
225	1.37
226	0.82
227	1.28
228	0.49
229	1.00
230	1.00
231	1.67
232	1.48
233	1.48
234	1.27
235	0.50
236	1.47
237	1.01
238	1.01
239	0.51
240	0.51
241	1.31
242	0.73
243	0.28
244	1.59
245	1.97
246	1.15
247	2.34
248	1.09
249	1.32
250	0.81
251	1.91
252	0.38
253	0.38
254	3.38
255	1.15
256	1.60
257	1.70
258	1.83
259	0.94
260	0.80
261	1.24
262	1.61
263	1.80
264	1.55
265	2.08
266	1.67
267	2.05
268	1.65
269	1.66
270	1.41
271	1.35
272	1.53
273	1.40
274	1.60
275	0.84
276	1.96
277	1.61
278	1.63
279	1.03
280	0.89
281	1.38
282	1.34
283	1.04
284	1.04
285	1.78
286	1.30
287	1.30
288	1.30
289	1.14
290	2.23
291	1.40
292	1.40
293	1.65
294	1.50
295	1.00
296	0.50
297	2.51
298	2.51
299	0.35
300	1.25
301	0.89
302	1.83
303	1.38
304	1.13
305	1.81
306	1.44
307	1.49
308	1.56
309	1.11
310	1.39
311	1.92
312	1.97
313	1.79
314	1.86
315	1.66
316	1.81
317	1.57
318	1.63
319	1.28
320	1.43
321	1.42
322	1.54
323	1.04
324	1.20
325	1.08
326	1.74
327	2.10
328	2.40
1	0.00
2	0.00
3	0.00
4	0.00
5	0.00
6	0.00
7	0.10
8	0.00
9	0.00
10	0.00
11	0.00
12	0.00
13	0.00
14	0.00
15	0.00
16	0.00
17	0.00
18	0.00
19	0.00
20	0.00
21	0.00
22	0.00
23	0.00
24	0.00
25	0.00
26	0.00
27	0.10
28	0.00
29	0.05
30	0.02
31	0.10
32	0.11
33	0.09
34	0.13
35	0.08
36	0.00
37	0.12
38	0.14
39	0.02
40	0.05
41	0.00
42	0.07
43	0.05
44	0.05
45	0.00
46	0.07
47	0.07
48	0.07
49	0.07
50	0.10
51	0.03
52	0.00
53	0.03
54	0.47
55	0.48
56	0.48
57	0.48
58	0.48
59	0.56
60	0.48
61	0.48
62	0.60
63	0.60
64	0.45
65	0.60
66	0.59
67	0.60
68	0.14
69	0.10
70	0.13
71	0.15
72	0.32
73	0.27
74	0.13
75	0.49
76	0.51
77	0.51
78	0.45
79	0.45
80	0.45
81	0.45
82	0.45
83	0.47
84	0.47
85	0.47
86	0.14
87	0.14
88	0.16
89	0.16
90	0.16
91	0.15
92	0.16
93	0.18
94	0.19
95	0.01
