#Compound Id,Blood-brain distribution
1,0.03
2,-0.16
3,0.2
4,-0.12
5,0.15
6,0.03
7,0.03
8,0.03
9,0.63
10,0.68
11,0.44
12,0.69
13,0.52
14,0.67
15,0.97
16,0.86
17,0.98
18,1.05
19,1.01
20,0.9
21,1.04
22,0.11
23,0.93
24,1.11
25,0.96
26,1.07
27,0.61
28,1.02
29,-0.34
30,0.15
31,-0.28
32,-0.14
33,0.29
34,-0.1
35,0.33
36,0.12
37,0.27
38,0.56
39,0.27
40,0.14
41,0.39
42,0.31
43,0.04
44,-0.13
45,0.37
46,-0.06
47,0.74
48,0.86
49,0.96
50,-0.17
51,0.11
52,-0.02
53,0.6
54,0.02
55,-0.12
56,-0.08
57,-0.02
58,0.2
59,-0.11
60,-0.14
61,0.04
62,0.11
63,0.07
64,-0.01
65,0.22
66,0.36
67,0.17
68,0.12
69,0.19
70,0.14
71,0.3
72,0.01
73,0.14
74,0.13
75,-0.17
76,-0.17
77,-0.01
78,-0.13
79,0
80,0.12
81,0.28
82,0.4
83,0.4
84,0.45
85,0.55
86,0.2
87,0.27
88,0.41
89,0.22
90,0.38
91,0.26
92,0.45
93,0.43
94,0.16
95,0.17
96,-0.23
97,-0.4
98,-0.24
99,-0.17
100,-0.3
101,1.01
102,-0.07
103,1.38
104,-0.05
105,-0.03
106,0.98
107,-0.1
108,0.64
109,0.19
110,0.02
111,0.36
112,-0.22
113,0.24
114,0.09
115,0.09
116,-0.67
117,0.55
118,0.67
119,-0.26
120,-0.59
121,-0.38
122,0.04
123,-0.04
124,0
125,0.04
126,-0.1
127,-0.22
128,-0.7
129,-0.14
130,0.82
131,-0.43
132,-0.3
133,0.85
134,-0.12
135,-0.55
136,-0.01
137,-0.09
138,0.07
139,0.42
140,-0.06
141,0.12
142,0
143,-0.52
144,-0.4
145,1.06
146,1.06
147,1.06
148,0.35
149,0.11
150,0.6
151,-0.22
152,-0.32
153,-0.38
154,-0.15
155,1
156,1.06
157,0.36
158,0.5
159,0.59
160,0.03
161,0.52
162,-1.3
163,1.26
164,-0.93
165,0.64
166,-0.05
167,0.27
168,0.6
169,0.56
170,-0.09
171,-0.29
172,0.06
173,-0.14
174,-0.01
175,0.36
176,-1.4
177,0.04
178,0.1
179,0.05
180,0.39
181,-0.25
182,1.13
183,-0.18
184,0.83
185,-0.74
186,-1.26
187,-1.26
188,0.48
189,0.34
190,0.47
191,0.41
192,-1.06
193,-1.6
194,0.63
195,0.9
196,-0.06
197,0.99
198,0.36
199,0.52
200,0.4
201,-0.92
202,0.53
203,-0.01
204,-0.65
205,0.46
206,-0.66
207,0
208,0.24
209,0.75
210,0.78
211,0.16
212,0.39
213,0.52
214,0
215,1.03
216,0.61
217,0.55
218,-0.34
219,0.06
220,0.45
221,0.64
222,0.12
223,0.16
224,-0.03
225,-0.1
226,0.44
227,-0.52
228,0.05
229,-0.04
230,-0.16
231,0.08
232,-0.15
233,-0.12
234,0.48
235,-1.26
236,0.05
237,1.23
238,0.67
239,0.48
240,0.91
241,0.64
242,0.55
243,0.23
244,0.5
245,0.1
246,-1.51
247,-0.02
248,0.61
249,0.25
250,-0.27
251,-1.3
252,-1.1
253,-1.22
254,-1.03
255,-1.34
256,-0.67
257,-0.66
258,-0.12
259,-0.18
260,-0.04
261,-1.15
262,-1.57
263,-1.54
264,-1.12
265,-0.73
266,-0.27
267,-0.28
268,-0.46
269,-0.24
270,-0.02
271,0.69
272,0.44
273,0.22
274,-0.43
275,-0.6
276,0.26
277,-0.48
278,0.18
279,0.09
280,1
281,-0.3
282,-0.35
283,-0.15
284,-0.14
285,-0.16
286,0.24
287,0.46
288,0.15
289,0.4
290,-0.82
291,0.47
292,0.09
293,0.57
294,1.44
295,0.89
296,-1.15
297,-0.7
298,-0.24
299,-0.04
300,-0.06
301,-0.42
302,-0.72
303,0.14
304,0.5
305,-1.17
306,-0.67
307,-0.66
308,-0.12
309,-0.18
310,-1.15
311,-1.57
312,-1.54
313,-1.12
314,-0.73
315,-0.27
316,-0.28
317,-0.46
318,-0.24
319,-0.02
320,0.69
321,0.44
322,0.22
323,-0.04
324,0.3
325,-0.34
326,-0.3
327,-1.34
328,-1.82
