ID,InchiCode
1,"InChI=1S/C6H6O3/c7-4-1-5(8)3-6(9)2-4/h1-3,7-9H"
2,"InChI=1S/C8H10O3/c9-4-5-11-8-3-1-2-7(10)6-8/h1-3,6,9-10H,4-5H2"
3,"InChI=1S/C6H6O2/c7-5-2-1-3-6(8)4-5/h1-4,7-8H"
4,"InChI=1S/C7H8O2/c1-5-2-6(8)4-7(9)3-5/h2-4,8-9H,1H3"
5,"InChI=1S/C6H5ClO2/c7-5-2-1-4(8)3-6(5)9/h1-3,8-9H"
6,"InChI=1S/C6H4Cl2O2/c7-3-1-4(8)6(10)2-5(3)9/h1-2,9-10H"
7,"InChI=1S/C6H3Br3O2/c7-2-1-3(8)6(11)4(9)5(2)10/h1,10-11H"
8,"InChI=1S/C11H16O2/c1-2-3-4-5-9-6-10(12)8-11(13)7-9/h6-8,12-13H,2-5H2,1H3"
9,"InChI=1S/C13H10O3/c14-10-6-7-11(12(15)8-10)13(16)9-4-2-1-3-5-9/h1-8,14-15H"
10,"InChI=1S/C12H18O2/c1-2-3-4-5-6-10-7-8-11(13)9-12(10)14/h7-9,13-14H,2-6H2,1H3"
11,"InChI=1S/C6H5NO4/c8-4-2-1-3-5(9)6(4)7(10)11/h1-3,8-9H"
12,"InChI=1S/C13H10O3/c14-11-7-4-8-12(9-11)16-13(15)10-5-2-1-3-6-10/h1-9,14H"
13,"InChI=1S/C7H8O2/c1-5-3-2-4-6(8)7(5)9/h2-4,8-9H,1H3"
14,"InChI=1S/C7H8O2/c1-5-2-3-6(8)7(9)4-5/h2-4,8-9H,1H3"
15,"InChI=1S/C6H6O2/c7-5-3-1-2-4-6(5)8/h1-4,7-8H"
16,"InChI=1S/C6H5ClO2/c7-4-1-2-5(8)6(9)3-4/h1-3,8-9H"
17,"InChI=1S/C6H5NO4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H"
18,"InChI=1S/C7H6O3/c8-4-5-2-1-3-6(9)7(5)10/h1-4,9-10H"
19,"InChI=1S/C6H6O3/c7-4-2-1-3-5(8)6(4)9/h1-3,7-9H"
20,"InChI=1S/C6H6O3/c7-4-1-2-5(8)6(9)3-4/h1-3,7-9H"
21,"InChI=1S/C13H10O4/c14-10-7-6-9(12(16)13(10)17)11(15)8-4-2-1-3-5-8/h1-7,14,16-17H"
23,"InChI=1S/C6H6O2/c7-5-1-2-6(8)4-3-5/h1-4,7-8H"
24,"InChI=1S/C7H8O2/c1-5-4-6(8)2-3-7(5)9/h2-4,8-9H,1H3"
25,"InChI=1S/C8H10O2/c1-5-6(2)8(10)4-3-7(5)9/h3-4,9-10H,1-2H3"
26,"InChI=1S/C9H12O2/c1-5-4-8(10)6(2)7(3)9(5)11/h4,10-11H,1-3H3"
27,"InChI=1S/C10H14O2/c1-5-6(2)10(12)8(4)7(3)9(5)11/h11-12H,1-4H3"
28,"InChI=1S/C6H5ClO2/c7-5-3-4(8)1-2-6(5)9/h1-3,8-9H"
29,"InChI=1S/C6H5BrO2/c7-5-3-4(8)1-2-6(5)9/h1-3,8-9H"
30,InChI=1S/C6H2Cl4O2/c7-1-2(8)6(12)4(10)3(9)5(1)11/h11-12H
31,InChI=1S/C6H2F4O2/c7-1-2(8)6(12)4(10)3(9)5(1)11/h11-12H
32,"InChI=1S/C12H10O2/c13-10-6-7-12(14)11(8-10)9-4-2-1-3-5-9/h1-8,13-14H"
33,"InChI=1S/C7H6O3/c8-4-5-3-6(9)1-2-7(5)10/h1-4,9-10H"
34,"InChI=1S/C6H4Cl2O2/c7-3-1-5(9)4(8)2-6(3)10/h1-2,9-10H"
35,InChI=1S/C6H2Cl4O2/c7-1-2(8)4(10)6(12)5(11)3(1)9/h11-12H
36,InChI=1S/C6H2Br4O2/c7-1-2(8)4(10)6(12)5(11)3(1)9/h11-12H
