Compound Id	Ionization constant
1	8.45
2	11.39
3	6.75
4	10.48
5	10.63
6	7.44
7	10.50
8	7.37
9	6.80
10	5.72
11	6.35
12	10.88
13	8.96
14	7.87
15	7.97
16	8.58
17	10.58
18	7.58
19	10.22
20	12.55
21	6.75
22	6.78
23	7.51
24	9.92
25	10.28
26	8.67
27	9.34
28	8.85
29	8.54
30	8.55
31	6.98
32	10.11
33	10.20
34	8.73
35	10.37
36	9.67
37	9.67
38	10.23
39	9.90
40	9.92
41	9.92
42	10.40
43	9.88
44	9.99
45	9.55
46	11.10
47	10.25
48	8.63
49	10.32
50	6.20
51	8.18
52	6.20
53	6.37
54	9.35
55	10.15
56	10.32
57	9.92
58	9.03
59	8.96
60	8.85
61	9.10
62	8.61
63	7.80
64	9.94
65	10.07
66	9.29
67	9.67
68	9.19
69	9.00
70	4.08
71	9.83
72	8.88
73	10.10
74	9.65
75	9.63
76	10.10
77	9.92
78	10.30
79	7.28
80	10.23
81	10.60
82	6.40
83	10.00
84	9.70
85	8.20
86	9.34
87	10.60
88	10.03
89	9.67
90	9.65
91	9.54
92	9.55
93	9.43
94	8.11
95	7.95
96	10.50
97	10.00
98	9.89
99	10.70
100	10.70
101	9.63
102	10.05
103	9.85
104	7.96
105	9.90
106	9.27
107	9.92
108	8.05
109	7.62
110	9.23
111	4.58
112	8.89
113	9.52
114	9.92
115	4.49
116	8.85
117	9.20
118	10.30
119	10.20
120	9.55
121	10.30
122	10.30
123	10.30
124	9.34
125	6.06
126	9.79
127	9.46
128	9.49
129	12.50
130	8.68
131	9.09
132	9.92
133	8.92
134	8.89
135	10.10
136	9.21
137	9.05
138	9.21
139	10.40
140	10.26
141	7.91
142	10.26
143	9.92
144	9.99
145	9.44
146	8.34
147	9.92
148	8.36
149	9.92
150	8.78
151	2.98
152	7.62
153	7.40
154	6.22
155	5.24
156	6.00
157	5.15
158	0.15
159	4.75
160	4.08
161	5.22
162	4.12
163	5.37
164	3.99
165	3.71
166	6.42
167	5.42
168	4.32
169	4.57
170	4.70
171	5.86
172	9.03
173	9.54
174	9.98
175	4.48
176	5.10
177	9.28
178	10.23
179	9.83
180	9.96
181	10.12
182	5.28
183	5.65
184	8.50
185	9.01
186	9.96
187	5.01
188	3.77
189	5.18
190	8.29
191	9.36
192	8.34
193	9.91
194	9.61
195	9.99
196	9.74
197	5.83
198	10.41
199	4.03
200	0.14
201	2.71
202	5.64
203	7.15
204	7.22
205	6.21
206	6.40
207	6.00
208	7.29
209	8.36
210	3.34
211	6.48
212	6.40
213	4.50
214	7.11
215	8.58
216	6.13
217	6.70
218	7.65
219	6.48
220	6.04
221	6.35
