ID,InchiCode
1,"InChI=1S/C2H3Cl3/c3-1-2(4)5/h2H,1H2"
2,"InChI=1S/C2H4Cl2/c1-2(3)4/h2H,1H3"
3,"InChI=1S/C3H5Cl3/c4-1-3(6)2-5/h3H,1-2H2"
4,InChI=1S/C6H4Cl2/c7-5-3-1-2-4-6(5)8/h1-4H
5,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2
6,"InChI=1S/C3H6Cl2/c1-3(5)2-4/h3H,2H2,1H3/t3-/m1/s1"
7,InChI=1S/C6H4Cl2/c7-5-2-1-3-6(8)4-5/h1-4H
8,InChI=1S/C3H6Cl2/c4-2-1-3-5/h1-3H2
9,InChI=1S/C6H4Cl2/c7-5-1-2-6(8)4-3-5/h1-4H
10,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3"
11,"InChI=1S/C4H9Cl/c1-2-3-4-5/h2-4H2,1H3"
12,"InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3"
13,"InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3"
14,"InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3"
15,"InChI=1S/C8H18O3/c1-2-3-5-10-7-8-11-6-4-9/h9H,2-8H2,1H3"
16,"InChI=1S/C6H14O3/c1-2-8-5-6-9-4-3-7/h7H,2-6H2,1H3"
17,"InChI=1S/C6H4Cl3N/c7-3-1-2-4(10)6(9)5(3)8/h1-2H,10H2"
18,"InChI=1S/C6H3Cl3O/c7-3-1-2-4(10)6(9)5(3)8/h1-2,10H"
19,"InChI=1S/C6H3Cl3O/c7-3-1-4(8)6(9)5(10)2-3/h1-2,10H"
20,"InChI=1S/C9H12O/c1-6-4-7(2)8(3)9(10)5-6/h4-5,10H,1-3H3"
21,"InChI=1S/C6H5Cl2N/c7-4-2-1-3-5(9)6(4)8/h1-3H,9H2"
22,"InChI=1S/C8H11N/c1-6-4-3-5-8(9)7(6)2/h3-5H,9H2,1-2H3"
23,"InChI=1S/C6H4Cl3N/c7-3-1-5(9)6(10)2-4(3)8/h1-2H,10H2"
24,"InChI=1S/C6H3Cl3O/c7-3-1-5(9)6(10)2-4(3)8/h1-2,10H"
25,"InChI=1S/C6H4Cl3N/c7-3-1-4(8)6(10)5(9)2-3/h1-2H,10H2"
26,"InChI=1S/C6H3Cl3O/c7-3-1-4(8)6(10)5(9)2-3/h1-2,10H"
27,"InChI=1S/C9H12O/c1-6-4-7(2)9(10)8(3)5-6/h4-5,10H,1-3H3"
28,"InChI=1S/C6H5Cl2N/c7-4-1-2-6(9)5(8)3-4/h1-3H,9H2"
