Compound Id	3D-MoRSE - signal 30/weighted by atomic masses
95-15-8	0.128
110-06-5	0.064
107-47-1	0.042
544-40-1	0.137
75-15-0	0.093
592-88-1	0.157
7133-46-2	0.125
544-02-5	0.145
75-18-3	0.109
16587-40-9	0.14
1207-12-1	0.335
638-02-8	-0.043
20333-39-5	0.176
3698-94-0	0.152
30453-31-7	0.164
4110-50-3	0.111
1551-32-2	0.152
872-55-9	0.037
1195-14-8	0.15
7372-88-5	0.366
1551-21-9	0.105
1741-83-9	0.141
100-68-5	0.097
1795-09-1	0.138
2084-19-7	0.065
16587-32-9	0.227
1551-27-5	0.058
4565-32-6	0.239
109-79-5	0.076
143-10-2	0.12
112-55-0	0.13
75-08-1	0.062
1639-09-4	0.092
111-31-9	0.094
74-93-1	0.059
1455-21-6	0.113
25360-10-5	0.057
111-88-6	0.103
110-66-7	0.095
107-03-9	0.062
5332-52-5	0.127
67-68-5	0.172
625-60-5	0.149
60-24-2	0.065
3268-49-3	0.054
100-53-8	0.081
513-53-1	0.049
75-66-1	0.036
1569-69-3	0.117
25103-58-6	0.099
540-63-6	0.123
513-44-0	0.08
75-33-2	0.055
141-59-3	0.049
108-98-5	0.049
598-04-9	0.27
2150-02-9	0.127
110-77-0	0.094
107-96-0	0.09
872-93-5	0.301
598-03-8	0.265
126-33-0	0.306
111-48-8	0.078
68-11-1	0.087
132-65-0	0.223
110-81-6	0.162
352-93-2	0.105
624-92-0	0.188
882-33-7	0.174
14290-92-7	0.079
55735-23-4	-0.032
6163-64-0	0.092
624-89-5	0.106
13286-92-5	0.108
628-29-5	0.126
3877-15-4	0.109
554-14-3	-0.004
616-44-4	0.022
629-19-6	0.166
111-47-7	0.113
110-01-0	0.183
420-12-2	0.118
110-02-1	0.031
287-27-4	0.141
2690-08-6	0.195
