Compound Id	Sum of Kier-Hall electrotopological states
100-53-8	16.39
109-79-5	9.72
513-53-1	10.06
75-66-1	10.47
1569-69-3	12.06
143-10-2	18.72
112-55-0	21.72
25103-58-6	22.47
540-63-6	9.44
75-08-1	6.72
1639-09-4	14.22
111-31-9	12.72
513-44-0	10.06
75-33-2	8.56
74-93-1	5.22
1455-21-6	17.22
25360-10-5	17.97
111-88-6	15.72
141-59-3	16.47
110-66-7	11.22
108-98-5	14.89
107-03-9	8.22
5332-52-5	20.22
598-04-9	27.92
2150-02-9	15.94
67-68-5	12.22
625-60-5	16
110-77-0	14.33
60-24-2	12.22
107-96-0	20.89
872-93-5	22.75
3268-49-3	15.83
598-03-8	24.92
126-33-0	20.92
111-48-8	19.83
68-11-1	19.39
95-15-8	17.17
110-06-5	18.17
107-47-1	16.33
544-40-1	14.83
75-15-0	9.83
592-88-1	14.83
132-65-0	24.5
7133-46-2	19.5
110-81-6	10.67
352-93-2	8.83
544-02-5	18.5
624-92-0	7.67
75-18-3	5.83
16587-40-9	20.5
1207-12-1	27.83
638-02-8	13.17
882-33-7	27
14290-92-7	12.58
55735-23-4	16.33
20333-39-5	9.17
3698-94-0	17.83
30453-31-7	12.17
4110-50-3	10.33
1551-32-2	11.17
872-55-9	13
1195-14-8	18.83
6163-64-0	11.08
7372-88-5	26.17
624-89-5	7.33
1551-21-9	9.17
13286-92-5	12.58
1741-83-9	11.83
100-68-5	15.5
628-29-5	10.33
3877-15-4	8.83
1795-09-1	9.67
554-14-3	11.5
616-44-4	11.5
2690-08-6	26.83
2084-19-7	11.56
629-19-6	13.67
111-47-7	11.83
16587-32-9	21.83
1551-27-5	14.5
110-01-0	7.83
420-12-2	4.83
4565-32-6	16.17
110-02-1	9.83
287-27-4	6.33
