Compound Id	Auto-Ignition Temperature
95-15-8	630
110-06-5	471
107-47-1	524
544-40-1	489
75-15-0	371
592-88-1	487
7133-46-2	497
544-02-5	464
75-18-3	479
16587-40-9	573
1207-12-1	738
638-02-8	554
20333-39-5	477
3698-94-0	476
30453-31-7	466
4110-50-3	514
1551-32-2	503
872-55-9	564
1195-14-8	636
7372-88-5	728
1551-21-9	533
1741-83-9	505
100-68-5	534
1795-09-1	535
2084-19-7	542
16587-32-9	552
1551-27-5	549
4565-32-6	533
109-79-5	545
143-10-2	483
112-55-0	470
75-08-1	573
1639-09-4	509
111-31-9	520
74-93-1	598
1455-21-6	491
25360-10-5	509
111-88-6	500
110-66-7	532
107-03-9	560
5332-52-5	476
67-68-5	488
625-60-5	556
60-24-2	568
3268-49-3	528
2690-08-6	446
