Compound Id	a
1	0.31
2	0.8
3	0.5
4	0.52
5	0.27
6	0.32
7	0.7
8	0.65
9	0.52
10	0.67
11	0.65
12	0.26
13	0.36
14	0.67
15	0.5
16	0.24
17	0.28
18	0.25
19	0.25
20	0.26
21	0.51
22	0.24
23	0.38
24	0.27
25	0.22
26	0.34
27	0.34
28	0.2
29	0.44
30	0.32
31	0.33
32	0.28
33	0.59
34	0.28
35	0.31
36	0.35
37	0.59
38	0.35
39	0.25
40	0.33
41	0.43
42	0.37
43	0.46
44	0.36
45	0.58
46	0.5
47	0.32
48	0.31
49	0.46
50	0.46
51	0.76
52	0.76
53	0.5
54	0.3
55	0.3
56	0.47
57	0.27
58	0.47
59	0.19
60	0.22
61	0.48
62	0.22
63	0.5
64	0.55
65	0.64
66	0.49
67	0.36
68	0.68
69	0.62
70	0.37
71	0.31
72	0.65
73	0.64
74	0.5
75	0.58
76	0.26
77	0.6
78	0.63
79	0.52
80	0.57
81	0.36
82	0.48
83	0.46
84	0.33
85	0.4
86	0.27
87	0.31
88	0.4
89	0.42
90	0.47
91	0.56
92	0.5
93	0.63
94	0.58
95	0.55
96	0.66
97	0.67
98	0.69
99	0.55
100	0.28
101	0.55
102	0.67
103	0.68
104	0.65
105	0.65
106	0.7
108	0.44
109	0.44
110	0.31
111	0.27
112	0.57
113	0.62
114	0.57
115	0.63
116	0.67
117	0.53
118	0.43
119	0.52
120	0.31
121	0.55
122	0.45
123	0.55
124	0.35
125	0.6
126	0.36
127	0.47
128	0.54
129	0.25
130	0.63
131	0.43
132	0.28
133	0.42
134	0.6
135	0.47
136	0.8
137	0.49
138	0.41
139	0.58
140	0.55
141	0.48
142	0.42
143	0.53
144	0.66
145	0.35
146	0.52
147	0.36
148	0.38
149	0.42
150	0.71
151	0.56
152	0.76
153	0.51
154	0.51
155	0.41
156	0.32
157	0.55
158	0.35
159	0.52
160	0.45
161	0.35
162	0.59
163	0.43
164	0.56
165	0.51
166	0.67
167	0.49
168	0.49
169	0.52
170	0.62
171	0.47
172	0.54
173	0.5
174	0.44
175	0.41
176	0.37
177	0.39
178	0.27
179	0.57
180	0.74
181	0.46
182	0.43
183	0.53
184	0.8
185	0.43
186	0.51
187	0.53
188	0.33
189	0.51
190	0.21
191	0.46
192	0.32
193	0.39
194	0.39
195	0.63
196	0.52
197	0.28
198	0.64
199	0.32
200	0.47
201	0.38
202	0.25
203	0.37
204	0.43
205	0.33
206	0.37
207	0.28
208	0.3
209	0.29
210	0.36
211	0.58
212	0.56
213	0.52
214	0.32
215	0.52
216	0.38
217	0.64
218	0.41
219	0.44
220	0.39
221	0.4
