Compound Id	Average molecular weight
000061-82-5	8.41
000086-50-0	10.24
000095-14-7	8.51
000134-58-7	10.14
000273-40-5	10.09
001031-47-6	7.33
002642-71-9	9.34
014500-23-3	8.31
024017-47-8	8.7
041083-11-8	7.39
041814-78-2	9.46
042509-80-8	8.97
043121-43-3	8.16
055179-31-2	7.03
055219-65-3	7.78
060207-31-0	10.01
060207-90-1	8.78
060207-93-4	9.12
066246-88-6	8.61
068049-83-2	9.66
075736-33-3	8.21
076674-21-0	8.61
079983-71-4	8.49
082200-72-4	7.78
083657-17-4	7.68
083657-22-1	7.68
083657-24-3	8.59
086598-92-7	10.84
088671-89-0	7.81
089482-17-7	7.78
094361-06-5	7.68
098967-40-9	10.49
103112-35-2	13.45
107534-96-3	7.16
112143-82-5	7.31
112281-77-3	10.95
114369-43-6	8.22
116255-48-2	11.78
119126-15-7	10.24
119446-68-3	9.23
122836-35-5	11.73
125116-23-6	7.27
125225-28-7	7.1
125306-83-4	7.62
128639-02-1	10.31
129586-32-9	7.68
131983-72-7	7.57
139528-85-1	10.25
147150-35-4	10.48
