Compound Id	Presence/absence of N - Cl at topological distance 9
000061-82-5	0
000086-50-0	0
002642-71-9	0
024017-47-8	0
041814-78-2	0
042509-80-8	0
043121-43-3	1
055219-65-3	1
060207-31-0	1
060207-90-1	1
066246-88-6	1
068049-83-2	0
076674-21-0	0
079983-71-4	1
082200-72-4	1
086598-92-7	1
088671-89-0	1
089482-17-7	1
094361-06-5	1
098967-40-9	0
103112-35-2	0
107534-96-3	1
112143-82-5	0
112281-77-3	1
114369-43-6	1
116255-48-2	1
119126-15-7	1
119446-68-3	0
122836-35-5	0
125116-23-6	1
125225-28-7	1
125306-83-4	0
128639-02-1	0
