Compound Id	Frequency of N - N at topological distance 3
000061-82-5	1
000086-50-0	0
000095-14-7	0
001031-47-6	3
002642-71-9	0
024017-47-8	0
041814-78-2	0
042509-80-8	0
043121-43-3	0
055179-31-2	0
055219-65-3	0
060207-31-0	0
060207-90-1	0
060207-93-4	0
066246-88-6	0
068049-83-2	0
075736-33-3	0
076674-21-0	0
079983-71-4	0
082200-72-4	0
083657-17-4	0
083657-22-1	0
083657-24-3	0
086598-92-7	1
088671-89-0	0
089482-17-7	0
094361-06-5	0
098967-40-9	3
103112-35-2	0
107534-96-3	0
112143-82-5	1
112281-77-3	0
114369-43-6	0
116255-48-2	0
119126-15-7	2
119446-68-3	0
122836-35-5	0
125116-23-6	0
125225-28-7	0
125306-83-4	1
131983-72-7	0
139528-85-1	3
147150-35-4	3
001123-54-2	4
001455-77-2	2
002338-12-7	0
002440-22-4	0
006085-94-5	0
013351-73-0	0
015421-84-8	2
019794-93-5	1
029975-16-4	2
057801-81-7	2
059338-93-1	1
066535-86-2	0
083366-66-9	1
