Compound Id	Topological charge index of order 4
000061-82-5	0
000086-50-0	1.067
000095-14-7	0.097
001031-47-6	1.286
002642-71-9	1.147
024017-47-8	0.636
041814-78-2	0.528
042509-80-8	0.765
043121-43-3	1.382
055179-31-2	1.333
055219-65-3	1.382
060207-31-0	0.763
060207-90-1	1.058
060207-93-4	1.058
066246-88-6	0.768
068049-83-2	1.512
075736-33-3	1.493
076674-21-0	1.297
079983-71-4	1.048
082200-72-4	1.382
083657-17-4	1.382
083657-22-1	1.382
083657-24-3	1.493
086598-92-7	1.151
088671-89-0	0.857
089482-17-7	1.382
094361-06-5	1.222
098967-40-9	2.157
103112-35-2	1.963
107534-96-3	1.337
112143-82-5	1.585
112281-77-3	1.008
114369-43-6	1.026
116255-48-2	0.933
119126-15-7	1.874
119446-68-3	1.316
122836-35-5	2.024
125116-23-6	1.452
125225-28-7	1.542
125306-83-4	1.739
131983-72-7	1.452
139528-85-1	2.744
147150-35-4	2.753
001123-54-2	0.333
001455-77-2	0
002338-12-7	0.528
002440-22-4	1.001
006085-94-5	0.186
013351-73-0	0.137
015421-84-8	0.914
019794-93-5	0.907
029975-16-4	1.069
057801-81-7	1.327
059338-93-1	1.249
066535-86-2	1.099
083366-66-9	1.251
