Compound Id	Average connectivity index of order 1
000061-82-5	0.482
000086-50-0	0.455
000095-14-7	0.447
001031-47-6	0.446
002642-71-9	0.459
024017-47-8	0.46
041814-78-2	0.424
042509-80-8	0.467
043121-43-3	0.446
055179-31-2	0.443
055219-65-3	0.446
060207-31-0	0.438
060207-90-1	0.443
060207-93-4	0.44
066246-88-6	0.458
068049-83-2	0.442
075736-33-3	0.445
076674-21-0	0.441
079983-71-4	0.455
082200-72-4	0.446
083657-17-4	0.446
083657-22-1	0.446
083657-24-3	0.445
086598-92-7	0.448
088671-89-0	0.462
089482-17-7	0.446
094361-06-5	0.436
098967-40-9	0.432
103112-35-2	0.445
107534-96-3	0.445
112143-82-5	0.46
112281-77-3	0.45
114369-43-6	0.451
116255-48-2	0.436
119126-15-7	0.439
119446-68-3	0.435
122836-35-5	0.438
125116-23-6	0.434
125225-28-7	0.439
125306-83-4	0.449
131983-72-7	0.434
139528-85-1	0.438
147150-35-4	0.442
001123-54-2	0.443
001455-77-2	0.47
002338-12-7	0.444
002440-22-4	0.434
006085-94-5	0.458
013351-73-0	0.443
015421-84-8	0.454
019794-93-5	0.438
029975-16-4	0.43
057801-81-7	0.426
059338-93-1	0.449
066535-86-2	0.427
083366-66-9	0.448
