Compound Id	Vapour pressure
000061-82-5	-6.36
000086-50-0	-5.8
002642-71-9	-5.62
024017-47-8	-5.54
041814-78-2	-6.7
042509-80-8	-4.06
043121-43-3	-7.82
055219-65-3	-9.51
060207-31-0	-7.19
060207-90-1	-6
066246-88-6	-5.56
068049-83-2	-11.12
076674-21-0	-10.27
079983-71-4	-6.87
082200-72-4	-8.52
086598-92-7	-9.2
088671-89-0	-5.8
089482-17-7	-8.35
094361-06-5	-6.59
098967-40-9	-11.56
103112-35-2	-8.18
107534-96-3	-7.89
112143-82-5	-6.92
112281-77-3	-5.87
114369-43-6	-7.43
116255-48-2	-7.52
119126-15-7	-6.82
119446-68-3	-9.6
122836-35-5	-9.01
125116-23-6	-7.03
125225-28-7	-7.4
125306-83-4	-10.65
128639-02-1	-6.92
