Compound Id	2D frequency fingerprint of C-C at distance 01
000075-63-8	0
000075-89-8	1
000076-05-1	1
000076-13-1	1
000076-37-9	2
000079-38-9	1
000098-08-8	7
000098-16-8	7
000098-46-4	7
000098-56-6	7
000116-14-3	1
000116-15-4	2
000124-73-2	1
000127-21-9	2
000151-67-7	1
000303-04-8	3
000306-83-2	1
000308-48-5	6
000336-19-6	6
000354-06-3	1
000354-25-6	1
000354-33-6	1
000354-51-8	1
000358-21-4	2
000359-70-6	3
000360-58-7	4
000376-53-4	5
000376-89-6	4
000377-73-1	2
000378-75-6	2
000392-56-3	6
000421-06-7	1
000422-05-9	2
000422-51-5	2
000422-64-0	2
000425-38-7	2
000431-21-0	2
000460-39-9	2
000460-69-5	2
000677-21-4	2
000706-79-6	5
000753-90-2	1
000754-34-7	2
000775-40-6	6
000811-97-2	1
002378-02-1	3
002418-21-5	3
013838-16-9	1
017705-30-5	2
019041-02-2	2
026675-46-7	1
028523-86-6	2
029256-79-9	1
039660-55-4	4
058194-00-6	4
061623-04-9	2
