Compound Id	2D Moran autocorrelation descriptor
000075-89-8	-0.381
000076-21-1	-0.075
000121-17-5	0.097
000127-21-9	-0.222
000311-89-7	-0.116
000335-76-2	-0.068
000344-07-0	0
000350-57-2	-0.093
000355-42-0	-0.123
000358-21-4	-0.385
000360-53-2	-0.288
000363-72-4	0
000375-01-9	-0.177
000375-34-8	-0.159
000375-73-5	-0.146
000376-18-1	-0.075
000376-53-4	-0.09
000376-72-7	-0.137
000376-89-6	-0.103
000376-90-9	-0.128
000422-56-0	-0.225
000424-40-8	-0.24
000425-87-6	-0.501
000440-60-8	0
000447-14-3	0
000507-55-1	-0.225
000684-16-2	-0.251
000706-79-6	0
000754-91-6	-0.082
000756-91-2	-0.059
001478-61-1	0.022
001546-95-8	-0.097
001599-41-3	-0.221
002355-43-3	-0.029
004151-50-2	-0.094
013838-16-9	-0.502
023152-45-6	-0.074
024095-80-5	-0.068
026675-46-7	-0.502
028523-86-6	-0.375
039660-55-4	-0.135
061988-37-2	-0.093
089426-93-7	-0.037
089427-09-8	-0.032
089427-15-6	-0.033
089427-27-0	-0.036
089427-28-1	-0.038
089427-30-5	-0.107
089427-31-6	-0.032
138495-42-8	-0.143
