ID,InchiCode
1,"InChI=1S/C8H12O/c1-2-3-4-5-6-7-8-9/h8H,2-5H2,1H3"
2,"InChI=1S/C9H6O/c10-8-4-7-9-5-2-1-3-6-9/h1-3,5-6,8H"
3,"InChI=1S/C4H6O/c1-4(2)3-5/h3H,1H2,2H3"
4,"InChI=1S/C5H8O/c1-3-5(2)4-6/h4H,2-3H2,1H3"
5,"InChI=1S/C5H8O/c1-2-3-4-5-6/h3-5H,2H2,1H3/b4-3+"
6,"InChI=1S/C9H14O/c1-2-3-4-5-6-7-8-9-10/h3-4,7-9H,2,5-6H2,1H3/b4-3-,8-7+"
7,"InChI=1S/C8H14O/c1-2-3-4-5-6-7-8-9/h6-8H,2-5H2,1H3/b7-6+"
8,"InChI=1S/C6H10O/c1-6(2)4-3-5-7/h3-6H,1-2H3/b4-3-"
9,"InChI=1S/C10H18O/c1-2-3-4-5-6-7-8-9-10-11/h8-10H,2-7H2,1H3/b9-8+"
10,"InChI=1S/C6H8O/c1-2-3-4-5-6-7/h2-6H,1H3/b3-2+,5-4+"
11,"InChI=1S/C7H10O/c1-2-3-4-5-6-7-8/h3-7H,2H2,1H3/b4-3+,6-5+"
12,"InChI=1S/C9H14O/c1-2-3-4-5-6-7-8-9-10/h5-9H,2-4H2,1H3/b6-5+,8-7+"
13,"InChI=1S/C5H8O/c1-5(2)3-4-6/h3-4H,1-2H3"
14,"InChI=1S/C5H8O/c1-3-5(2)4-6/h3-4H,1-2H3/b5-3+"
15,"InChI=1S/C6H10O/c1-3-4-6(2)5-7/h4-5H,3H2,1-2H3/b6-4+"
16,"InChI=1S/C5H8O/c1-3-5(6)4-2/h3H,1,4H2,2H3"
17,"InChI=1S/C6H10O/c1-3-5-6(7)4-2/h4H,2-3,5H2,1H3"
18,"InChI=1S/C8H14O/c1-3-5-6-7-8(9)4-2/h4H,2-3,5-7H2,1H3"
19,"InChI=1S/C6H8O/c1-3-4-5-6(2)7/h3H2,1-2H3"
20,"InChI=1S/C5H8O/c1-3-4-5(2)6/h3-4H,1-2H3/b4-3-"
21,"InChI=1S/C8H14O/c1-3-5-7-8(9)6-4-2/h4,6H,3,5,7H2,1-2H3/b6-4+"
22,"InChI=1S/C5H6O/c6-5-3-1-2-4-5/h1,3H,2,4H2"
23,"InChI=1S/C6H10O/c1-3-5-6(7)4-2/h3,5H,4H2,1-2H3/b5-3-"
24,"InChI=1S/C7H12O/c1-3-4-5-6-7(2)8/h5-6H,3-4H2,1-2H3/b6-5+"
25,"InChI=1S/C8H14O/c1-3-4-5-6-7-8(2)9/h6-7H,3-5H2,1-2H3/b7-6+"
26,"InChI=1S/C9H16O/c1-3-4-5-6-7-8-9(2)10/h7-8H,3-6H2,1-2H3/b8-7+"
27,"InChI=1S/C6H10O/c1-4-5(2)6(3)7/h4H,1-3H3/b5-4-"
28,"InChI=1S/C6H10O/c1-5(2)4-6(3)7/h4H,1-3H3"
29,"InChI=1S/C6H8O/c1-5-3-2-4-6(5)7/h3H,2,4H2,1H3"
30,"InChI=1S/C6H8O/c1-5-2-3-6(7)4-5/h4H,2-3H2,1H3"
31,"InChI=1S/C4H4O2/c1-3-4(5)6-2/h1H,2H3"
32,"InChI=1S/C5H6O2/c1-3-5(6)7-4-2/h1H,4H2,2H3"
33,"InChI=1S/C6H6O2/c1-3-5-8-6(7)4-2/h1,4H,2,5H2"
34,"InChI=1S/C6H8O2/c1-3-5-8-6(7)4-2/h3-4H,1-2,5H2"
35,"InChI=1S/C4H6O2/c1-3-4(5)6-2/h3H,1H2,2H3"
36,"InChI=1S/C5H8O2/c1-3-5(6)7-4-2/h3H,1,4H2,2H3"
37,"InChI=1S/C6H10O2/c1-3-5-8-6(7)4-2/h4H,2-3,5H2,1H3"
38,"InChI=1S/C7H12O2/c1-3-5-6-9-7(8)4-2/h4H,2-3,5-6H2,1H3"
39,"InChI=1S/C7H12O2/c1-5-6(8)9-7(2,3)4/h5H,1H2,2-4H3"
40,"InChI=1S/C9H16O2/c1-3-4-5-6-7-8-9(10)11-2/h7-8H,3-6H2,1-2H3/b8-7+"
41,"InChI=1S/C7H8O2/c1-4-5-9-7(8)6(2)3/h1H,2,5H2,3H3"
42,"InChI=1S/C5H8O2/c1-3-4-5(6)7-2/h3-4H,1-2H3/b4-3+"
43,"InChI=1S/C6H10O2/c1-3-5-6(7)8-4-2/h3,5H,4H2,1-2H3/b5-3+"
44,"InChI=1S/C5H8O2/c1-4(2)5(6)7-3/h1H2,2-3H3"
45,"InChI=1S/C6H10O2/c1-4-8-6(7)5(2)3/h2,4H2,1,3H3"
46,"InChI=1S/C6H10O2/c1-4-5(2)6(7)8-3/h4H,1-3H3/b5-4-"
