ID,InchiCode
1,"InChI=1S/C12H10N2O/c15-12-8-6-11(7-9-12)14-13-10-4-2-1-3-5-10/h1-9,13H"
2,"InChI=1S/C6H4N2O5/c9-6-2-1-4(7(10)11)3-5(6)8(12)13/h1-3,9H"
3,"InChI=1S/C6H4N2O5/c9-6-3-4(7(10)11)1-2-5(6)8(12)13/h1-3,9H"
4,"InChI=1S/C6H4N2O5/c9-6-4(7(10)11)2-1-3-5(6)8(12)13/h1-3,9H"
5,"InChI=1S/C10H6N2O5/c13-10-7-4-2-1-3-6(7)8(11(14)15)5-9(10)12(16)17/h1-5,13H"
6,"InChI=1S/C7H6N2O5/c1-4-2-5(8(11)12)7(10)6(3-4)9(13)14/h2-3,10H,1H3"
7,"InChI=1S/C7H6N2O5/c1-4-2-5(8(11)12)3-6(7(4)10)9(13)14/h2-3,10H,1H3"
8,"InChI=1S/C6H3Br2NO3/c7-4-1-3(9(11)12)2-5(8)6(4)10/h1-2,10H"
9,"InChI=1S/C6H3Cl2NO3/c7-3-1-4(8)6(10)5(2-3)9(11)12/h1-2,10H"
10,"InChI=1S/C6H3I2NO3/c7-4-1-3(9(11)12)2-5(8)6(4)10/h1-2,10H"
11,"InChI=1S/C6H2Cl4O/c7-2-1-3(11)5(9)6(10)4(2)8/h1,11H"
12,"InChI=1S/C6H2Cl4O/c7-2-1-3(8)5(10)6(11)4(2)9/h1,11H"
13,"InChI=1S/C6H2F4O/c7-2-1-3(8)5(10)6(11)4(2)9/h1,11H"
14,"InChI=1S/C7H4Br4O/c1-2-3(8)4(9)5(10)6(11)7(2)12/h12H,1H3"
15,InChI=1S/C6HBr5O/c7-1-2(8)4(10)6(12)5(11)3(1)9/h12H
16,InChI=1S/C6HCl5O/c7-1-2(8)4(10)6(12)5(11)3(1)9/h12H
17,InChI=1S/C6HF5O/c7-1-2(8)4(10)6(12)5(11)3(1)9/h12H
18,"InChI=1S/C12H11N3/c13-10-6-8-12(9-7-10)15-14-11-4-2-1-3-5-11/h1-9H,13H2"
19,"InChI=1S/C6H5N3O4/c7-5-2-1-4(8(10)11)3-6(5)9(12)13/h1-3H,7H2"
20,"InChI=1S/C6H5N3O4/c7-6-4(8(10)11)2-1-3-5(6)9(12)13/h1-3H,7H2"
21,"InChI=1S/C6H5N3O4/c7-4-1-5(8(10)11)3-6(2-4)9(12)13/h1-3H,7H2"
22,"InChI=1S/C7H7N3O4/c1-4-2-5(9(11)12)7(8)6(3-4)10(13)14/h2-3H,8H2,1H3"
23,"InChI=1S/C6H4Br2N2O2/c7-3-1-4(8)6(9)5(2-3)10(11)12/h1-2H,9H2"
24,"InChI=1S/C6H4Br2N2O2/c7-4-1-3(10(11)12)2-5(8)6(4)9/h1-2H,9H2"
25,"InChI=1S/C6H4Cl2N2O2/c7-3-1-4(8)6(9)5(2-3)10(11)12/h1-2H,9H2"
26,"InChI=1S/C6H4Cl2N2O2/c7-4-1-3(10(11)12)2-5(8)6(4)9/h1-2H,9H2"
27,"InChI=1S/C6H4Cl2N2O2/c7-3-1-5(9)6(10(11)12)2-4(3)8/h1-2H,9H2"
28,"InChI=1S/C6H4F2N2O2/c7-3-1-5(9)6(10(11)12)2-4(3)8/h1-2H,9H2"
29,"InChI=1S/C6H3Cl4N/c7-2-1-3(11)5(9)6(10)4(2)8/h1H,11H2"
30,"InChI=1S/C6H3Cl4N/c7-2-1-3(8)5(10)6(11)4(2)9/h1H,11H2"
32,"InChI=1S/C15H15NO2/c1-10-6-5-9-13(11(10)2)16-14-8-4-3-7-12(14)15(17)18/h3-9,16H,1-2H3,(H,17,18)"
33,"InChI=1S/C6H3N3O7/c10-6-4(8(13)14)1-3(7(11)12)2-5(6)9(15)16/h1-2,10H"
