Compound Id	Viscosity parameter X for cation
[Bmim][PF6]_1	0.02219
[Bmim][PF6]_2	0.02219
[Bmim][PF6]_3	0.02219
[Bmim][PF6]_4	0.02219
[Bmim][PF6]_5	0.02219
[Bmim][PF6]_6	0.02219
[Bmim][PF6]_7	0.02219
[Bmim][PF6]_8	0.02219
[Bmim][PF6]_9	0.02219
[Bmim][PF6]_10	0.02219
[Bmim][PF6]_11	0.02219
[Bmim][PF6]_12	0.02219
[Bmim][PF6]_13	0.02219
[Bmim][PF6]_14	0.02219
[Bmim][PF6]_15	0.02219
[Bmim][PF6]_16	0.02219
[Bmim][PF6]_17	0.02219
[Bmim][PF6]_18	0.02219
[Bmim][PF6]_19	0.02219
[Bmim][PF6]_20	0.02219
[Bmim][PF6]_21	0.02219
[Bmim][PF6]_22	0.02219
[Bmim][PF6]_23	0.02219
[Bmim][PF6]_24	0.02219
[Bmim][PF6]_25	0.02219
[Bmim][PF6]_26	0.02219
[Bmim][PF6]_27	0.02219
[Bmim][PF6]_28	0.02219
[Bmim][PF6]_29	0.02219
[Bmim][PF6]_30	0.02219
[Bmim][PF6]_31	0.02219
[Bmim][PF6]_32	0.02219
[Bmim][PF6]_33	0.02219
[Bmim][PF6]_34	0.02219
[Bmim][PF6]_35	0.02219
[Bmim][PF6]_36	0.02219
[Bmim][PF6]_37	0.02219
[Bmim][PF6]_38	0.02219
[Bmim][PF6]_39	0.02219
[Bmim][PF6]_40	0.02219
[Pemim][PF6]_1	0.02516
[Pemim][PF6]_2	0.02516
[Pemim][PF6]_3	0.02516
[Pemim][PF6]_4	0.02516
[Pemim][PF6]_5	0.02516
[Pemim][PF6]_6	0.02516
[Pemim][PF6]_7	0.02516
[Pemim][PF6]_8	0.02516
[Pemim][PF6]_9	0.02516
[Pemim][PF6]_10	0.02516
[Pemim][PF6]_11	0.02516
[Pemim][PF6]_12	0.02516
[Emim][BF4]_1	0.00325
[Emim][BF4]_2	0.00325
[Emim][BF4]_3	0.00325
[Emim][BF4]_4	0.00325
[Emim][BF4]_5	0.00325
[Emim][BF4]_6	0.00325
[Emim][BF4]_7	0.00325
[Emim][BF4]_8	0.00325
[Emim][BF4]_9	0.00325
[Prmim][BF4]_1	0.02452
[Bmim][BF4]_1	0.02219
[Bmim][BF4]_2	0.02219
[Bmim][BF4]_3	0.02219
[Bmim][BF4]_4	0.02219
[Bmim][BF4]_5	0.02219
[Bmim][BF4]_6	0.02219
[Bmim][BF4]_7	0.02219
[Bmim][BF4]_8	0.02219
[Bmim][BF4]_9	0.02219
[Bmim][BF4]_10	0.02219
[Bmim][BF4]_11	0.02219
[Bmim][BF4]_12	0.02219
[Bmim][BF4]_13	0.02219
[Bmim][BF4]_14	0.02219
[Bmim][BF4]_15	0.02219
[Bmim][BF4]_16	0.02219
[Bmim][BF4]_17	0.02219
[Bmim][BF4]_18	0.02219
[Bmim][BF4]_19	0.02219
[Bmim][BF4]_20	0.02219
[Bmim][BF4]_21	0.02219
[Bmim][BF4]_22	0.02219
[Bmim][BF4]_23	0.02219
[Bmim][BF4]_24	0.02219
[Bmim][BF4]_25	0.02219
[Bmim][BF4]_26	0.02219
[Pemim][BF4]_1	0.02516
[Pemim][BF4]_2	0.02516
[Pemim][BF4]_3	0.02516
[Pemim][BF4]_4	0.02516
[Pemim][BF4]_5	0.02516
[Pemim][BF4]_6	0.02516
[Pemim][BF4]_7	0.02516
[Pemim][BF4]_8	0.02516
[Pemim][BF4]_9	0.02516
[Hmim][BF4]_1	0.02227
[Hmim][BF4]_2	0.02227
[Hmim][BF4]_3	0.02227
[Hmim][BF4]_4	0.02227
[Hmim][BF4]_5	0.02227
[Hmim][BF4]_6	0.02227
[Hmim][BF4]_7	0.02227
[Hmim][BF4]_8	0.02227
[Hmim][BF4]_9	0.02227
[Hmim][BF4]_10	0.02227
[Omim][BF4]_1	0.02072
[Omim][BF4]_2	0.02072
[Omim][BF4]_3	0.02072
[Omim][BF4]_4	0.02072
[Omim][BF4]_5	0.02072
[Omim][BF4]_6	0.02072
[Omim][BF4]_7	0.02072
[Omim][BF4]_8	0.02072
[Omim][BF4]_9	0.02072
[Omim][BF4]_10	0.02072
[Omim][BF4]_11	0.02072
[Omim][BF4]_12	0.02072
[Omim][BF4]_13	0.02072
[Omim][BF4]_14	0.02072
[Omim][BF4]_15	0.02072
[Dmim][BF4]_1	0.01697
[Dmim][BF4]_2	0.01697
[Dmim][BF4]_3	0.01697
[iBmim][BF4]_1	0.0246
[iBmim][BF4]_2	0.0246
[iBmim][BF4]_3	0.0246
[iBmim][BF4]_4	0.0246
[iBmim][BF4]_5	0.0246
[iBmim][BF4]_6	0.0246
[iBmim][BF4]_7	0.0246
[iBmim][BF4]_8	0.0246
[iBmim][BF4]_9	0.0246
[iBmim][BF4]_10	0.0246
[EOHmim][BF4]_1	0.01982
[EOHmim][BF4]_2	0.01982
[EOHmim][BF4]_3	0.01982
[Bmim][OTf]_1	0.02219
[Bmim][OTf]_2	0.02219
[Bmim][OTf]_3	0.02219
[Bmim][OTf]_4	0.02219
[Bmim][OTf]_5	0.02219
[Bmim][OTf]_6	0.02219
[Bmim][OTf]_7	0.02219
[Bmim][OTf]_8	0.02219
[Bmim][OTf]_9	0.02219
[Bmim][OTf]_10	0.02219
[Bmim][OTf]_11	0.02219
[Bmim][OTf]_12	0.02219
[Bmim][OTf]_13	0.02219
[Bmim][OTf]_14	0.02219
[Bmim][OTf]_15	0.02219
[Bmim][OTf]_16	0.02219
[Bmim][OTf]_17	0.02219
[Emim][TF2N]_1	0.00325
[Emim][TF2N]_2	0.00325
[Emim][TF2N]_3	0.00325
[Emim][TF2N]_4	0.00325
[Emim][TF2N]_5	0.00325
[Emim][TF2N]_6	0.00325
[Emim][TF2N]_7	0.00325
[Emim][TF2N]_8	0.00325
[Emim][TF2N]_9	0.00325
[Emim][TF2N]_10	0.00325
[Emim][TF2N]_11	0.00325
[Emim][TF2N]_12	0.00325
[Emim][TF2N]_13	0.00325
[Emim][TF2N]_14	0.00325
[Emim][TF2N]_15	0.00325
[Emim][TF2N]_16	0.00325
[Emim][TF2N]_17	0.00325
[Emim][TF2N]_18	0.00325
[Emim][TF2N]_19	0.00325
[Emim][TF2N]_20	0.00325
[Emim][TF2N]_21	0.00325
[Emim][TF2N]_22	0.00325
[Emim][TF2N]_23	0.00325
[Emim][TF2N]_24	0.00325
[Prmim][TF2N]_1	0.02452
[Bmim][TF2N]_1	0.02219
[Bmim][TF2N]_2	0.02219
[Bmim][TF2N]_3	0.02219
[Bmim][TF2N]_4	0.02219
[Bmim][TF2N]_5	0.02219
[Bmim][TF2N]_6	0.02219
[Bmim][TF2N]_7	0.02219
[Bmim][TF2N]_8	0.02219
[Bmim][TF2N]_9	0.02219
[Bmim][TF2N]_10	0.02219
[Bmim][TF2N]_11	0.02219
[Bmim][TF2N]_12	0.02219
[Bmim][TF2N]_13	0.02219
[Bmim][TF2N]_14	0.02219
[Bmim][TF2N]_15	0.02219
[Bmim][TF2N]_16	0.02219
[Bmim][TF2N]_17	0.02219
[Bmim][TF2N]_18	0.02219
[Bmim][TF2N]_19	0.02219
[Bmim][TF2N]_20	0.02219
[Bmim][TF2N]_21	0.02219
[Bmim][TF2N]_22	0.02219
[Bmim][TF2N]_23	0.02219
[Bmim][TF2N]_24	0.02219
[Bmim][TF2N]_25	0.02219
[Bmim][TF2N]_26	0.02219
[Hmim][TF2N]_1	0.02227
[Hmim][TF2N]_2	0.02227
[Hmim][TF2N]_3	0.02227
[Hmim][TF2N]_4	0.02227
[Hmim][TF2N]_5	0.02227
[Hmim][TF2N]_6	0.02227
[Hmim][TF2N]_7	0.02227
[Hmim][TF2N]_8	0.02227
[Hmim][TF2N]_9	0.02227
[Hmim][TF2N]_10	0.02227
[Hmim][TF2N]_11	0.02227
[Hmim][TF2N]_12	0.02227
[Hmim][TF2N]_13	0.02227
[Hmim][TF2N]_14	0.02227
[Hmim][TF2N]_15	0.02227
[Hmim][TF2N]_16	0.02227
[Hmim][TF2N]_17	0.02227
[Hmim][TF2N]_18	0.02227
[Hmim][TF2N]_19	0.02227
[Hmim][TF2N]_20	0.02227
[Hmim][TF2N]_21	0.02227
[Hmim][TF2N]_22	0.02227
[Hmim][TF2N]_23	0.02227
[Hmim][TF2N]_24	0.02227
[Hmim][TF2N]_25	0.02227
[Hmim][TF2N]_26	0.02227
[Hmim][TF2N]_27	0.02227
[Hmim][TF2N]_28	0.02227
[Hmim][TF2N]_29	0.02227
[Hmim][TF2N]_30	0.02227
[Omim][TF2N]_1	0.02072
[Omim][TF2N]_2	0.02072
[Omim][TF2N]_3	0.02072
[Omim][TF2N]_4	0.02072
[Omim][TF2N]_5	0.02072
[Omim][TF2N]_6	0.02072
[Omim][TF2N]_7	0.02072
[Omim][TF2N]_8	0.02072
[Omim][TF2N]_9	0.02072
