Compound Id	Calculated octanol/water partition coefficient as logP
Tab1_1	0.351
Tab1_2	0.952
Tab1_3	2.297
Tab1_4	4.046
Tab1_5	1.874
Tab1_6	0.743
Tab1_7	2.787
Tab1_8	4.413
Tab1_9	1.327
Tab1_10	0.844
Tab1_11	0.911
Tab1_12	2.282
Tab1_13	2.747
Tab1_14	1.8
Tab1_15	3.637
Tab1_16	2.781
Tab1_17	1.784
Tab1_18	1.977
Tab1_19	1.88
Tab1_20	2.287
Tab1_21	4.124
Tab1_22	3.849
Tab1_23	3.234
Tab1_24	2.065
Tab1_25	4.004
Tab1_26	2.379
Tab1_27	4.259
Tab1_28	4.165
Tab1_29	5.759
Tab1_30	5.029
Tab1_31	0.834
Tab1_32	2.142
Tab1_33	3.738
Tab1_34	4.267
Tab1_35	0.074
Tab1_36	0.693
Tab1_37	3.738
Tab1_38	3.608
Tab1_39	1.714
Tab1_40	2.481
Tab1_41	0.87
Tab1_42	2.459
Tab1_43	-0.235
Tab1_44	1.765
Tab1_45	2.447
Tab1_46	4.397
Tab1_47	3.868
Tab1_48	2.999
Tab1_49	1.103
Tab1_50	3.314
Tab1_52	3.339
Tab1_53	0.294
Tab1_54	0.305
Tab1_55	2.007
Tab1_56	2.641
Tab1_57	2.627
Tab2_1	-0.068
Tab2_2	-0.338
Tab2_3	-0.603
Tab2_4	1.495
Tab2_5	0.11
Tab2_6	2.666
Tab2_7	1.999
Tab3_1	1.98
Tab3_2	0.26
Tab3_3	1.907
Tab3_4	0.38
Tab3_5	-0.932
Tab3_6	4.641
