Compound Id	Calculated octanol/water partition coefficient as logP
Tab1_1	0.821
Tab1_2	0.786
Tab1_3	2.3
Tab1_4	3.569
Tab1_5	2.107
Tab1_6	3.066
Tab1_7	2.575
Tab1_8	3.876
Tab1_9	0.659
Tab1_10	1.258
Tab1_11	2.592
Tab1_12	1.94
Tab1_13	1.642
Tab1_14	0.969
Tab1_15	2.484
Tab1_16	2.48
Tab1_17	1.96
Tab1_18	2.087
Tab1_19	2.4
Tab1_20	0.832
Tab1_21	2.253
Tab1_22	1.868
Tab1_23	1.76
Tab1_24	2.069
Tab1_25	3.228
Tab1_26	2.069
Tab1_27	3.272
Tab1_28	2.627
Tab1_29	3.902
Tab1_30	4.332
Tab1_31	0.655
Tab1_32	2.255
Tab1_33	3.516
Tab1_34	3.869
Tab1_35	0.347
Tab1_36	0.8
Tab1_37	3.516
Tab1_38	3.516
Tab1_39	2.081
Tab1_40	2.226
Tab1_41	0.8
Tab1_42	1.766
Tab1_43	0.172
Tab1_44	1.257
Tab1_45	2.604
Tab1_46	3.869
Tab1_47	3.516
Tab1_48	1.766
Tab1_49	1.115
Tab1_50	3.124
Tab1_51	-2.272
Tab1_52	3.138
Tab1_53	0.347
Tab1_54	0.202
Tab1_55	2.419
Tab1_56	2.608
Tab1_57	2.081
Tab2_1	0.652
Tab2_2	0.969
Tab2_3	-0.316
Tab2_4	1.656
Tab2_5	0.855
Tab2_6	2.634
Tab2_7	2.605
Tab3_1	3.139
Tab3_2	2.408
Tab3_3	3.446
Tab3_4	2.698
Tab3_5	1.959
Tab3_6	4.369
