Compound Id	logKow
1	-0.77
2	-0.31
4	0.61
5	0.47
6	-0.21
7	0.8
9	0.29
10	1.38
11	0.99
12	0.52
14	1.05
15	1.47
16	1.68
17	0.9
19	2.11
20	1.71
21	1.26
22	1.96
24	0.62
25	1.32
26	1.84
27	1.47
29	1.81
30	1.85
31	2.42
32	1.94
34	1.99
35	1.85
36	1.18
37	2.42
39	1.72
40	2.59
41	2.26
42	1.88
44	1.89
45	2.33
46	2.91
47	2.52
49	2.88
50	2.9
51	3.22
52	2.82
54	3.43
55	1.49
56	1.67
57	1.47
59	2.78
60	2.86
61	2.36
62	2.8
64	1.98
65	2.75
66	2.46
67	3.57
69	3.03
70	2.7
71	3.32
72	3.69
74	2.46
75	1.69
76	2.39
77	3.58
79	4.47
80	3.07
81	3.08
82	4.09
84	5.12
85	3.3
86	3.47
87	2.97
89	5.06
90	4.38
91	4.85
3	0.35
8	0.88
13	1.58
18	1.98
23	1.34
28	1.95
33	2.23
38	2.39
43	2.53
48	2.2
53	3.27
58	1.47
63	2.75
68	3.15
73	3.09
78	5.89
83	4.36
88	3.96
