Compound Id	Electrotopological state index for the hydroxy group
1	17.220
2	17.380
3	17.140
4	17.860
5	9.160
6	17.390
7	17.200
8	8.790
9	17.840
10	9.340
11	10.380
12	17.310
13	8.990
14	17.670
15	8.840
16	8.910
17	9.120
18	8.830
19	9.120
20	8.920
21	8.980
22	8.630
23	8.760
24	17.860
25	8.970
26	9.140
27	9.180
28	9.100
29	17.610
30	8.810
31	8.950
32	9.090
33	9.100
34	9.220
35	8.590
36	8.890
37	9.020
38	9.040
39	9.060
40	9.100
41	8.860
42	8.990
43	9.020
44	9.100
45	8.940
46	9.110
47	9.440
48	9.100
49	8.790
50	9.010
51	8.850
52	8.940
53	17.140
54	9.390
55	9.330
56	9.180
57	8.870
58	17.720
59	9.280
60	9.230
61	17.240
62	8.970
63	9.250
64	8.880
65	8.460
66	9.020
67	8.740
68	18.270
69	8.700
70	8.920
71	9.100
72	9.000
73	8.500
74	9.060
75	9.330
76	8.660
77	9.340
78	8.740
79	9.090
80	8.970
81	8.990
82	9.180
83	8.940
84	9.250
85	8.960
86	8.880
87	9.280
88	8.900
89	8.750
90	8.630
91	9.020
92	9.120
93	8.850
94	9.010
95	9.020
96	9.100
97	8.850
98	18.470
99	18.280
100	9.010
101	9.560
102	8.880
103	8.690
104	8.780
105	9.860
106	9.060
107	19.060
108	9.100
109	9.100
110	9.180
111	9.100
112	9.450
113	9.570
114	9.310
115	9.370
116	9.270
117	9.250
118	8.980
119	9.010
120	9.750
121	9.570
122	9.100
123	9.140
124	8.820
125	9.720
126	9.220
127	8.790
128	9.050
129	10.380
130	9.530
131	9.220
132	9.070
133	9.260
134	9.120
135	9.280
136	8.980
137	9.150
138	9.120
139	9.130
140	8.840
141	9.050
142	9.030
143	8.960
144	8.920
145	9.170
146	9.520
147	8.300
148	9.210
149	9.060
150	9.200
151	9.140
152	9.520
153	9.050
154	8.880
155	8.730
156	8.700
157	17.810
158	9.180
159	17.640
160	26.040
161	17.290
162	17.340
163	8.860
164	26.090
165	8.790
166	17.500
167	17.540
168	8.990
169	18.230
170	9.170
171	17.680
172	18.170
173	18.860
174	19.630
175	17.880
176	8.990
177	8.870
178	8.880
179	8.960
180	8.940
181	8.710
182	17.720
183	8.880
184	9.110
185	9.210
186	8.910
187	9.010
188	8.780
189	17.550
190	8.990
191	8.930
192	8.720
193	8.870
194	9.090
195	8.900
196	9.040
197	8.910
198	18.630
199	19.160
200	18.300
201	26.022
202	17.509
203	17.306
204	17.379
205	8.864
206	9.331
207	8.797
208	8.793
209	8.869
210	8.900
211	8.785
212	17.527
213	8.544
214	8.736
215	9.194
216	8.573
217	8.939
218	9.292
219	9.155
220	8.925
221	9.365
222	8.967
223	8.729
224	17.748
225	9.086
226	8.808
227	9.310
228	8.884
229	18.381
230	9.104
231	18.520
232	9.043
233	18.575
234	8.950
235	9.121
236	8.965
237	8.338
238	9.275
239	9.565
240	8.863
241	9.086
242	9.206
243	18.695
244	17.759
245	8.758
246	8.839
247	8.657
248	9.196
249	8.760
250	16.703
