Compound Id	Lowest eigenvalue 3 of Burden matrix weighted by atomic van der Waals volumes
S1	1.317
S2	1.693
S3	1.293
S4	1.544
S5	1.584
S6	1.612
S7	1.749
S8	1.608
S9	1.514
S10	1.612
S11	1.573
S12	1.613
S13	1.352
S14	1.352
S15	1.638
S16	1.573
S17	1.618
S18	1.61
S19	1.622
S20	1.491
S21	1.573
S22	1.352
S23	1.539
S24	1.609
S25	1.55
S26	1.619
S27	1.194
S28	1.499
S29	1.4
S30	1.268
S31	1.352
S32	1.436
S33	1.573
S34	1.619
S35	1.638
S36	1.562
S37	1.539
S38	1.629
S39	1.611
S40	1.605
S41	1.573
S42	1.641
S43	1.353
S44	1.58
S45	1.348
