Compound Id	Highest Occupied Molecular Orbital Energy
1	-8.3724
2	-8.2341
3	-8.4704
4	-9.162
5	-8.5595
6	-8.5528
7	-8.5626
8	-8.2613
9	-8.4373
10	-8.7767
11	-8.3253
12	-8.4915
13	-8.8284
14	-9.3254
15	-8.1632
16	-8.3083
17	-9.4286
18	-9.0498
19	-8.0719
20	-8.046
21	-8.6991
22	-8.0712
23	-8.717
24	-8.0133
25	-9.039
26	-8.6088
27	-8.5707
28	-8.5906
29	-8.3803
30	-8.3819
31	-8.5409
32	-8.5193
33	-8.5439
34	-9.0261
35	-8.1651
36	-8.29
37	-7.9895
38	-9.5438
39	-9.1996
40	-8.5894
41	-8.361
42	-8.4687
43	-9.1425
44	-8.0935
45	-8.6681
46	-8.5644
47	-8.9676
48	-9.1706
49	-8.7837
50	-8.341
51	-9.1575
52	-8.6972
53	-8.3321
54	-8.1015
55	-9.0632
56	-8.3657
57	-8.4698
58	-9.0747
59	-8.7178
60	-8.5625
61	-8.2224
62	-8.1338
63	-8.9882
64	-8.3558
