Compound Id	Carcinogenic potency
1	31.812977
2	30.701297
3	31.316399
4	25.704177
5	30.374841
6	30.312155
7	32.495717
8	29.243666
9	31.141457
10	29.438709
11	30.013225
12	32.281568
13	27.651058
14	28.112443
15	27.574515
16	28.662278
17	28.565774
18	27.846439
19	28.353338
20	28.66891
21	25.890942
22	28.312969
23	32.078816
24	30.11006
25	30.976417
26	30.584329
27	29.845678
28	29.141363
29	29.732037
30	28.307538
31	29.108589
32	29.533803
33	30.795875
34	30.445915
35	29.752109
36	30.503514
37	30.291436
38	31.118461
39	29.683528
40	29.663216
41	30.690156
42	31.384286
43	28.043143
44	29.285568
45	31.48436
46	30.717083
47	30.859044
48	31.720341
49	31.112002
50	29.702301
51	30.202766
52	29.577049
53	29.376852
54	30.11309
55	28.637859
56	31.811782
57	29.913306
58	29.611704
59	30.188203
60	28.157319
61	29.946611
62	30.278359
63	30.64138
64	30.956058
