Compound Id	48-h Daphnia magna toxicity as log(1/EC50)
Tab1_1	1.42
Tab1_2	1.45
Tab1_3	1.64
Tab1_4	1.28
Tab1_5	3.83
Tab1_6	2.46
Tab1_7	1.9
Tab1_8	2.61
Tab1_9	1.46
Tab1_10	1.61
Tab1_11	1.19
Tab1_12	2.61
Tab1_13	1.71
Tab1_14	1.92
Tab1_15	2.52
Tab1_16	2.42
Tab1_17	1.74
Tab1_18	0.8
Tab1_19	2.18
Tab1_20	1.85
Tab1_21	1.67
Tab1_22	1.87
Tab1_23	3.29
Tab1_24	2.05
Tab1_25	2.22
Tab1_26	2.53
Tab1_27	2.42
Tab1_28	2.08
Tab1_29	1.78
Tab1_30	1.43
Tab1_31	1.93
Tab1_32	2.26
Tab1_33	3.84
Tab1_34	1.18
Tab1_35	1.69
Tab1_36	2.69
Tab1_37	1.79
Tab1_38	1.89
Tab1_39	2.32
Tab1_40	1.49
Tab1_41	1.62
Tab1_42	2.22
Tab1_43	1.78
Tab1_44	1.76
Tab1_45	2
Tab1_46	1.89
Tab1_47	3.57
Tab1_48	0.8
Tab1_49	3.03
Tab1_50	1.51
Tab1_51	1.12
Tab1_52	2.97
Tab1_53	0.8
Tab1_54	0.43
Tab1_55	1.65
Tab1_56	1.17
Tab1_57	2.33
Tab1_58	1.59
Tab1_59	3.45
Tab1_60	1.05
Tab1_61	2.22
Tab1_62	2.38
Tab1_63	2.1
Tab1_64	2.63
Tab1_65	2.08
Tab1_66	1.42
Tab1_67	1.22
Tab1_68	2.69
Tab1_69	2.46
Tab1_70	1.66
Tab1_71	1.32
Tab1_72	0.25
Tab1_73	3.38
Tab1_74	3.04
Tab1_75	3.07
Tab1_76	1.84
Tab1_77	1.24
Tab1_78	2.17
Tab1_79	1.3
Tab1_80	3.38
Tab1_81	1.05
Tab1_82	1.74
Tab1_83	0.7
Tab1_84	2.78
Tab1_85	1.61
Tab1_86	1.34
Tab1_87	1.57
Tab1_88	1.52
Tab1_89	1.67
Tab1_90	0.73
Tab1_91	2.93
Tab1_92	2.46
Tab1_93	2.23
Tab1_94	2.12
Tab1_95	2.01
Tab1_96	1.8
Tab1_97	0.83
Tab1_98	1.89
Tab1_99	2.47
Tab1_100	1.59
Tab1_101	1.95
Tab1_102	1.37
Tab1_103	2.3
Tab1_104	2.8
Tab1_105	1.58
Tab1_106	1.52
Tab1_107	0.63
Tab1_108	1.96
Tab1_109	-0.01
A	1.61
B	1.14
C	1.64
D	2.28
E	2.42
F	2.63
G	2.51
H	2.21
I	1.13
J	0.8
Tab2_1	1.42
Tab2_2	1.45
Tab2_3	4.3
Tab2_4	1.9
Tab2_5	2.31
Tab2_6	2.61
Tab2_7	1.48
Tab2_8	1.46
Tab2_9	1.61
Tab2_10	1.19
Tab2_11	2.61
Tab2_12	1.71
Tab2_13	1.92
Tab2_14	2.52
Tab2_15	2.42
Tab2_16	1.73
Tab2_17	1.74
Tab2_18	0.8
Tab2_19	2.18
Tab2_20	1.85
Tab2_21	1.67
Tab2_22	1.87
Tab2_23	3.29
Tab2_24	2.05
Tab2_25	2.22
Tab2_26	2.53
Tab2_27	3.26
Tab2_28	2.08
Tab2_29	1.78
Tab2_30	1.43
Tab2_31	1.93
Tab2_32	2.26
Tab2_33	1.18
Tab2_34	1.69
Tab2_35	2.69
Tab2_36	1.79
Tab2_37	1.89
Tab2_38	1.49
Tab2_39	1.62
Tab2_40	1.78
Tab2_41	1.76
Tab2_42	1.89
Tab2_43	1.4
Tab2_44	0.8
Tab2_45	1.51
Tab2_46	1.12
Tab2_47	2.97
Tab2_48	0.8
Tab2_49	0.43
Tab2_50	1.17
Tab2_51	2.33
Tab2_52	3.45
Tab2_53	1.05
Tab2_54	2.22
Tab2_55	2.38
Tab2_56	2.1
Tab2_57	2.63
Tab2_58	2.08
Tab2_59	1.22
Tab2_60	2.69
Tab2_61	2.46
Tab2_62	1.66
Tab2_63	1.12
Tab2_64	0.25
Tab2_65	1.24
Tab2_66	0.4
Tab2_67	1.13
Tab2_68	3.38
Tab2_69	1.05
Tab2_70	1.74
Tab2_71	0.7
Tab2_72	2.78
Tab2_73	1.61
Tab2_74	1.34
Tab2_75	1.57
Tab2_76	1.52
Tab2_77	1.67
Tab2_78	0.63
Tab2_79	2.93
Tab2_80	2.46
Tab2_81	2.23
Tab2_82	0.56
Tab2_83	2.12
Tab2_84	0.76
Tab2_85	3.56
Tab2_86	2.01
Tab2_87	-0.69
Tab2_88	1.8
Tab2_89	0.83
Tab2_90	1.89
Tab2_91	2.04
Tab2_92	2.47
Tab2_93	0.83
Tab2_94	0.91
Tab2_95	1.59
Tab2_96	1.95
Tab2_97	1.37
Tab2_98	2.3
Tab2_99	2.8
Tab2_100	1.58
Tab2_101	1.52
Tab2_102	0.63
Tab2_103	1.96
Tab2_104	-0.01
