Compound Id	Total energy
PCN-02	-1573.54171
PCN-01	-1573.51388
PCDE-000	-1895.45447
PCDF-000	-1868.1472
PCB-002	-1845.48045
PCB-003	-1845.47744
PCDD-00	-2159.25153
PCDE-002	-2136.55121
PCDE-003	-2136.52977
PCN-03	-1814.43887
PCB-010	-2086.45889
PCB-004	-2086.49849
PCB-009	-2086.50502
PCDE-010	-2377.38959
PCB-006	-2086.53755
PCB-008	-2086.53709
PCB-005	-2086.35883
PCDE-009	-2377.50678
PBDE-002	-2109.97356
PCB-014	-2086.55296
PCDE-007	-2377.47545
PCB-030	-2327.49792
PCDE-008	-2377.49919
PCDE-005	-2377.36129
PCDE-013	-2377.61609
PCB-011	-2086.57922
PCB-013	-2086.57839
PCB-012	-2086.57839
PCDD-01	-2400.21883
PCDE-015	-2377.59586
PCDD-02	-2400.30777
PCB-017	-2327.56711
PCN-13	-2055.34639
PCB-027	-2327.55753
PCDE-030	-2618.40995
PCB-016	-2327.42162
PCB-034	-2327.60141
PCB-023	-2327.40689
PCB-029	-2327.40051
PCB-054	-2568.51129
PCDE-024	-2618.29438
PCB-025	-2327.59937
PCB-028	-2327.59944
PCDE-023	-2618.41617
PCDE-029	-2618.38231
PCB-020	-2327.4559
PBDE-010	-2324.28282
PCB-021	-2327.26608
PCN-34	-2296.52019
PCB-033	-2327.45667
PCB-022	-2327.45731
PCB-051	-2568.5601
PCDE-025	-2618.56762
PCDE-031	-2618.5662
PCB-045	-2568.39051
PCDE-028	-2618.53768
PCB-039	-2327.64245
PCN-27	-2296.2112
PCB-046	-2568.41159
PCDE-033	-2618.42303
PCB-075	-2568.59558
PCB-036	-2327.63949
PCB-069	-2568.58949
PBDE-007	-2324.37333
PCDE-035	-2618.53104
PCB-043	-2568.46118
PCB-047	-2568.62862
PCB-048	-2568.45831
PCDE-022	-2618.42331
PCB-065	-2568.24638
PCB-035	-2327.49297
PCDE-037	-2618.50613
PCB-064	-2568.45949
PCB-044	-2568.47745
PCB-037	-2327.49245
PBDE-012	-2324.38472
PCB-042	-2568.48383
PBDE-013	-2324.4835
PCDE-065	-2859.18625
PCB-072	-2568.65348
PCB-040	-2568.33776
PCDE-062	-2859.16265
PCDD-10	-2641.19274
PCB-071	-2568.4768
PCB-103	-2809.58756
PCDD-11	-2641.35462
PCB-074	-2568.49212
PCN-52	-2537.40487
PCB-063	-2568.49755
PCB-067	-2568.48877
PCB-093	-2809.27074
PCDE-048	-2859.3614
PCB-066	-2568.5132
PCB-076	-2568.35937
PCDE-064	-2859.36193
PCDE-067	-2859.45827
PCB-088	-2809.27484
PCB-055	-2568.35727
PCN-50	-2537.26516
PCB-080	-2568.69126
PCB-095	-2809.44599
PCB-102	-2809.44977
PCDE-047	-2859.48797
PCDE-063	-2859.46953
PCB-091	-2809.45224
PCDE-070	-2859.47392
PCDE-074	-2859.43683
PCDE-061	-2859.14868
PBDE-030	-2538.73375
PCB-056	-2568.37034
PCDE-066	-2859.45499
PCB-092	-2809.509
PCDE-042	-2859.37434
PCB-155	-3050.58005
PCDE-055	-2859.33052
PCB-101	-2809.50929
PCB-079	-2568.54827
PCDE-041	-2859.22834
PCB-078	-2568.39379
PCB-112	-2809.32863
PCB-099	-2809.51508
PCB-145	-3050.28891
PCB-082	-2809.23972
PCDE-056	-2859.33716
PCB-081	-2568.39652
PCB-086	-2809.21204
PCB-083	-2809.36955
PCDE-060	-2859.30473
PCDE-077	-2859.41608
PCB-117	-2809.33852
PCDD-12	-2641.35269
PCB-085	-2809.38517
PCB-087	-2809.37901
PBDE-032	-2538.80915
PCB-077	-2568.4028
PCB-115	-2809.33916
PCDE-102	-3100.30453
PCB-120	-2809.53966
PCB-148	-3050.477
PCB-110	-2809.3668
PCDE-119	-3100.39651
PBDE-033	-2538.83805
PCB-151	-3050.31973
PCB-154	-3050.47787
PCDE-116	-3099.91495
PCDE-117	-3100.24741
PCB-136	-3050.29367
PCN-67	-2778.15328
PCDE-090	-3100.42127
PCDE-091	-3100.29975
PCB-108	-2809.4086
PBDE-035	-2538.88825
PCB-106	-2809.24009
PCB-123	-2809.41128
PCB-131	-3050.1843
PCB-107	-2809.40235
PCB-134	-3050.17827
PCDE-110	-3100.27929
PCN-69	-2778.04671
PCN-71	-2777.90564
PCB-118	-2809.39907
PCB-135	-3050.3346
PCDD-14	-2882.04427
PBDE-037	-2538.88505
PCB-144	-3050.32626
PCDE-108	-3100.3761
PCDE-109	-3100.25307
PCB-122	-2809.26684
PCDE-123	-3100.36884
PCDE-087	-3100.26924
PCDE-089	-3100.17103
PCB-105	-2809.26812
PCB-188	-3291.31029
PCB-133	-3050.39439
PCB-127	-2809.44276
PCB-146	-3050.39648
PCB-132	-3050.20509
PCDE-085	-3100.25783
PCB-168	-3050.40089
PCB-153	-3050.39691
PCB-141	-3050.25733
PCB-158	-3050.2436
PCB-163	-3050.24015
PCB-130	-3050.26764
PCB-202	-3532.03361
PCB-176	-3291.17445
PCB-138	-3050.26712
PCDE-105	-3100.21433
PCDE-082	-3100.14255
PCB-126	-2809.30017
PCB-186	-3291.02603
PCB-129	-3050.11816
PCDE-149	-3341.1848
PBDE-069	-2753.25329
PCDE-146	-3341.29552
PCB-175	-3291.21218
PCB-183	-3291.21443
PCDE-139	-3341.1649
PCB-128	-3050.13839
PCB-185	-3291.06166
PBDE-047	-2753.33058
PCB-187	-3291.20754
PCN-73	-3018.78914
PCB-181	-3291.06951
PCB-137	-3050.26518
PCB-167	-3050.29244
PCDE-140	-3341.17904
PBDE-066	-2753.30205
PCDE-166	-3340.97337
PCDE-167	-3341.23189
PCB-157	-3050.16178
PCDE-137	-3341.15189
PCDD-27	-3122.78385
PCDE-130	-3341.16235
PCB-174	-3291.083
PCB-197	-3532.05296
PCB-192	-3291.11581
PCB-201	-3532.04398
PCDE-138	-3341.13534
PBDE-077	-2753.28344
PCB-204	-3532.05231
PCB-172	-3291.14094
PCDE-156	-3341.09693
PCB-180	-3291.14289
PCDE-187	-3582.0677
PCDE-157	-3341.10718
PCB-190	-3290.97951
PCB-191	-3291.13619
PCDE-128	-3341.01769
PCB-170	-3291.01424
PCDE-174	-3581.95465
PCB-198	-3531.94436
PCDE-181	-3581.9141
PCB-169	-3050.19279
PCB-203	-3531.94792
PCDE-180	-3582.02438
PCB-196	-3531.95902
PCB-199	-3531.95068
PCDE-177	-3581.94008
PCDD-42	-3123.22189
PCDE-189	-3581.98255
PCB-195	-3531.8177
PCDE-170	-3581.90607
PCDE-203	-3822.793
PCB-208	-3772.7747
PBDE-115	-2967.54086
PCB-205	-3531.86875
PCDF-114	-3072.84565
PCDE-194	-3822.7731
PCB-206	-3772.69014
PCDE-206	-4063.54519
PCDF-118	-3313.70344
PCDE-209	-4304.31821
PCDF-131	-3554.47412
PCDF-135	-3795.1711
PCDD-75	-4086.24179
PCB-001	-1845.43107
PCDE-001	-2136.42901
PCN-05	-1814.55827
PCB-007	-2086.50169
PBDE-001	-2109.89139
PCDE-014	-2377.62469
PCB-019	-2327.4928
PCDE-012	-2377.44716
PCB-018	-2327.56323
PCB-015	-2086.57606
PCB-024	-2327.36148
PCB-032	-2327.56374
PCB-026	-2327.59849
PCB-031	-2327.60193
PCDE-032	-2618.46385
PCB-053	-2568.55571
PCDE-017	-2618.45454
PCDE-039	-2618.68065
PCN-28	-2296.37395
PCDE-038	-2618.36243
PCDE-021	-2618.24806
PCB-052	-2568.6187
PCDF-016	-2350.27391
PBDE-008	-2324.42125
PCB-061	-2568.15761
PCB-041	-2568.32779
PBDE-015	-2324.48753
PCDE-075	-2859.47749
PCDE-068	-2859.61945
PCDE-049	-2859.50134
PCB-098	-2809.44457
PCDE-071	-2859.38761
PCB-070	-2568.5122
PCB-060	-2568.35892
PCB-121	-2809.64528
PCDE-079	-2859.57807
PCN-53	-2537.17115
PCB-084	-2809.30328
PCB-090	-2809.51725
PCDE-081	-2859.41484
PCB-113	-2809.50563
PCB-119	-2809.50412
PCB-097	-2809.3687
PCB-116	-2808.99029
PCDE-100	-3100.41387
PCB-125	-2809.37751
PCDE-120	-3100.50136
PCDE-101	-3100.40033
PCN-66	-2778.14941
PCDE-115	-3100.22566
PCDE-099	-3100.38948
PCB-114	-2809.24489
PCB-139	-3050.3326
PCB-149	-3050.33667
PCDE-097	-3100.25506
PCDE-118	-3100.34108
PCB-143	-3050.19976
PCB-124	-2809.40835
PCDE-114	-3100.19889
PCDE-154	-3341.31128
PCDE-126	-3100.31411
PCB-179	-3291.1657
PBDE-075	-2753.25103
PCB-178	-3291.20392
PCDE-147	-3341.18759
PCDE-153	-3341.26551
PCDE-163	-3341.1569
PCB-182	-3291.22503
PCB-177	-3291.07698
PCB-156	-3050.14777
PCB-171	-3291.08343
PCDE-132	-3341.06477
PCDF-083	-2832.06762
PCB-193	-3291.13064
PCDD-48	-3123.10486
PCB-200	-3531.90815
PBDE-099	-2967.71162
PBDE-082	-2967.57072
PCDE-190	-3581.8816
PCB-189	-3291.03712
PCB-207	-3772.78504
PCDE-199	-3822.8249
PCDE-195	-3822.67236
PCDD-66	-3604.68146
PCDD-73	-3845.467
BBz-01	-1030.21217
