Compound Id	dg
1	26.45
2	26.453
3	19.527
4	10.839
5	10.679
6	16.272
7	36.349
8	37.396
9	37.388
10	22.829
11	24.594
12	18.322
13	28.176
14	70.964
15	34.957
16	12.665
17	59.248
18	15.533
19	54.927
20	38.913
21	39.247
22	31.246
23	51.247
24	47.247
25	62.914
26	54.914
27	27.245
28	35.247
29	67.248
30	55.248
31	63.248
32	23.006
33	8.697
34	10.676
35	14.502
36	18.496
37	10.839
38	8.85
39	8.697
40	10.676
41	17.382
42	17.383
43	23.242
44	27.243
45	8.697
46	10.679
47	11.813
48	19.386
49	19.386
50	11.813
51	22.294
52	8.85
53	8.85
54	14.492
55	12.443
56	16.428
57	10.676
58	15.533
59	28.45
60	19.569
61	23.242
62	35.242
63	27.242
64	55.248
65	10.839
66	19.386
67	27.242
68	23.242
69	19.569
70	10.839
71	8.85
72	23.994
73	15.938
74	14.502
75	12.834
76	12.834
77	14.831
78	18.829
79	8.85
80	24.678
81	12.67
82	16.83
83	8.85
84	8.85
85	12.669
86	10.676
87	10.679
88	16.498
89	8.697
90	12.293
91	10.524
92	8.697
93	10.466
94	10.676
95	8.697
96	6.871
97	8.697
98	20.829
99	20.829
100	28.668
101	18.829
102	18.829
103	24.829
104	24.829
105	24.829
106	24.829
107	26.655
108	22.829
109	40.828
110	38.828
111	19.398
112	13.891
113	34.828
114	32.828
115	14.831
116	14.831
117	14.831
118	18.666
119	12.834
120	14.658
121	12.834
122	32.828
123	30.828
124	32.508
125	12.834
126	12.834
127	12.834
128	16.664
129	14.66
130	14.666
131	14.831
132	10.839
133	12.67
134	14.666
135	12.665
136	12.665
137	10.839
138	18.559
139	24.148
140	20.433
141	18.559
142	20.434
143	11.576
144	10.679
145	38.828
146	36.828
147	18.829
148	18.829
149	18.829
150	26.668
151	20.662
152	18.663
153	16.83
154	36.828
155	34.828
156	16.83
157	48.691
158	32.828
159	16.83
160	16.83
161	24.668
162	18.652
163	18.656
164	14.831
165	16.664
166	14.831
167	30.828
168	28.828
169	10.839
170	30.685
171	20.829
172	10.839
173	10.839
174	12.665
175	12.665
176	8.85
177	14.279
178	12.665
179	10.679
180	12.669
181	10.676
182	10.679
183	8.85
184	17.701
185	17.701
186	6.871
187	8.697
188	16.498
189	26.444
190	18.67
191	12.834
192	6.871
193	8.697
194	26.444
195	6.871
196	16.267
197	10.466
198	10.676
199	10.676
200	8.697
201	12.509
202	12.834
203	6.732
204	6.732
205	6.871
206	28.828
207	28.828
208	26.828
209	26.828
210	28.655
211	24.829
212	22.829
213	22.829
214	24.655
215	20.829
216	16.486
217	10.524
218	20.434
219	18.559
220	10.839
221	10.839
222	14.502
223	12.509
224	14.279
225	12.509
226	28.828
227	22.829
228	9.688
229	13.454
230	15.321
231	8.697
232	10.466
233	22.476
234	8.697
235	8.697
236	10.466
237	10.524
238	8.697
239	12.293
240	10.524
241	14.666
242	8.85
243	10.679
244	10.839
245	10.839
246	10.524
247	8.697
248	10.839
249	10.839
250	10.839
251	26.472
252	30.47
253	18.484
254	26.472
255	8.85
256	8.85
257	10.679
258	10.679
259	10.839
260	13.677
261	19.156
262	18.829
263	18.829
264	22.829
265	22.829
266	19.397
267	13.585
268	13.585
269	14.666
270	14.666
271	12.834
272	12.834
273	12.67
274	12.67
275	14.502
276	16.664
277	10.839
278	10.839
279	10.839
280	12.505
281	18.663
282	18.663
283	16.664
284	16.664
285	14.831
286	14.831
287	11.322
288	20.364
289	10.679
290	16.049
291	10.679
292	12.509
293	10.679
294	12.505
295	14.279
296	12.509
297	12.665
298	8.85
299	8.85
300	14.279
301	10.679
302	10.676
303	10.676
304	10.679
305	10.679
306	8.85
307	6.732
308	10.679
309	8.5
310	12.509
311	8.697
312	6.732
313	16.498
314	10.676
315	12.67
316	18.487
317	10.679
318	16.49
319	16.272
320	26.303
321	6.732
322	6.871
323	18.67
324	12.67
325	12.834
326	6.871
327	6.871
328	8.697
329	6.871
330	8.697
331	8.697
332	22.482
333	16.486
334	14.497
335	18.324
336	16.491
337	18.49
338	24.494
339	14.66
340	16.492
341	10.524
342	18.324
343	16.491
344	18.489
345	12.505
346	16.491
347	18.098
348	42.487
349	16.492
350	21.538
351	16.658
352	10.676
353	14.66
354	6.871
355	14.497
356	10.524
357	8.85
358	10.676
359	15.693
360	18.666
361	16.664
362	16.334
363	16.271
364	14.66
365	16.492
366	12.834
367	12.834
368	12.665
369	10.839
370	10.839
371	14.831
372	10.676
373	10.679
374	18.656
375	16.658
376	14.831
377	14.831
378	10.676
379	12.443
380	10.676
381	14.335
382	12.509
383	15.693
384	19.399
385	18.322
386	14.658
387	18.322
388	21.405
389	18.653
390	24.142
391	16.655
392	14.831
393	14.831
394	12.67
395	28.008
396	18.652
397	22.65
398	22.508
399	38.662
400	38.662
401	27.452
402	38.662
403	40.655
404	25.462
405	25.462
406	4.914
407	8.697
408	10.466
409	12.293
410	6.732
411	14.279
412	12.509
413	14.497
414	22.501
415	14.502
416	12.67
417	12.509
418	14.666
419	12.665
420	14.658
421	12.665
422	19.535
423	26.662
424	10.524
425	10.679
426	10.679
427	20.662
428	18.663
429	8.697
430	10.676
431	8.697
432	24.662
433	22.662
434	16.664
435	21.538
436	12.67
437	4.914
438	12.834
439	6.732
440	12.665
441	20.434
442	15.693
443	17.549
444	17.549
445	17.549
446	17.55
447	13.677
448	21.417
449	15.533
450	17.549
451	15.533
452	19.385
453	15.533
454	15.533
455	30.448
456	15.533
457	19.558
458	15.533
459	21.54
460	17.529
461	17.701
462	15.693
463	26.592
464	11.813
465	17.701
466	15.693
467	19.3
468	19.527
469	19.527
470	19.527
471	17.529
472	19.527
473	19.535
474	15.693
475	17.529
476	19.705
477	15.693
478	28.59
479	19.3
480	23.176
481	35.738
482	28.59
483	28.59
484	28.59
485	30.589
486	41.357
487	54.137
488	39.363
489	28.405
490	26.592
491	38.374
492	26.592
493	19.225
494	27.307
495	19.225
496	17.383
497	23.441
498	17.383
499	21.241
500	17.382
501	23.44
502	17.382
503	21.24
504	21.241
505	15.533
506	21.408
507	21.235
508	19.57
509	15.533
510	21.406
511	17.382
512	17.382
513	23.242
514	15.533
515	15.533
516	19.569
517	19.569
518	25.435
519	15.533
520	26.784
521	23.242
522	19.569
523	15.533
524	15.533
525	15.533
526	19.57
527	17.549
528	19.569
529	17.549
530	21.405
531	23.413
532	19.569
533	17.55
534	19.398
535	21.406
536	19.398
537	17.549
538	17.549
539	32.47
540	17.55
541	21.578
542	19.385
543	19.385
544	19.557
545	21.392
546	19.386
547	19.386
548	19.558
549	19.386
550	19.558
551	17.529
552	17.701
553	17.701
554	23.176
555	17.382
556	19.398
557	25.089
558	13.677
559	19.705
560	13.677
561	24.594
562	31.708
563	35.708
564	15.693
565	17.701
566	15.693
567	25.708
568	35.027
569	23.708
570	15.693
571	13.677
572	17.529
573	29.708
574	47.709
575	27.708
576	41.709
577	31.169
578	21.063
579	21.707
580	17.701
581	39.709
582	37.709
583	33.708
584	41.357
585	23.44
586	19.527
587	23.413
588	29.083
589	17.701
590	19.527
591	15.693
592	15.693
593	17.549
594	17.549
595	17.55
596	19.705
597	13.677
598	18.559
599	22.285
600	20.434
601	17.529
602	25.252
603	19.385
604	21.406
605	21.383
606	19.385
607	23.405
608	21.385
609	25.526
610	21.527
611	19.527
612	32.406
613	23.526
614	15.693
615	17.529
616	21.527
617	19.923
618	24.594
619	8.85
620	10.676
621	10.679
622	10.839
623	14.666
624	12.834
625	10.839
626	28.828
627	16.83
628	20.496
629	10.676
630	10.839
631	16.83
632	8.85
633	12.834
634	12.834
635	10.839
636	16.267
637	12.293
638	10.466
639	10.524
640	10.524
641	8.697
642	14.431
643	10.676
644	12.443
645	8.697
646	12.443
647	22.476
648	16.328
649	16.328
650	8.85
651	10.679
652	14.272
653	14.501
654	12.505
655	12.509
656	22.319
657	16.49
658	16.49
659	14.497
660	20.477
661	18.653
662	14.658
663	12.665
664	16.655
665	14.658
666	10.676
667	10.679
668	8.697
669	7.5
670	13.891
671	13.891
672	26.592
673	15.693
674	17.529
675	19.478
676	15.459
677	26.592
678	30.965
679	19.705
680	31.708
681	15.693
682	17.701
683	13.677
684	17.701
685	19.569
686	19.225
687	13.677
688	13.677
689	15.459
690	13.677
691	11.813
692	19.386
693	19.386
694	17.55
695	19.386
696	17.701
697	15.938
698	60.644
699	15.938
700	11.576
701	9.688
702	13.37
703	17.593
704	15.37
705	13.585
706	11.576
707	15.59
708	15.42
709	17.424
710	11.576
711	11.576
712	7.176
713	9.149
714	10.977
715	20.829
716	18.829
717	26.495
718	42.47
719	22.662
720	24.655
721	27.452
722	27.452
723	18.484
724	18.042
725	10.839
726	6.871
727	28.59
728	14.831
729	8.85
730	12.834
731	42.828
732	22.829
733	26.662
734	28.655
735	38.828
736	42.662
737	4.914
738	12.669
739	8.85
740	10.676
741	6.871
742	12.834
743	10.466
744	8.5
745	6.732
746	14.658
747	10.676
748	8.85
749	20.829
750	16.83
751	8.85
752	6.871
753	14.831
754	10.839
755	6.871
756	8.5
757	4.914
758	4.914
759	4.914
760	18.479
761	8.697
762	10.679
763	4.914
764	12.834
765	22.668
766	26.828
767	22.829
768	20.829
769	12.834
770	14.831
771	20.829
772	26.662
773	16.83
774	22.662
775	14.831
776	14.666
777	10.679
778	10.839
779	8.85
780	18.829
781	14.658
782	24.829
783	18.67
784	12.834
785	12.834
786	14.66
787	6.871
788	14.831
789	20.662
790	6.871
791	10.839
792	16.664
793	6.871
794	8.85
795	16.83
796	12.834
797	24.829
798	18.829
799	12.834
800	19.385
801	17.529
802	6.732
803	8.85
804	4.914
805	4.914
806	8.85
807	6.871
808	8.697
809	34.36
810	3
811	12.449
812	12.665
813	12.67
814	12.834
815	17.701
816	24.829
817	8.85
818	8.85
819	18.829
820	16.83
821	6.871
822	22.829
823	20.829
824	14.831
825	19.705
826	10.839
827	9.688
828	9.688
829	9.688
830	40.828
831	32.828
832	36.662
833	14.831
834	12.834
835	14.831
836	16.436
837	16.498
838	14.666
839	18.252
840	14.66
841	14.66
842	14.658
843	20.496
844	16.664
845	53.947
846	14.666
847	14.666
848	30.828
849	34.662
850	16.049
851	12.834
852	16.664
853	14.66
854	14.658
855	10.839
856	24.829
857	22.829
858	16.83
859	18.031
860	18.042
861	16.272
862	14.44
863	14.496
864	14.497
865	14.502
866	12.67
867	14.431
868	14.492
869	14.666
870	12.665
871	16.262
872	18.496
873	50.148
874	42.469
875	50.468
876	12.834
877	14.831
878	14.666
879	18.498
880	16.491
881	16.491
882	16.664
883	46.367
884	14.496
885	12.67
886	21.291
887	19.527
888	10.839
889	15.693
890	23.148
891	31.377
892	18.559
893	8.697
894	20.658
895	9.688
896	14.496
897	3
898	6.732
899	4.914
900	3
901	3
902	4.914
903	8.85
904	3
905	4.914
906	8.85
907	6.871
908	3
909	3
910	28.405
911	6.871
912	11.813
913	20.658
914	32.446
915	28.558
916	22.508
917	40.565
918	24.537
919	32.564
920	32.564
921	22.508
922	38.565
923	30.562
924	33.456
925	26.551
926	28.412
927	24.361
928	24.535
929	22.51
930	10.676
931	36.828
932	40.662
933	18.829
934	16.83
935	36.828
936	29.444
937	18.663
938	18.656
939	18.653
940	18.652
941	24.495
942	20.662
943	28.649
944	16.83
945	18.663
946	34.828
947	38.662
948	46.649
949	16.83
950	18.656
951	14.831
952	32.828
953	32.828
954	18.434
955	18.489
956	18.487
957	18.488
958	18.49
959	18.496
960	16.664
961	16.658
962	16.655
963	22.495
964	18.663
965	20.488
966	61.528
967	16.664
968	9.688
969	7.5
970	22
971	15.125
972	8.996
973	9.149
974	9.149
975	7.176
976	9.149
977	28.828
978	32.662
979	10.839
980	8.85
981	20.829
982	10.839
983	12.834
984	16.041
985	16.105
986	14.275
987	16.049
988	14.279
989	12.449
990	16.101
991	14.272
992	14.335
993	12.505
994	12.509
995	10.679
996	16.428
997	12.443
998	12.669
999	14.501
1000	14.43
1001	10.676
1002	10.676
1003	12.834
1004	14.66
1005	16.498
1006	10.839
1007	12.67
1008	16.261
1009	14.502
1010	20.651
1011	16.436
1012	18.042
1013	29.514
1014	13.677
1015	17.383
1016	17.382
1017	17.382
1018	30.473
1019	17.383
1020	15.533
1021	17.549
1022	17.549
1023	15.533
1024	15.533
1025	17.549
1026	15.533
1027	21.234
1028	21.234
1029	28.747
1030	23.148
1031	21.157
1032	32.017
1033	15.533
1034	17.55
1035	15.533
1036	21.234
1037	31.564
1038	39.363
1039	47.071
1040	52.639
1041	11.813
1042	24.088
1043	6.871
1044	8.697
1045	10.839
1046	10.676
1047	4.914
1048	8.85
1049	12.834
1050	16.498
1051	8.697
1052	12.665
1053	8.85
1054	6.871
1055	6.871
1056	8.697
1057	10.839
1058	12.67
1059	6.871
1060	8.85
1061	10.679
1062	31.68
1063	12.449
1064	8.697
1065	12.509
1066	16.049
1067	6.732
1068	10.679
1069	12.449
1070	8.697
1071	10.466
1072	6.732
1073	14.502
1074	10.466
1075	12.834
1076	16.049
1077	6.732
1078	8.85
1079	20.477
1080	16.486
1081	6.871
1082	8.697
1083	10.466
1084	8.697
1085	29.79
1086	12.293
1087	16.266
1088	12.505
1089	10.524
1090	12.293
1091	10.524
1092	37.399
1093	18.324
1094	14.496
1095	12.505
1096	16.491
1097	10.524
1098	18.653
1099	10.679
1100	16.486
1101	16.658
1102	12.665
1103	12.665
1104	10.676
1105	14.66
1106	24.089
1107	24.308
1108	28.305
1109	16.498
1110	8.697
1111	34.436
1112	11.813
1113	17.382
1114	15.533
1115	13.677
1116	13.677
1117	13.677
1118	11.813
1119	9.688
1120	11.576
1121	20.658
1122	22.51
1123	28.143
1124	35.98
1125	44.449
1126	6.732
1127	4.914
1128	4.914
1129	30.159
1130	6.732
1131	19.3
1132	12.443
1133	4.914
1134	16.428
1135	6.732
1136	10.466
1137	19.3
1138	12.669
1139	6.732
1140	24.441
1141	61.052
1142	20.829
1143	24.41
1144	14.658
1145	24.432
1146	57.776
1147	26.828
1148	30.662
1149	36.484
1150	7.5
1151	9.688
1152	13.454
1153	13.585
1154	11.576
1155	15.59
1156	17.334
1157	11.576
1158	9.688
1159	11.576
1160	38.828
1161	28.828
1162	8.85
1163	26.828
1164	24.829
1165	28.662
1166	23.626
1167	22.829
1168	20.829
1169	22.655
1170	22.829
1171	24.662
