Compound Id	dfg
1	2.598
2	2.411
3	1.81
4	1.147
5	1.396
6	2.258
7	2.782
8	2.517
9	2.684
10	1.874
11	2
12	3.593
13	3.623
14	3.648
15	3.638
16	1.583
17	3.567
18	1.534
19	3.57
20	3.569
21	3.567
22	3.566
23	3.567
24	3.567
25	3.567
26	3.567
27	3.556
28	3.567
29	3.567
30	3.567
31	3.567
32	2.957
33	1.323
34	1.124
35	2.4
36	3.616
37	1.496
38	1.298
39	1.054
40	1.695
41	2.507
42	2.026
43	3.702
44	3.616
45	0.605
46	1.519
47	1.396
48	2.67
49	2.446
50	1.752
51	3.309
52	0.884
53	0.884
54	1.729
55	1.296
56	1.296
57	1.296
58	2.146
59	2.499
60	2.929
61	3.554
62	3.641
63	3.631
64	3.567
65	1.519
66	2.706
67	3.768
68	3.7
69	2.275
70	1.396
71	0.853
72	2.105
73	1.795
74	2.485
75	1.408
76	1.648
77	1.729
78	1.918
79	0.772
80	1.557
81	1.413
82	1.557
83	1.297
84	0.951
85	1.126
86	1.068
87	1.433
88	2.273
89	0.573
90	1.618
91	1.196
92	0.507
93	0.529
94	1.767
95	0.358
96	0
97	0.419
98	1.712
99	1.892
100	1.85
101	1.749
102	1.811
103	1.925
104	1.79
105	1.926
106	1.838
107	1.898
108	1.838
109	1.935
110	1.953
111	2.284
112	1.409
113	1.913
114	1.93
115	1.477
116	1.774
117	1.583
118	1.599
119	1.409
120	1.486
121	1.508
122	1.903
123	1.919
124	2.423
125	1.331
126	1.689
127	1.458
128	1.485
129	1.479
130	1.778
131	1.633
132	1.147
133	1.412
134	1.182
135	1.172
136	1.402
137	1.25
138	1.781
139	2.369
140	2.111
141	1.821
142	2.314
143	1.256
144	2.022
145	1.929
146	1.946
147	1.655
148	1.866
149	1.731
150	1.807
151	1.91
152	1.97
153	1.751
154	1.921
155	1.939
156	1.58
157	1.869
158	1.869
159	1.828
160	1.669
161	1.745
162	1.73
163	1.858
164	1.571
165	1.93
166	1.658
167	1.891
168	1.905
169	1.114
170	1.696
171	1.696
172	1.549
173	1.266
174	1.267
175	1.5
176	0.704
177	2.411
178	1.206
179	1.08
180	0.75
181	0.715
182	1.284
183	0.779
184	1.854
185	1.88
186	0.196
187	0.585
188	2.132
189	1.781
190	1.298
191	1.298
192	0.795
193	1.766
194	3.274
195	0.394
196	2.457
197	1.088
198	1.759
199	1.364
200	0.905
201	2.604
202	2.601
203	0.11
204	-0.32
205	0.757
206	1.84
207	1.877
208	1.888
209	1.86
210	1.916
211	1.866
212	1.911
213	1.811
214	1.875
215	1.8
216	2.133
217	1.519
218	3.058
219	2.791
220	1.396
221	1.396
222	2.485
223	2.136
224	2.346
225	3.349
226	2.457
227	2.368
228	1.351
229	3.259
230	3.29
231	0.372
232	0.453
233	3.524
234	0.869
235	0.457
236	0.495
237	1.244
238	1.015
239	2.477
240	1.778
241	2.219
242	1.537
243	2.213
244	2.213
245	2.213
246	1.68
247	0.951
248	1.774
249	1.774
250	3.956
251	3.529
252	3.526
253	3.513
254	3.525
255	1.772
256	1.772
257	1.538
258	1.538
259	2.217
260	1.961
261	3.079
262	1.744
263	1.744
264	1.842
265	1.842
266	2.147
267	2.148
268	1.547
269	1.611
270	1.694
271	1.407
272	1.407
273	1.426
274	1.565
275	2.192
276	2.261
277	1.236
278	1.236
279	1.761
280	1.785
281	1.793
282	1.829
283	1.722
284	1.775
285	1.554
286	1.554
287	2.511
288	2.465
289	1.308
290	3.04
291	1.094
292	1.901
293	1.353
294	1.941
295	3.184
296	2.098
297	2.159
298	1.045
299	1.045
300	2.439
301	1.46
302	1.067
303	1.067
304	1.336
305	1.336
306	1.704
307	-0.746
308	1.685
309	-0.708
310	1.825
311	1.425
312	-0.486
313	2.439
314	1.904
315	1.988
316	2.672
317	1.776
318	2.646
319	2.504
320	2.783
321	0.581
322	0.209
323	1.702
324	1.682
325	1.702
326	0.451
327	0.743
328	1.899
329	1.406
330	2.366
331	0.818
332	3.552
333	2.521
334	2.429
335	2.551
336	2.076
337	3.549
338	2.518
339	2.028
340	2.542
341	1.931
342	2.334
343	2.175
344	2.039
345	1.949
346	2.017
347	3.189
348	2.065
349	2.318
350	2.505
351	1.972
352	1.461
353	1.925
354	0.516
355	2.723
356	1.929
357	2.023
358	2.762
359	2.312
360	2.353
361	1.442
362	1.732
363	1.732
364	1.565
365	2.193
366	1.532
367	1.532
368	1.354
369	1.396
370	1.396
371	4.042
372	0.853
373	2.078
374	1.776
375	1.695
376	1.619
377	1.619
378	0.618
379	0.618
380	1.084
381	1.901
382	2.518
383	2.468
384	2.471
385	2.115
386	1.36
387	2.148
388	2.757
389	1.695
390	2.444
391	1.566
392	1.645
393	1.645
394	1.872
395	3.572
396	1.581
397	1.71
398	2.185
399	2.411
400	2.359
401	2.361
402	2.214
403	2.214
404	2.135
405	2.252
406	0.221
407	2.328
408	2.493
