Compound Id	sdg
1	391
2	440
3	319
4	240
5	253
6	276
7	409
8	436
9	465
10	435
11	360
12	335
13	405
14	549
15	466
16	456
17	515
18	406
19	481
20	434
21	448
22	420
23	487
24	474
25	514
26	502
27	413
28	432
29	539
30	500
31	524
32	423
33	231
34	372
35	289
36	359
37	254
38	233
39	370
40	400
41	296
42	420
43	422
44	403
45	244.6
46	381
47	257
48	319
49	321
50	287
51	422
52	231
53	233
54	392
55	379
56	447
57	385
58	415
59	466
60	393
61	533.15
62	544
63	414.15
64	505
65	402
66	327
67	399
68	508
69	429
70	251
71	219
72	357
73	305
74	278
75	337
76	407
77	410
78	316
79	263
80	354
81	266
82	307
83	272
84	306
85	330
86	313
87	313
88	302
89	219
90	249
91	236
92	221
93	225
94	298
95	212
96	208
97	219
98	357
99	366
100	425
101	311
102	320
103	378
104	383
105	389
106	398
107	407
108	340
109	467
110	437
111	327
112	307
113	441
114	403
115	312
116	325
117	345
118	362
119	263
120	276
121	268
122	427.15
123	390
124	403.52
125	297
126	307
127	333
128	346
129	333
130	339
131	390
132	242
133	261
134	274
135	256
136	259
137	248
138	329
139	360
140	339
141	325
142	345
143	288
144	293
145	458
146	426
147	339
148	354
149	368
150	406
151	377.594
152	316
153	306
154	450
155	414
156	324
157	458
158	415
159	339
160	357
161	382.15
162	358
163	361
164	281
165	292
166	285
167	424
168	377
169	279
170	376
171	349
172	291
173	320
174	322
175	328
176	219
177	265
178	263
179	242
180	256
181	234
182	234
183	227
184	370
185	388
186	243
187	255
188	292
189	369.26
190	319
191	274
192	253
193	264
194	360.93
195	291
196	325
197	296
198	366
199	306
200	301
201	279
202	319.15
203	230
204	195
205	242
206	406
207	416
208	370
209	394.15
210	425
211	355
212	381
213	388
214	394
215	327
216	284
217	361
218	372
219	365
220	259
221	259
222	297
223	370
224	370
225	304
226	411
227	371
228	255
229	355
230	373
231	249
232	257
233	369
234	261
235	293
236	293.15
237	299.15
238	263
239	277
240	273
241	305
242	274.66
243	306
244	319
245	326
246	250
247	226
248	404
249	402
250	389
251	392
252	414
253	364
254	391
255	297
256	285
257	362
258	350
259	417
260	329
261	344
262	320
263	319
264	351
265	351
266	332
267	332
268	346
269	332.15
270	311
271	272
272	266
273	319.26
274	294
275	304
276	326
277	246
278	247
279	258
280	286
281	355.37
282	340
283	344.26
284	326
285	294.261
286	294
287	308
288	362
289	279
290	301
291	307
292	304
293	278
294	286
295	336
296	283
297	302
298	226
299	226
300	269
301	246
302	248
303	246
304	239
305	237
306	240
307	231
308	280
309	235
310	258
311	329
312	282
313	421
314	357
315	305
316	327
317	301
318	313
319	319
320	393
321	251
322	250
323	306
324	276
325	281
326	294
327	248
328	255
329	264
330	269
331	323
332	376
333	299.7
334	280
335	372
336	373
337	419
338	352
339	380
340	372.15
341	335
342	310
343	306
344	332
345	283
346	304
347	299
348	454
349	311
350	443
351	311
352	272
353	293
354	309.261
355	287
356	277
357	295
358	366
359	320.15
360	329
361	296
362	290
363	288
364	309
365	318
366	265
367	265
368	292
369	246
370	245
371	419
372	235
373	269
374	339.15
375	316.15
376	282
377	281
378	300
379	297
380	277
381	289
382	296
383	358
384	332
385	339
386	304
387	318
388	495
389	336
390	356
