Compound Id	sd
1	16.5
2	13
3	9
4	8
5	7.68
6	7.7
7	7
8	7
9	6
10	7
11	7
12	6.8
13	7
14	6.5
15	5.8
16	7.2
17	5.8
18	5.8
19	5.5
20	5.9
21	5.9
22	5.9
23	5.9
24	5.6
25	5.2
26	4.33
27	5.2
28	5.7
29	5.4
30	4.1
31	5.1
32	4.9
33	4.7
34	4.5
35	4.3
36	4.2
37	4
38	3.9
39	3.8
40	4.8
41	6.4
42	5
43	5
44	5
45	4.1
46	5.4
47	6.8
48	5.4
49	5.4
50	5.1
51	5.8
52	10.4
53	11.1
54	9.4
55	8.35
56	6.4
57	6.5
58	5.9
59	8
60	6.7
61	6.6
62	6.1
63	5.9
64	5.9
65	7
66	5.5
67	5.1
68	6
69	4.7
70	6.7
71	6.3
72	5.4
73	11
74	9.7
75	9.7
76	9.4
77	9.4
78	9.6
79	9.1
80	9.6
81	7.9
82	9
83	9
84	9
85	9
86	9
87	9.4
88	9.4
89	9.4
90	8.6
91	8.1
92	9.1
93	9.1
94	9
95	9.1
96	9
97	7.8
98	7.3
99	7.8
100	7.8
101	7.8
102	7.8
103	8.1
104	8.2
105	7.16
106	9.05
107	7.4
108	7.8
109	6.8
110	6.9
111	6.9
112	6
113	5.7
114	5.3
115	5
116	4.7
117	4.5
118	4.3
119	4.1
120	3.8
121	12.1
122	10.1
123	3.02
124	3.6
125	8.6
126	7.5
127	6.9
128	6.9
129	6.9
130	6.9
131	6.9
132	4
133	3.7
134	3.6
135	8.8
136	9.8
137	10.2
138	10.2
139	7
140	6.1
141	6.8
142	6.1
143	12
144	11.5
145	12.3
146	13.1
147	13.1
148	13.1
149	12.1
150	9
151	10.9
152	7.1
153	7.1
154	8
155	8.6
156	5.3
157	8
158	7.1
159	6.7
160	6.7
161	7
162	7
163	6
164	6.5
165	5.8
166	6.1
167	6
168	6.6
169	7.1
170	7.29
171	5.8
172	6
173	6.9
174	5.7
175	5.3
176	5.6
177	5.4
178	5.6
179	6.1
180	6.6
181	6.6
182	6.6
183	4.6
184	6.2
185	4.3
186	5.4
187	5.8
188	5.4
189	5.1
190	4.6
191	5.4
192	5.8
193	3.7
194	3.8
195	5.2
196	4.8
197	5.2
198	5.5
199	5.3
200	4.9
201	4.7
202	4.4
