Compound Id	nHAcc
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
15	0
17	0
18	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
31	0
32	0
34	0
35	0
36	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
60	0
61	0
62	0
64	0
65	0
66	0
69	0
70	0
71	0
72	0
74	0
75	0
76	0
79	0
84	0
86	0
89	0
90	0
92	0
93	0
96	0
98	0
102	0
105	0
107	0
108	0
109	0
110	0
111	0
112	0
114	2
115	2
116	2
117	2
118	2
119	2
121	2
123	2
124	2
127	1
128	1
129	1
130	1
131	1
132	2
137	1
138	1
139	2
140	2
141	2
142	1
144	2
145	1
146	1
147	1
149	1
150	1
151	2
152	1
153	1
154	1
155	1
156	1
157	1
159	1
160	1
162	1
165	1
168	2
169	1
171	2
172	4
173	4
174	4
175	4
176	4
177	4
178	4
179	3
180	2
181	1
182	1
183	1
184	1
185	1
186	2
187	1
188	1
189	7
193	3
194	3
198	2
199	2
204	2
205	2
206	2
207	2
208	2
209	2
210	3
211	4
212	5
213	5
214	5
215	2
216	3
217	5
218	4
219	2
220	1
221	3
222	2
223	3
224	1
225	2
226	1
227	0
228	0
229	0
230	0
231	1
232	1
233	0
234	1
235	0
236	0
237	0
238	0
14	0
16	0
19	0
30	0
33	0
37	0
46	0
59	0
63	0
67	0
68	0
73	0
77	0
78	0
80	0
81	0
82	0
83	0
85	0
87	0
88	0
91	0
94	0
95	0
97	0
99	0
100	0
101	0
103	0
104	0
106	0
113	2
120	2
122	2
125	2
126	1
133	1
134	1
135	1
136	1
143	2
148	2
158	1
161	1
163	1
164	1
166	1
167	1
170	1
190	3
191	3
192	3
195	2
196	2
197	2
200	2
201	2
202	2
203	2
