Compound Id	Molecular distance edge between all secondary and tertiary carbons
219	21.16900602
220	21.16900602
221	21.39890578
222	31.31111941
223	23.17814628
224	22.61446088
225	19.09809029
226	32.16013517
227	21.16900602
228	19.09809029
229	22.9681649
230	21.16900602
231	21.63640784
232	31.27991654
233	16.67978166
234	34.97116673
235	21.89333433
236	21.68777396
237	21.16900602
238	20.80573357
239	22.99859677
240	23.17814628
241	21.16900602
242	21.16900602
243	23.17814628
244	17.82745376
245	21.39890578
246	19.09809029
247	29.44780595
248	31.13538482
249	16.44787133
250	21.21714394
251	18.04131689
252	27.65703778
253	36.10653415
254	22.86515395
255	19.09809029
256	23.17814628
257	21.69008606
258	17.89493205
259	18.35537094
260	14.34924961
261	15.62412891
262	17.82745376
263	12.91308712
264	21.39890578
265	15.88772967
266	19.09809029
267	19.3156472
268	19.07748716
269	15.62412891
270	19.49026565
271	13.60132854
272	16.81455928
273	21.16900602
274	17.10363304
275	14.34924961
276	14.97502534
277	21.2223683
278	27.51891226
279	7.142512917
280	18.27673077
281	16.61626941
282	19.28856206
283	22.99859677
284	6.996327993
285	11.74515738
286	6.019882323
287	25.5196954
288	0
289	8.592983688
290	12.36199781
291	18.27673077
292	14.05993835
293	21.69008606
294	10.17049535
295	7.187818822
296	17.5156433
297	19.2187879
298	18.35537094
299	14.24900689
300	16.28812117
301	15.62412891
302	12.47242363
303	14.51405434
304	13.99584795
305	18.22243708
306	19.49026565
307	11.89886191
308	18.35537094
309	14.3096955
310	12.71129066
311	17.93609892
312	21.55443655
313	12.39039183
314	14.78615582
315	6.262170387
316	19.49026565
317	19.28856206
318	14.31163031
319	11.70848086
320	17.31691085
321	14.99845835
322	8.31898844
323	12.36199781
324	15.50558084
325	16.60387907
326	6.503959318
327	8.101212901
328	7.732315986
329	13.56332206
330	22.4786621
331	6.019882323
332	8.421635232
333	5.853800636
334	17.31691085
335	11.65071827
336	10.46923352
337	7.065551058
338	7.186236566
339	5.656854249
340	13.46049094
341	5.853800636
342	5.853800636
343	29.54170727
344	17.43023137
345	6.26120069
346	6.597539554
347	5.656854249
