Compound Id	Molecular weight
348	222.089
353	60.0211
354	116.084
355	194.058
360	74.0368
362	278.152
366	102.068
373	88.0524
386	351.915
387	252.094
388	278.11
389	121.053
390	151.875
391	291.033
392	228.094
393	405.798
394	287.86
395	74.0732
396	59.0371
397	377.871
398	93.0578
399	75.0143
400	74.048
401	201.079
402	46.0419
403	46.0055
404	60.0211
405	122.037
406	32.0262
407	60.0575
408	58.0419
409	117.914
410	233.813
411	138.032
412	60.0575
413	74.0732
414	88.0888
415	78.047
416	344.014
417	315.938
418	127.903
419	61.9923
420	45.0578
421	44.0262
422	83.9534
423	161.864
424	74.0732
425	141.959
426	199.852
427	74.0732
428	111.985
429	72.0575
430	129.914
431	72.0211
432	93.9822
433	165.891
434	100.052
435	178.078
436	312.136
437	198.079
438	166.078
439	121.089
440	195.925
441	137.048
442	139.027
443	166.027
444	124.052
445	142.078
446	128.063
447	129.058
448	143.074
449	154.078
450	184.1
451	219.969
452	248.001
453	134.019
454	106.078
455	108.058
456	145.969
457	127.019
458	107.074
459	120.094
460	134.11
461	213.891
462	195.925
463	120.058
464	145.946
465	86.0732
466	120.094
467	120.058
468	123.032
469	137.048
470	139.027
471	106.078
472	104.063
473	108.058
474	108.058
475	170.073
476	120.094
477	136.052
478	122.073
479	106.078
480	145.969
481	127.019
482	54.047
483	56.0262
484	97.969
485	55.0422
486	53.0266
487	58.0419
488	62.0368
489	80.0029
490	86.0732
491	88.0524
492	86.0368
493	100.089
494	106.078
495	170.027
496	120.094
497	179.93
498	155.957
499	98.1096
500	92.0626
501	93.0578
502	112.008
503	99.1048
504	100.089
505	98.0732
506	94.0419
507	93.0578
508	72.0939
509	70.0782
510	73.0891
511	74.0368
512	72.0575
513	68.0262
514	84.0034
515	114.104
516	86.1096
517	106.019
518	84.0939
519	82.0782
520	79.0422
521	102.104
522	105.079
523	102.104
524	141.995
525	114.141
526	112.125
527	130.136
528	172.006
529	170.203
530	209.105
531	46.0419
532	190.078
533	281.813
534	136.052
535	155.998
536	182.073
537	178.078
538	110.037
539	179.93
540	161.964
541	182.033
542	121.089
543	330.036
544	201.078
545	169.089
546	58.0419
547	72.0575
548	88.0524
549	142.172
550	45.0578
551	88.008
552	202.078
553	168.058
554	143.074
555	239.988
556	61.0528
557	68.0626
558	116.084
559	252.094
560	202.078
561	252.094
562	228.094
563	70.0782
564	112.125
565	263.002
566	361.876
567	287.86
568	232.017
569	248.012
570	304.101
571	96.0375
572	118.078
573	120.094
574	198.028
575	145.969
576	113.964
577	156.094
578	203.944
579	100.089
580	100.052
581	68.0626
582	102.068
583	247.852
584	130.111
585	86.0368
586	80.0626
587	130.099
588	213.891
589	213.891
590	82.0782
591	189.119
592	156.094
593	221.105
594	335.109
595	88.0888
596	319.897
597	215.094
598	219.969
599	493.689
600	188.039
601	269.041
602	303.002
603	259.897
604	455.741
605	315.938
606	235.98
607	204.034
608	214.04
609	409.829
610	290.138
611	255.961
612	323.883
613	222
614	357.844
615	391.805
616	319.897
617	309.169
618	251.974
619	421.78
620	251.974
621	439.746
622	218.013
623	285.936
624	353.858
625	303.902
626	283.134
627	459.728
1	84.04359613
2	69.0326971
4	189.0360682
5	293.0931044
6	337.179027
7	295.1087545
8	299.022832
9	341.0697821
12	313.0748675
14	325.0748675
16	288.1141742
17	291.1138399
20	307.14514
21	371.0215302
22	336.1141742
23	374.9540795
24	405.0646968
25	385.981873
26	319.14514
27	333.1607901
28	411.0364313
29	317.1294899
31	417.0065303
98	317.0057699
99	119.0483472
100	152.0446587
101	119.0483472
102	69.0326971
103	163.0745619
104	136.0497441
105	99.05449516
106	145.0639972
107	164.0334254
108	225.090212
109	345.03707
110	137.0337597
111	145.0639972
112	159.0796473
113	159.0796473
114	224.8537212
115	133.0639972
116	147.0796473
117	313.064999
118	128.0334254
119	342.0439017
120	308.0828741
121	244.0807695
122	437.1852928
123	313.0416767
124	391.9498071
125	315.1695249
126	327.0541321
127	267.194677
128	327.0905176
129	301.1026685
130	204.1123444
131	295.1087545
132	291.1138399
133	409.9926505
134	295.1087545
135	215.0654538
136	314.1412616
137	350.1412616
138	291.1138399
