Compound Id	Pubchem fingerprint — count of individual chemical atoms ? 2Si
9	0
10	0
20	0
21	0
26	0
66	0
154	0
185	0
190	0
191	0
194	0
196	0
197	0
198	0
201	0
202	0
204	0
212	0
279	0
286	0
290	0
300	0
314	0
319	0
332	0
333	0
339	0
342	0
362	0
386	0
387	0
388	0
390	0
391	0
392	0
393	0
394	0
395	0
397	0
398	0
401	0
409	0
410	0
417	0
418	0
422	0
424	0
428	0
430	0
433	0
435	0
436	0
437	0
438	0
440	0
441	0
446	0
447	0
455	0
456	0
457	0
459	0
461	0
464	0
468	0
469	0
475	0
480	0
481	0
495	0
496	0
497	0
498	0
499	0
502	0
513	0
514	0
518	0
524	0
529	0
533	0
536	0
537	0
539	0
540	0
541	0
542	0
543	0
544	0
545	0
552	0
553	0
554	0
555	0
559	0
560	0
561	0
562	0
565	0
566	0
567	0
568	0
569	0
570	0
573	0
575	0
577	0
583	0
588	0
594	0
595	0
596	0
597	0
599	0
604	0
616	0
618	0
619	0
621	0
623	0
625	0
631	0
640	0
646	0
647	0
648	0
651	0
653	0
656	0
659	0
660	0
663	0
669	0
673	0
676	0
677	0
680	0
683	0
686	0
699	0
700	0
701	0
702	0
703	0
706	0
710	0
715	0
717	0
721	0
736	0
739	0
741	0
751	0
753	0
754	0
761	0
767	0
769	0
792	0
799	0
802	0
804	0
805	0
814	0
821	0
822	0
831	0
851	0
865	0
871	0
878	0
881	0
883	0
902	0
905	0
925	0
931	0
932	0
937	0
946	0
960	0
976	0
1003	0
1010	0
1016	0
1027	0
1028	0
1036	0
1043	0
1049	0
1057	0
1059	0
1060	0
1061	0
1070	0
1075	0
1111	0
1112	0
1113	0
1114	0
1115	0
1116	0
1117	0
1118	0
1119	0
1120	0
1121	0
1122	0
1123	0
1124	0
1125	0
1126	0
1127	0
1128	0
1129	0
1130	0
1131	0
1132	0
1133	0
1134	0
1135	0
1136	0
1137	0
1138	0
1139	0
1140	0
1141	0
1142	0
1143	0
1144	0
1145	0
1146	0
1147	0
1148	0
1149	0
1150	0
1151	0
1152	0
1153	0
1154	0
1155	0
1156	0
1157	0
1158	0
1159	0
1160	0
1161	0
1162	0
1163	0
1164	0
1165	0
1166	0
1167	0
1168	0
1169	0
1170	0
1171	0
1172	0
1173	0
1174	0
1175	0
1176	0
1177	0
1178	0
1179	0
1180	0
1181	0
1182	0
1183	0
1184	0
1185	0
1186	0
1187	0
1188	0
1189	0
1190	0
1191	1
1192	0
1193	0
1194	0
1195	0
1196	0
1197	0
1198	0
1199	0
1200	0
1201	0
1202	0
1203	0
1204	0
1205	0
1206	0
1207	0
1208	0
1209	0
1210	0
1211	0
1212	0
1213	0
1214	0
1215	0
1216	0
1217	0
1218	0
1219	0
1220	0
1221	0
1222	0
1223	0
1224	0
1225	0
1226	0
1227	0
1228	0
1229	0
1230	0
1231	0
1232	0
1233	0
1234	0
1235	0
1236	0
1237	0
1238	1
1239	1
1240	0
1241	0
1242	0
1243	1
1244	0
1245	0
1246	0
1247	0
1248	0
1249	0
1250	0
1251	0
1252	0
1253	0
1254	0
1255	0
1256	0
1257	0
1258	0
1259	0
1260	0
1261	0
1262	0
1263	0
1264	0
1265	0
1266	0
1267	0
1268	0
1269	0
1270	0
1271	0
1272	0
1273	0
1274	0
1275	0
1276	0
1277	0
1278	0
1279	0
1280	0
1281	0
1282	0
1283	0
1284	0
1285	0
1286	0
1287	0
1288	0
1289	0
1290	0
1291	0
1292	0
1293	0
1294	0
1295	0
1296	0
1297	0
1298	0
1299	0
1300	0
1301	0
1302	0
1303	0
1304	0
1305	0
1306	0
1307	0
1308	0
1309	0
1310	0
1311	0
1312	0
1313	0
1314	0
1315	0
1316	0
1317	0
1318	0
1319	0
1320	0
1321	0
1322	0
1323	0
1324	0
1325	0
1326	0
1327	0
1328	0
1329	0
1330	0
1331	0
1332	0
1333	0
1334	0
1335	0
1336	0
1337	0
1338	0
1339	0
1340	0
1341	0
1342	0
1343	0
1344	0
1345	0
1346	0
1347	0
1348	0
1349	0
1350	0
1351	0
1352	0
1353	0
1354	0
1355	0
1356	0
1357	0
1358	0
1359	0
1360	0
1361	0
1362	0
1363	0
1364	0
1365	0
1366	0
1367	0
1368	0
1369	0
1370	0
1371	0
1372	0
1373	0
1374	0
1375	0
1376	0
1377	0
1378	0
1379	0
1380	0
1381	0
1382	0
1383	0
1384	0
1385	0
1386	0
1387	0
1388	0
1389	0
1390	0
1391	0
1392	0
1393	0
1394	0
1395	0
1396	0
1397	0
1398	0
1399	0
1400	0
1401	0
1402	0
1403	0
1404	0
1405	0
1406	0
1407	0
1408	0
1409	0
1410	0
1411	0
1412	0
1413	0
1414	0
1415	0
1416	0
1417	0
1418	0
1419	0
1420	0
1421	0
1422	0
1423	0
1424	0
1425	0
1426	0
1427	0
1428	0
1429	0
1430	0
1431	0
1432	0
1433	0
1434	0
1435	0
1436	0
1437	0
1438	0
1439	0
1440	0
1441	0
1442	0
1443	0
1444	0
1445	0
1446	0
1447	0
1448	0
1449	0
1450	0
1451	0
1452	0
1453	0
1454	0
1455	0
1456	0
1457	0
1458	0
1459	0
1460	0
1461	0
1462	0
1463	0
1464	0
1465	0
1466	0
1467	0
1468	0
1469	0
1470	0
1471	0
1472	0
1473	0
1474	0
1475	0
1476	0
1477	0
