Compound Id	Wiener path number
1	26
2	15
3	93
4	213
5	802
6	1585
7	802
8	660
9	1000
10	615
11	802
12	790
13	802
14	897
15	1003
16	791
17	767
18	1042
19	1141
20	963
21	1203
22	1341
23	753
24	1930
25	1144
26	1034
27	1171
28	1687
29	1034
30	1333
31	1637
32	1296
33	879
34	2820
35	1468
36	2165
37	914
38	2583
39	1791
40	527
41	1004
42	775
43	1143
44	1142
45	1516
46	1150
47	536
48	42
49	694
50	318
51	458
52	116
53	148
54	226
55	150
56	380
57	111
58	84
59	673
60	456
61	248
62	154
63	384
64	1822
65	1064
66	942
67	1268
68	582
69	372
70	1753
71	2356
72	1591
73	1797
74	2165
75	1693
76	1278
77	1924
78	554
79	473
80	2142
81	1028
82	1076
83	332
84	1409
85	2341
86	2119
87	478
88	412
89	2094
90	559
91	2166
92	184
93	439
94	228
95	2728
96	3386
97	1300
