Compound Id	Maximum atom-type H E-State: -OH
219	0.57050442
220	0.558457934
221	0.49216564
222	0.517473928
223	0.499770093
224	0.499770093
225	0.538559044
226	0.389682769
227	0.57951271
228	0.5216146
229	0.499770093
230	0.56458726
231	0.558457934
232	0.45794079
233	0.598475099
234	0.38280737
235	0.499770093
236	0.479819961
237	0.552540775
238	0.541929009
239	0.499770093
240	0.504336209
241	0.55151349
242	0.558457934
243	0.499770093
244	0.589160132
245	0.163301918
246	0.526180716
247	0
248	0
249	0.559360302
250	0.576826646
251	0.613256567
252	0
253	0
254	0.499770093
255	0.5216146
256	0.504336209
257	0.257051918
258	0.625875932
259	0.623108389
260	0.634508262
261	0.561102844
262	0.582215687
263	0.586382259
264	0.162233389
265	0.643516553
266	0.538559044
267	0.602053613
268	0.625875932
269	0.554158399
270	0.31268676
271	0.573102088
272	0.628454591
273	0
274	0.637462882
275	0.622461777
276	0.609279683
277	0.49150563
278	0.573791834
279	0.609698605
280	0.625875932
281	0.625875932
282	0.623108389
283	0.307329696
284	0.597887703
285	0.628990832
286	0.580419029
287	0.556148943
288	0
289	0.642153254
290	0.588727088
291	0.613829446
292	0.627694082
293	0
294	0.588727088
295	0.614800646
296	0.625875932
297	0.623108389
298	0.61285981
299	0.637462882
300	0.50111122
301	0.6415899
302	0.648862754
303	0.63544726
304	0.6415899
305	0.613829446
306	0.31268676
307	0.622461777
308	0.61719123
309	0.625875932
310	0.596953342
311	0.578143542
312	0
313	0
314	0
315	0.642578424
316	0.224405653
317	0.61285981
318	0.629543415
319	0.637940996
320	0.599406221
321	0.611452706
322	0.660116899
323	0.62945943
324	0.625875932
325	0.630604214
326	0
327	0.668381362
328	0.678381362
329	0.484553555
330	0.549542076
331	0.617456066
332	0.637864229
333	0.653619684
334	0.611452706
335	0.608085672
336	0.650239554
337	0.690727041
338	0.551805556
339	0.633081066
340	0
341	0.630262346
342	0.631119684
343	0.574076436
344	0.593403959
345	0.654305556
346	0.673897392
347	0.694305556
