Compound Id	Minimum atom-type H E-State: H bonded to B, Si, P, Ge, As, Se, Sn or Pb
704	0
1165	0
1278	1.45
1604	0.95
1872	0
1873	0
1874	0
1876	0
1877	0
1878	0
1879	0
1880	0
1881	0
1882	0
1883	0.682253086
1884	0
1885	0.687654321
1886	0
1889	1.280589849
1890	1.45
1893	0
1895	0
1896	0
1903	0
1913	1.075
1916	1.133271605
1919	1.13132716
1920	1.54375
1925	0
1926	0
1927	0
1928	0
1929	0
1930	0
1931	0
1932	0
1933	0
1934	0
1935	0.7
1936	0.802237654
1937	0.599852962
1938	0
1939	0
1940	1.088117284
1941	0
1942	0
1943	0
1944	0
1945	1.245097737
1946	0
1947	0
1948	0
