Compound Id	Minimum atom-type E-State: >C<
1	0
4	0
5	-0.518396477
6	-0.36051987
7	-0.323952032
8	-0.68548954
9	-0.713429355
10	0
12	-0.828336763
13	-0.267239069
14	-0.259932443
16	-0.512171639
17	-0.86816701
18	0
20	-0.81756783
21	-4.451566277
22	-0.614928941
23	-0.155396948
24	-0.829105094
25	0
26	-0.748123386
27	-0.705299312
29	-0.887012275
31	0
98	0
99	0
104	0
105	0
107	0
108	0
109	0
113	0
115	0
117	0
123	0
124	0
125	0
126	-0.712596022
128	-0.191645406
129	-1.68775463
131	-0.323952032
132	-0.267239069
133	0
134	-0.323952032
136	-0.233266881
137	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0.278138814
147	-5.683853888
148	0
