Compound Id	Number of 6-membered rings
219	2
220	2
221	3
222	3
223	3
224	3
225	1
226	4
227	2
228	1
229	3
230	2
231	2
232	3
233	2
234	4
235	3
236	3
237	2
238	2
239	3
240	3
241	2
242	2
243	3
244	2
245	3
246	1
247	3
248	3
249	2
250	3
251	3
252	3
253	4
254	3
255	1
256	3
257	3
258	3
259	3
260	2
261	2
262	2
263	2
264	3
265	2
266	1
267	3
268	3
269	2
270	3
271	2
272	2
273	2
274	2
275	2
276	2
277	3
278	3
279	1
280	3
281	3
282	3
283	3
284	1
285	1
286	1
287	3
288	0
289	1
290	2
291	3
292	2
293	3
294	2
295	1
296	3
297	3
298	3
299	2
300	2
301	2
302	2
303	2
304	2
305	3
306	3
307	2
308	3
309	3
310	2
311	3
312	3
313	2
314	2
315	1
316	3
317	3
318	2
319	2
320	3
321	3
322	1
323	2
324	3
325	2
326	2
327	1
328	1
329	2
330	3
331	1
332	1
333	1
334	3
335	2
336	2
337	1
338	1
339	1
340	2
341	1
342	1
343	3
344	3
345	1
346	1
347	1
1	0
4	1
5	1
7	1
8	1
9	1
10	1
12	1
16	1
17	1
18	2
20	1
21	1
22	2
23	1
24	2
25	1
26	1
27	1
28	1
98	2
109	2
117	1
123	0
129	2
131	1
133	2
134	1
136	0
137	1
144	2
146	1
147	2
