Compound Id, Acute lethal inhalation concentration mice pLC50
704, 5.368
1165, 3.2
1604, 4.538
1872, 2.592
1873, 3.927
1874, 2.858
1875, 4.186
1876, 1.589
1877, 5.337
1878, 3.956
1879, 2.845
1880, 2.301
1881, 2.938
1882, 4.645
1883, 3.304
1884, 3.952
1885, 0.315
1886, 3.962
1887, 5.511
1888, 3.227
1889, 1.989
1890, 1.642
1891, 4.099
1892, 3.157
1893, 2.442
1894, 3.692
1895, 6.255
1896, 6.542
1897, 4.545
1898, 3.889
1899, 3.292
1900, 2.832
1901, 4.176
1902, 1.277
1903, 3.893
1904, 4.746
1905, 1.582
1906, 5.275
1907, 0.842
1908, 1.739
1909, 5.067
1910, 4.376
1911, 2.865
1912, 5.363
1913, 1.778
1914, 4.363
1915, 3.582
1916, 1.357
1917, 0.823
1918, 0.269
1919, 1.041
1920, 0.849
1921, 4.099
1922, 4.344
1923, 4.96
1924, 3.607
