Compound Id, Acute inhalation toxicity
704, 5.5637
1165, 3.3146
1278, 1.9301
1604, 2.3281
1872, 0.2486
1873, 4.057
1874, 0.6873
1876, 2.0662
1877, 5.3418
1878, 3.9142
1879, 0.398
1880, 4.1269
1881, 2.6483
1882, 4.6175
1883, 0.8329
1884, 4.1631
1885, 0.6793
1886, 3.754
1889, 2.0487
1890, 1.6154
1893, 2.4171
1895, 6.6091
1896, 6.4794
1903, 4.0246
1913, 1.8326
1916, 1.1198
1919, 1.0813
1920, 0.8418
1925, 1.5004
1926, 2.68
1927, 3.1643
1928, 4.6552
1929, 0.1588
1930, 3.7824
1931, 3.3926
1932, 2.3088
1933, 2.0612
1934, 4.8206
1935, -0.8079
1936, 0.7357
1937, 5.3576
1938, 2.3157
1939, 4.2959
1940, 0.8069
1941, 4.6391
1942, 3.3803
1943, 2.7808
1944, 3.3011
1945, 2.4232
1946, 1.6576
1947, 2.6533
1948, 2.9189
