Compound Id, The octanol-water partition coefficient
1, -0.86
2, -0.58
4, 1.7
5, 2.77
6, 4.16
7, 2.9
8, 2.32
9, 3.72
12, 3.9
14, 4.3
16, 2.94
17, 2.9
20, 3.7
21, 3.56
22, 3.23
23, 3.24
24, 4.3
25, 0.99
26, 3.85
27, 4.21
28, 3.36
29, 3.29
31, 3.08
98, 2.75
99, 1.44
100, -0.71
101, 1.44
102, -0.29
103, 0.5
104, -0.96
105, -1.61
106, 1.91
107, 1.95
108, 4.31
109, 3.4
110, -1.97
111, 1.54
112, 1.27
113, 0.92
114, 2.24
115, 1.13
116, 1.58
117, 3.34
118, -0.68
119, 2.42
120, 2.12
121, -1.85
122, 5.3
123, 3.82
124, 2.79
125, 1.79
126, 3.1
127, 1.95
128, 3.8
129, 2.29
130, 1.13
131, 3.28
132, 3.67
133, 4.94
134, 3.08
135, -1.59
136, 2.69
137, 3.21
138, 3.02
