Compound Id, Melting point
1, 159
4, 187
5, 82
6, 127
7, 124
8, 112.6
9, 25
10, 58.5
12, 111
13, 153
14, 148.5
16, 65.5
17, 107.5
18, 252
20, 102.4
21, 6
22, 125
23, 84
24, 76
25, 122
26, 111.5
27, 89
29, 140
31, 211
98, 73
99, 100
104, 300
105, 205
107, 217
108, 132
109, 53
113, 49
115, 64.5
117, 3.5
123, 25
124, 213
125, 139
126, 84
128, 148
129, 130
131, 133.5
132, 153
133, 90
134, 138.2
136, 53
137, 115
139, 167.5
140, 100
141, 87
142, 228.5
143, 239
144, 168
145, 83.5
146, 110
147, 146
148, 217
