Compound Id, Acute toxicity to fish
1, 1.92
4, 4.41
5, 4.86
7, 4.32
9, 5.62
10, 5.4
11, 4.02
12, 4.97
14, 5.31
15, 5.42
16, 5.16
17, 4.19
18, 3.04
23, 5.35
24, 5.57
26, 5.18
27, 5.64
28, 5.41
29, 4.95
33, 5.27
54, 4.44
55, 3.18
58, 3.09
62, 3.2
63, 4.28
64, 5.5
65, 4.23
67, 3.47
70, 3.41
71, 5.47
73, 3.6
76, 6.05
77, 4.27
78, 5.48
79, 3.92
80, 3.8
84, 5.07
85, 3.44
87, 3.34
88, 3.35
89, 5.74
90, 3.08
92, 3.32
93, 3.36
94, 3.28
95, 3.66
96, 3.7
126, 5.12
128, 4.53
133, 5.79
136, 5.86
144, 4.01
146, 6.7
148, 3.7
149, 4.61
150, 3.02
151, 5.88
152, 4.21
153, 3.34
154, 6.26
155, 3.79
156, 4.53
157, 5.57
158, 3.42
159, 3.62
160, 3.5
161, 3.06
162, 4.97
163, 5.93
164, 4.43
165, 5.99
166, 6.02
167, 4.54
168, 3.35
169, 2.85
