Compound Id	MAXDP2
1	2.00159
2	3.42315
3	3.50417
4	1.77006
5	1.33333
6	2.22222
7	2.71305
8	1.35778
9	0.842593
10	2.18056
11	4.09156
12	2
13	3.20093
14	2.05556
15	2.44444
16	0.694444
17	1.03318
18	3.26176
19	1.875
20	2.06625
21	2.19736
22	0
23	2.07282
24	1.86039
25	0.804012
26	0.652778
27	2.52083
28	2.75694
29	1.02392
30	2.14352
31	1.21914
32	2.8125
33	0.845679
34	2.25
35	2.23611
36	1.00309
37	3.18981
38	4.54421
39	4.94474
40	0.178241
41	5.24324
42	3.78186
43	0.217593
44	1.68185
45	3.00821
46	3.22731
47	3.06731
48	3.46287
49	2.98551
50	0.157407
51	0.12037
52	1.1812
53	1.62387
54	0.12037
55	3.15671
56	3.22316
57	0.138889
58	0.12037
59	2.91926
60	1.46562
61	1.47256
62	1.51981
63	0.203704
64	1.49978
65	2.94951
66	1.59454
67	1.27469
68	3.18056
69	0.203704
70	3.64537
71	3.00648
72	3.11778
73	3.03615
74	0.162037
75	0.630926
76	2.53759
77	1.41417
78	2.07833
79	3.16871
80	3.0437
81	0.12037
82	1.44191
83	1.445
84	2.05556
85	0.942901
86	1.625
87	1.50694
88	1.75694
89	0.852623
90	3.04375
91	2.59931
92	2.75028
93	3.25417
94	0.166667
95	1.78472
96	0.1875
97	1.47025
98	0.56125
99	0.0833333
100	0.845556
101	1.42858
102	2.90917
103	3.46306
104	2.63222
105	0.884259
106	2.98042
107	1.13903
108	1.44444
109	1.08333
110	0.0416667
111	3.31857
112	1.11458
113	0.784722
114	2.29288
115	1.63194
116	1.36806
117	1.37205
118	4.03033
119	3.53209
120	3.42176
121	3.33731
122	4.8463
123	0.240741
124	2.66926
125	1.48645
126	2.85312
127	3.37954
128	0.0833333
129	4.80209
130	0.803889
131	2.17361
132	2.40486
133	3.09635
134	1.44444
135	1.03858
136	4.22463
137	2.15241
138	1.7562
139	1.40613
140	2.82153
141	2.87412
142	3.41153
143	2.65089
144	1.77006
145	4.2472
146	4.35345
147	2.18481
148	3.90667
149	0.157407
150	3.37176
151	1.44941
152	0.1598
153	3.20264
154	2.93264
155	2.45746
156	1.54432
157	2.52806
158	3.18468
159	1.52349
160	1.51599
161	4.41199
162	4.15353
163	1.4375
164	3.73062
165	1.78363
166	4.80647
167	4.87469
168	3.39918
169	2.0556
170	2.14512
171	2.07469
172	3.53082
173	2.00552
174	2.01001
175	1.96099
176	2.14515
177	2.14519
178	2.1488
179	2.14403
180	5.18751
