Compound Id	nX
1	5
2	0
3	0
4	6
5	0
6	0
7	6
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	3
17	6
18	0
19	0
20	0
21	0
22	0
23	3
24	4
25	2
26	2
27	0
28	2
29	5
30	0
31	2
32	0
33	3
34	0
35	1
36	4
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	3
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	2
56	2
57	0
58	0
59	0
60	2
61	1
62	0
63	0
64	4
65	3
66	0
67	3
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	2
83	1
84	0
85	2
86	0
87	0
88	0
89	1
90	0
91	0
92	0
93	0
94	0
95	2
96	0
97	3
98	1
99	0
100	0
101	1
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	1
113	0
114	0
115	0
116	2
117	2
118	0
119	0
120	0
121	1
122	0
123	0
124	0
125	3
126	2
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	1
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	6
144	6
145	2
146	2
147	0
148	1
149	0
150	0
151	2
152	1
153	0
154	0
155	0
156	5
157	0
158	0
159	4
160	4
161	0
162	0
163	0
164	2
165	1
166	2
167	3
168	4
169	4
170	2
171	1
172	1
173	3
174	5
175	2
176	2
177	2
178	1
179	3
180	1
