Compound Id	eigenvector coefficient sum from distance matrix encoding the 2D molecular dimension
1	1.414
2	4.287
3	4.42
4	3.404
5	3.411
6	4.626
7	3.424
8	2.965
9	3.936
10	2.204
11	4.168
12	4.523
13	4.399
14	4.191
15	1.972
16	2.202
17	4.416
18	3.419
19	3.274
20	3.823
21	4.063
22	2.959
23	3.408
24	4.302
25	2.431
26	3.408
27	2.629
28	1.972
29	1.972
30	3.262
31	3.817
32	3.272
33	3.122
34	1.716
35	1.972
36	2.965
37	1.414
38	1.972
39	2.789
40	1.974
41	2.204
42	2.412
43	2.449
44	2.204
45	4.302
46	4.495
47	4.173
48	4.173
49	1.414
50	1.716
51	1.732
52	1.972
53	1.972
54	1.972
55	1.972
56	2.204
57	2.607
58	2.607
59	4.064
60	3.268
61	4.032
62	3.127
63	2.202
64	2.202
65	2.202
66	2.412
67	4.723
68	4.19
69	3.689
70	3.442
71	3.954
72	3.926
73	4.391
74	4.378
75	4.792
76	3.703
77	3.703
78	3.553
79	3.553
80	3.278
81	4.71
82	4.8
83	3.819
84	4.299
85	3.568
86	3.568
87	3.69
88	3.69
89	2.968
90	3.419
91	3.123
92	3.122
93	4.056
94	3.414
95	2.961
96	3.287
97	3.287
98	4.396
99	3.695
100	3.114
101	3.14
102	3.14
103	3.284
104	3.267
105	4.175
106	3.944
107	4.191
108	3.425
109	3.702
110	3.686
111	3.814
112	3.559
113	3.119
114	3.812
115	3.683
116	3.267
117	3.825
118	3.406
119	3.412
120	3.549
121	3.549
122	2.982
123	2.982
124	2.802
125	2.802
126	2.802
127	2.802
128	2.802
129	2.964
130	2.964
131	2.964
132	3.121
133	3.121
134	3.121
135	2.409
136	3.277
137	2.965
138	2.965
139	2.965
140	3.123
141	3.415
142	3.813
143	3.813
144	3.269
145	3.415
146	3.674
147	3.117
148	3.117
149	3.117
150	3.117
151	2.797
152	2.797
153	2.797
154	2.797
155	2.797
156	2.797
157	3.952
158	3.69
159	3.419
160	4.288
161	3.817
162	3.564
163	3.413
164	3.413
165	3.404
166	5.019
167	3.698
168	2.959
169	2.959
170	3.122
171	3.122
172	3.267
173	3.116
174	3.26
175	3.405
176	2.797
177	2.797
178	2.797
179	2.797
180	2.797
181	2.797
182	2.797
183	2.797
184	2.209
185	1.974
186	1.974
187	1.974
188	2.802
