Compound Id	logarithm of octanol-water partition coefficient
1	0.35
2	6.91
3	6.13
4	1.05
5	0.51
6	6.75
7	1.17
8	0.64
9	4.09
10	2.83
11	3.83
12	6.42
13	5.07
14	5.79
15	-2.11
16	-0.92
17	5.8
18	3.72
19	4.45
20	3.41
21	4.58
22	1.36
23	0.78
24	5.2
25	-0.87
26	1.89
27	0.94
28	-0.26
29	-1.08
30	1.43
31	2.36
32	1.29
33	0.83
34	-0.31
35	-0.17
36	1.87
37	-0.77
38	1.97
39	4.14
40	0.25
41	0.88
42	1.56
43	2.19
44	2.49
45	5.2
46	5.08
47	6.02
48	6.96
49	1.19
50	1.25
51	-0.3
52	2.67
53	2.09
54	1.79
55	2.13
56	2.53
57	1.47
58	2.09
59	5.47
60	5.04
61	5.7
62	1.7
63	1.99
64	1.89
65	2.61
66	2.39
67	2.6
68	4.07
69	4.22
70	3.92
71	3.39
72	2.47
73	4.11
74	4.72
75	6.77
76	4.56
77	3.43
78	7.48
79	3.2
80	1.6
81	4.91
82	4.15
83	3.13
84	2.75
85	4.18
86	3.72
87	1.72
88	2.24
89	4.14
90	5.12
91	3.69
92	1.79
93	3.56
94	0.73
95	1.32
96	3.87
97	2.84
98	3.87
99	2.67
100	1.6
101	3.3
102	2.03
103	3.86
104	3.31
105	2.87
106	3.51
107	5.9
108	4.01
109	2.84
110	1.34
111	3.47
112	2.75
113	2.12
114	3.8
115	3.31
116	2.64
117	3.59
118	3.14
119	3.45
120	2.68
121	2.81
122	0.92
123	3.12
124	3.12
125	1.95
126	3.42
127	3.43
128	2.15
129	3.63
130	2.69
131	3.33
132	4
133	4.64
134	3.72
135	2.96
136	2.29
137	1.42
138	1.58
139	1.83
140	1.37
141	2.8
142	1.55
143	1.18
144	3.12
145	1.49
146	2.33
147	2.27
148	1.58
149	1.39
150	1.91
151	3.15
152	2.95
153	1.1
154	0.36
155	1.66
156	2.11
157	3.88
158	3.51
159	0.98
160	4.37
161	1.59
162	4.21
163	2.28
164	2.3
165	5.11
166	8.12
167	3.82
168	3.72
169	0.12
170	1.41
171	1.16
172	2.29
173	4.38
174	3.36
175	3.88
176	2.26
177	2.59
178	3.15
179	1.94
180	3.44
181	1.88
182	2.39
183	1.39
184	0.45
185	1.96
186	-0.01
187	1.48
188	3.2
189	1.96
190	2.5
191	1.4
192	0.8
193	1.61
194	3.42
195	2.35
196	4.19
197	2.99
198	2.79
199	2.9
200	1.46
201	0.97
202	2.03
203	1.29
204	2.72
205	3
206	4.57
207	5.13
208	1.52
209	1.27
210	3.14
211	3.83
212	5.02
213	2.23
214	1.13
215	3.89
216	7.45
217	8.1
218	5.73
219	2.22
220	1.6
221	3.18
222	4.31
223	4.45
224	3.43
225	2.47
226	0.95
227	4.05
228	3.06
229	2.31
230	2.36
231	0.83
232	3.3
233	1.47
234	2.18
235	3.5
236	2.6
237	2.94
238	-0.84
239	2.83
240	-0.27
241	2.16
242	3.4
243	6.28
244	4.88
245	1.56
246	4.12
247	4.38
248	2.35
249	2.85
250	1.9
251	2.25
252	1.73
253	2.93
254	2.18
255	0
256	1.92
257	4.26
258	5.41
259	1.91
260	2.47
261	2.42
262	0.83
263	1.58
264	1.94
265	1.58
266	-0.28
267	2.09
268	7.28
269	6.63
270	6.44
271	6.7
272	6.4
273	6.25
274	5.78
275	5.16
276	6.11
277	3.94
278	5.81
279	6.54
280	4.48
281	5.4
282	6.4
283	3.4
284	2.86
285	3.56
286	4.02
287	1.38
288	-0.75
289	6.5
290	2.11
291	2.44
292	3.8
293	3.78
294	1.37
295	2.68
296	3.2
297	1.13
298	3.81
299	1.2
300	1.61
301	2.56
302	1.47
303	1.5
304	2.98
305	3.18
306	4.74
307	3.59
308	5.08
309	1.64
310	1.28
311	1.68
312	2.3
313	3.53
314	2.03
315	2.91
316	2
317	3.8
318	0.94
319	5.07
320	2.84
321	4.4
322	2.55
323	2
324	1.63
325	2.15
326	2.35
327	3.25
328	2.23
329	1.04
330	-1.4
331	2.82
332	5.18
333	4.14
334	0.64
335	-0.15
336	0.62
337	3.26
338	0.86
339	2.13
340	1.89
341	1.18
342	0.82
343	2.32
344	3.63
345	2.9
346	2.93
347	3.2
348	4.6
349	3.68
350	4.57
351	4.66
352	0.77
353	1.4
354	0.88
355	1.04
356	1.82
357	0.34
358	3.06
359	3.07
360	3.85
361	2.78
362	4.2
363	3.21
364	1.29
365	5.07
366	4.03
367	5.66
368	4.81
369	2.98
370	5.51
371	4.18
372	3.74
373	3.13
374	1.02
375	2.92
376	4.38
377	3.94
378	2.42
379	4.82
380	2.86
381	3.53
382	1.12
383	4.98
384	3.84
385	4.39
386	2.05
387	4.11
388	2.74
389	4.29
390	3.04
391	2.49
392	3.3
393	2.32
394	5.34
395	2.69
396	2.99
397	0.45
398	-0.39
399	-0.57
400	2.8
401	6.1
402	1.65
403	2.3
404	0.32
405	4.64
406	4.97
407	4.28
408	5.29
409	2.9
410	2.61
411	2.87
412	3.34
413	2.21
414	1.87
415	2.96
416	2.18
417	3.32
418	3.84
419	3.41
420	1.76
421	3.59
422	1.98
423	1.82
424	4.11
425	3.65
426	4.15
427	0.77
428	2.92
429	5.23
430	4.53
431	4.58
432	3.96
433	4.57
434	3.75
435	2.13
436	2.98
437	2.09
438	2.42
439	3.21
440	8.24
441	3.67
442	4.53
443	4.31
444	4.38
445	5
446	2.64
447	5.28
448	2.09
449	1.49
450	3.78
451	3.63
452	3.37
453	4.98
454	3.19
455	3.34
456	2.66
457	5.27
458	3.83
459	2.71
460	2.08
461	2.38
462	4.16
463	5.94
464	-0.27
465	5.96
466	4.31
467	4.46
468	2.94
469	2.84
470	3.99
471	2.78
472	1.34
473	2.58
474	3.92
475	1.5
476	2.81
477	2.37
478	2.14
479	0.74
480	1.85
481	2.8
482	4.31
483	1.89
484	3.06
485	8.39
486	3.21
487	-0.2
488	2.53
489	5.62
490	1.81
491	3.13
492	3.89
493	1.33
494	0.83
495	2.55
496	3.51
497	3.3
498	1.2
499	5.78
500	2.03
501	-0.8
502	2.21
503	1.52
504	1.91
505	4.97
506	4.48
507	2.31
508	1.65
509	2.65
510	0.79
511	3.59
512	3.09
513	3.39
514	3.59
515	2.56
516	3.36
517	2.41
518	5.94
519	3.52
520	0.6
521	2.12
522	3.54
523	1.98
524	3.1
525	3.1
526	2.79
527	4.8
528	1.64
529	3.22
530	1.76
531	2.18
532	1.7
533	6.31
534	2.22
535	2.61
536	3.23
537	1.7
538	1.7
539	-0.47
540	4.5
541	1.4
542	3.87
543	4.92
544	2.8
545	1.37
546	4.12
547	3.34
548	2.16
549	3.2
550	3.82
551	5.08
552	2.2
553	2.3
554	1.08
555	3.4
556	3.89
557	4.2
558	3.18
559	-0.85
560	0.95
561	0.92
562	5.08
563	6.23
564	4.7
565	5.16
566	5.8
567	1.62
568	2.87
569	2.39
570	5.1
571	7.16
572	3.88
573	5.48
574	3.82
575	6.09
576	6.39
577	1.9
578	3
579	5.6
580	5.76
581	6.5
582	6.37
583	7.32
584	3.6
585	5.18
586	4.68
587	0.55
588	1.7
589	2.7
590	4.48
591	4.73
592	2.77
593	3.13
594	1.85
595	4.62
596	6.2
597	1.77
598	6
599	6.5
600	7.19
601	7.93
602	5.11
603	-0.17
604	2.53
605	1.47
606	2.48
607	1.65
608	5.18
609	1.7
610	3.16
611	3.6
612	3.5
613	3.36
614	5.54
615	3.8
616	2.14
617	-0.14
618	6.2
619	4.58
620	7.56
621	4.1
622	5.95
623	4.5
624	6.2
625	2.27
626	4.38
627	2.31
628	2.2
629	4.28
630	2.3
631	2.92
632	2.8
633	1.59
634	2.49
635	5.57
636	4.3
637	1.56
638	0.22
639	4
640	6
641	3.83
642	2.5
643	7
