Compound Id	number of acceptor atoms for H-bonds
1	1
2	0
3	0
4	3
5	4
6	0
7	2
8	2
9	3
10	0
11	5
12	0
13	2
14	0
15	3
16	2
17	0
18	0
19	1
20	3
21	3
22	1
23	4
24	1
25	3
26	4
27	1
28	1
29	2
30	4
31	3
32	3
33	3
34	1
35	2
36	2
37	1
38	0
39	0
40	1
41	1
42	1
43	0
44	0
45	1
46	2
47	0
48	0
49	0
50	0
51	1
52	0
53	0
54	0
55	0
56	1
57	2
58	2
59	0
60	0
61	1
62	1
63	0
64	0
65	0
66	0
67	4
68	3
69	2
70	0
71	2
72	4
73	4
74	4
75	4
76	0
77	1
78	0
79	2
80	3
81	4
82	6
83	3
84	6
85	0
86	0
87	2
88	2
89	0
90	1
91	1
92	3
93	5
94	4
95	2
96	0
97	1
98	3
99	1
100	2
101	0
102	1
103	0
104	1
105	3
106	2
107	0
108	0
109	2
110	2
111	1
112	1
113	2
114	3
115	3
116	2
117	2
118	2
119	2
120	3
121	3
122	2
123	0
124	0
125	1
126	0
127	0
128	1
129	0
130	1
131	1
132	0
133	0
134	1
135	0
136	4
137	1
138	1
139	2
140	3
141	3
142	6
143	6
144	2
145	4
146	4
147	2
148	3
149	3
150	3
151	0
152	0
153	1
154	2
155	1
156	1
157	4
158	3
159	3
160	2
161	2
162	1
163	2
164	3
165	0
166	4
167	2
168	0
169	2
170	2
171	2
172	2
173	0
174	2
175	2
176	1
177	1
178	0
179	1
180	0
181	1
182	1
183	1
184	1
185	0
186	1
187	0
188	0
189	1
190	1
191	1
192	2
193	1
194	0
195	1
196	0
197	0
198	0
199	0
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	4
209	3
210	4
211	3
212	1
213	4
214	4
215	2
216	4
217	4
218	0
219	2
220	6
221	1
222	2
223	0
224	3
225	3
226	2
227	0
228	1
229	1
230	6
231	6
232	5
233	4
234	5
235	1
236	3
237	2
238	4
239	2
240	2
241	0
242	0
243	2
244	0
245	4
246	0
247	0
248	3
249	3
250	3
251	1
252	2
253	5
254	2
255	6
256	2
257	1
258	1
259	5
260	2
261	1
262	3
263	2
264	3
265	2
266	1
267	0
268	0
269	0
270	0
271	0
272	0
273	0
274	0
275	0
276	0
277	0
278	0
279	0
280	1
281	0
282	0
283	1
284	5
285	2
286	2
287	4
288	4
289	0
290	4
291	4
292	0
293	0
294	4
295	3
296	4
297	4
298	5
299	6
300	3
301	5
302	3
303	2
304	3
305	0
306	3
307	0
308	1
309	6
310	2
311	2
312	2
313	0
314	0
315	1
316	3
317	3
318	1
319	4
320	1
321	0
322	2
323	3
324	2
325	2
326	1
327	0
328	0
329	2
330	3
331	1
332	0
333	1
334	2
335	4
336	2
337	1
338	2
339	6
340	5
341	2
342	4
343	2
344	0
345	1
346	0
347	4
348	0
349	1
350	1
351	0
352	4
353	7
354	4
355	4
356	6
357	2
358	1
359	2
360	2
361	5
362	5
363	2
364	4
365	0
366	1
367	2
368	0
369	5
370	3
371	2
372	5
373	3
374	3
375	1
376	0
377	1
378	6
379	2
380	2
381	4
382	3
383	1
384	2
385	0
386	2
387	2
388	1
389	2
390	1
391	1
392	3
393	4
394	8
395	6
396	6
397	2
398	5
399	6
400	2
401	3
402	4
403	4
404	4
405	3
406	3
407	4
408	8
409	2
410	5
411	5
412	5
413	3
414	4
415	1
416	2
417	3
418	2
419	1
420	3
421	3
422	3
423	3
424	4
425	3
426	2
427	2
428	3
429	0
430	0
431	0
432	8
433	4
434	2
435	4
436	2
437	6
438	6
439	2
440	0
441	2
442	2
443	2
444	5
445	4
446	3
447	0
448	3
449	4
450	5
451	2
452	3
453	1
454	2
455	2
456	3
457	4
458	3
459	2
460	3
461	4
462	2
463	5
464	6
465	6
466	3
467	1
468	3
469	1
470	5
471	3
472	4
473	3
474	5
475	3
476	7
477	1
478	3
479	5
480	2
481	3
482	4
483	4
484	5
485	4
486	2
487	6
488	1
489	0
490	3
491	3
492	2
493	3
494	4
495	3
496	5
497	6
498	6
499	0
500	0
501	3
502	3
503	5
504	4
505	0
506	2
507	6
508	3
509	3
510	6
511	2
512	4
513	6
514	6
515	5
516	3
517	3
518	0
519	3
520	4
521	6
522	3
523	4
524	4
525	4
526	8
527	5
528	4
529	5
530	4
531	3
532	5
533	2
534	6
535	3
536	4
537	5
538	6
539	6
540	3
541	8
542	2
543	4
544	5
545	4
546	5
547	3
548	5
549	6
550	5
551	8
552	6
553	7
554	4
555	2
556	9
557	6
558	2
559	4
560	5
561	6
562	4
563	0
564	8
565	5
566	5
567	5
568	3
569	3
570	0
571	0
572	6
573	2
574	2
575	0
576	0
577	3
578	6
579	0
580	0
581	0
582	0
583	0
584	4
585	5
586	3
587	5
588	2
589	5
590	5
591	7
592	4
593	3
594	6
595	4
596	4
597	5
598	4
599	3
600	0
601	0
602	8
603	4
604	4
605	4
606	4
607	5
608	1
609	8
610	5
611	3
612	4
613	5
614	9
615	3
616	9
617	6
618	4
619	5
620	4
621	4
622	5
623	8
624	7
625	4
626	4
627	9
628	11
629	6
630	6
631	3
632	4
633	4
634	3
635	4
636	5
637	11
638	6
639	5
640	5
641	2
642	10
643	7
