ID,InchiCode
1,InChI=1/C16H7N3O6/c20-17(21)12-6-2-8-1-3-10-13(18(22)23)7-14(19(24)25)11-5-4-9(12)15(8)16(10)11/h1-7H
2,InChI=1/C13H5N3O7/c17-13-9-3-6(14(18)19)1-2-8(9)12-10(13)4-7(15(20)21)5-11(12)16(22)23/h1-5H
3,InChI=1/C16H8N2O4/c19-17(20)13-8-14(18(21)22)12-7-5-10-3-1-2-9-4-6-11(13)16(12)15(9)10/h1-8H
4,InChI=1/C16H8N2O4/c19-17(20)13-8-4-10-2-6-12-14(18(21)22)7-3-9-1-5-11(13)16(10)15(9)12/h1-8H
5,InChI=1/C16H8N2O4/c19-17(20)13-7-3-9-1-2-10-4-8-14(18(21)22)12-6-5-11(13)15(9)16(10)12/h1-8H
6,InChI=1/C13H6N2O5/c16-13-11-5-7(14(17)18)1-3-9(11)10-4-2-8(15(19)20)6-12(10)13/h1-6H
7,InChI=1/C16H9NO2/c18-17(19)14-9-8-10-4-3-7-12-11-5-1-2-6-13(11)16(14)15(10)12/h1-9H
8,InChI=1/C14H9NO2/c16-15(17)14-6-5-12-7-10-3-1-2-4-11(10)8-13(12)9-14/h1-9H
9,"InChI=1/C13H8N2O4/c16-14(17)10-1-3-12-8(6-10)5-9-7-11(15(18)19)2-4-13(9)12/h1-4,6-7H,5H2"
10,InChI=1/C16H9NO2/c18-17(19)15-9-8-13-11-5-2-1-4-10(11)12-6-3-7-14(15)16(12)13/h1-9H
11,InChI=1/C16H9NO2/c18-17(19)11-7-8-12-13-5-1-3-10-4-2-6-14(16(10)13)15(12)9-11/h1-9H
12,InChI=1/C16H9NO2/c18-17(19)14-9-7-12-5-4-10-2-1-3-11-6-8-13(14)16(12)15(10)11/h1-9H
13,InChI=1/C16H9NO2/c18-17(19)14-9-3-7-12-11-6-1-4-10-5-2-8-13(15(10)11)16(12)14/h1-9H
14,InChI=1/C10H7NO2/c12-11(13)10-6-5-8-3-1-2-4-9(8)7-10/h1-7H
15,"InChI=1/C13H9NO2/c15-14(16)11-5-6-13-10(8-11)7-9-3-1-2-4-12(9)13/h1-6,8H,7H2"
16,InChI=1/C14H9NO2/c16-15(17)12-7-8-14-11(9-12)6-5-10-3-1-2-4-13(10)14/h1-9H
17,InChI=1/C10H7NO2/c12-11(13)10-7-3-5-8-4-1-2-6-9(8)10/h1-7H
18,"InChI=1/C12H9NO2/c14-13(15)11-7-6-9-5-4-8-2-1-3-10(11)12(8)9/h1-3,6-7H,4-5H2"
19,InChI=1/C6H4N2O4/c9-7(10)5-2-1-3-6(4-5)8(11)12/h1-4H
20,InChI=1/C6H3N3O6/c10-7(11)4-1-5(8(12)13)3-6(2-4)9(14)15/h1-3H
21,"InChI=1/C7H7NO2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3"
22,"InChI=1/C7H6N2O4/c1-5-3-2-4-6(8(10)11)7(5)9(12)13/h2-4H,1H3"
23,"InChI=1/C7H6N2O4/c1-5-2-3-6(8(10)11)4-7(5)9(12)13/h2-4H,1H3"
24,"InChI=1/C7H6N2O4/c1-5-4-6(8(10)11)2-3-7(5)9(12)13/h2-4H,1H3"
25,"InChI=1/C7H6N2O4/c1-5-6(8(10)11)3-2-4-7(5)9(12)13/h2-4H,1H3"
26,"InChI=1/C7H6N2O4/c1-5-2-3-6(8(10)11)7(4-5)9(12)13/h2-4H,1H3"
27,"InChI=1/C7H6N2O4/c1-5-2-6(8(10)11)4-7(3-5)9(12)13/h2-4H,1H3"
28,"InChI=1/C7H5N3O6/c1-4-2-3-5(8(11)12)7(10(15)16)6(4)9(13)14/h2-3H,1H3"
29,"InChI=1/C7H5N3O6/c1-4-2-5(8(11)12)3-6(9(13)14)7(4)10(15)16/h2-3H,1H3"
30,"InChI=1/C7H5N3O6/c1-4-5(8(11)12)2-3-6(9(13)14)7(4)10(15)16/h2-3H,1H3"
31,"InChI=1/C7H5N3O6/c1-4-2-6(9(13)14)7(10(15)16)3-5(4)8(11)12/h2-3H,1H3"
32,"InChI=1/C7H5N3O6/c1-4-6(9(13)14)2-5(8(11)12)3-7(4)10(15)16/h2-3H,1H3"
33,"InChI=1/C7H5N3O6/c1-4-2-5(8(11)12)7(10(15)16)6(3-4)9(13)14/h2-3H,1H3"
34,"InChI=1/C11H9NO2/c1-8-10-5-3-2-4-9(10)6-7-11(8)12(13)14/h2-7H,1H3"
35,"InChI=1/C11H9NO2/c1-8-6-9-4-2-3-5-10(9)7-11(8)12(13)14/h2-7H,1H3"
36,InChI=1/C10H6N2O4/c13-11(14)8-5-7-3-1-2-4-9(7)10(6-8)12(15)16/h1-6H
37,InChI=1/C10H6N2O4/c13-11(14)9-5-1-3-7-8(9)4-2-6-10(7)12(15)16/h1-6H
38,InChI=1/C10H6N2O4/c13-11(14)8-5-1-3-7-4-2-6-9(10(7)8)12(15)16/h1-6H
39,InChI=1/C13H4N4O9/c18-13-7-1-5(14(19)20)3-9(16(23)24)11(7)12-8(13)2-6(15(21)22)4-10(12)17(25)26/h1-4H
40,InChI=1/C16H9NO2/c18-17(19)14-8-12-6-4-10-2-1-3-11-5-7-13(9-14)16(12)15(10)11/h1-9H
41,InChI=1/C16H6N4O8/c21-17(22)11-5-13(19(25)26)9-3-4-10-14(20(27)28)6-12(18(23)24)8-2-1-7(11)15(9)16(8)10/h1-6H
