ID,InchiCode
1,"InChI=1S/C2H4N4/c3-2-4-1-5-6-2/h1H,(H3,3,4,5,6)"
2,"InChI=1S/C6H4ClN3/c7-4-1-2-5-6(3-4)9-10-8-5/h1-3H,(H,8,9,10)"
3,"InChI=1S/C6H5N3/c1-2-4-6-5(3-1)7-9-8-6/h1-4H,(H,7,8,9)"
4,"InChI=1S/C16H10N4O8S2/c21-20(22)10-3-1-9(2-4-10)19-17-14-6-5-12-13(16(14)18-19)7-11(29(23,24)25)8-15(12)30(26,27)28/h1-8H,(H,23,24,25)(H,26,27,28)"
5,"InChI=1S/C24H16N4O11S3/c29-28(30)17-10-8-15(22(12-17)41(34,35)36)6-5-14-7-9-16(11-21(14)40(31,32)33)27-25-20-13-23(42(37,38)39)18-3-1-2-4-19(18)24(20)26-27/h1-13H,(H,31,32,33)(H,34,35,36)(H,37,38,39)/b6-5+"
6,"InChI=1S/C4H4N6O/c5-4-6-2-1(3(11)7-4)8-10-9-2/h(H4,5,6,7,8,9,10,11)"
7,"InChI=1S/C7H7N3/c1-5-2-3-6-7(4-5)9-10-8-6/h2-4H,1H3,(H,8,9,10)"
8,"InChI=1S/C4H3N5/c1-3-4(6-2-5-1)8-9-7-3/h1-2H,(H,5,6,7,8,9)"
9,"InChI=1S/C2H3N3/c1-2-4-5-3-1/h1-2H,(H,3,4,5)"
10,"InChI=1S/C2H3N3/c1-3-2-5-4-1/h1-2H,(H,3,4,5)"
11,"InChI=1S/C2H4N4/c3-6-1-4-5-2-6/h1-2H,3H2"
12,"InChI=1S/C2H2N4O3/c7-2-3-1(4-5-2)6(8)9/h(H2,3,4,5,7)"
13,"InChI=1S/C8H9N3O/c12-6-5-11-8-4-2-1-3-7(8)9-10-11/h1-4,12H,5-6H2"
14,"InChI=1S/C8H7N3O/c12-8-9-7(10-11-8)6-4-2-1-3-5-6/h1-5H,(H2,9,10,11,12)"
15,"InChI=1S/C7H6N4O/c12-7-9-6(10-11-7)5-1-3-8-4-2-5/h1-4H,(H2,9,10,11,12)"
16,"InChI=1S/C10H11N3O/c1-12-9(11-13(2)10(12)14)8-6-4-3-5-7-8/h3-7H,1-2H3"
17,"InChI=1S/C11H13N3O/c1-3-14-10(12-13(2)11(14)15)9-7-5-4-6-8-9/h4-8H,3H2,1-2H3"
18,InChI=1S/3C6H5.C2H2N3.Sn/c3*1-2-4-6-5-3-1;1-3-2-5-4-1;/h3*1-5H;1-2H;/q;;;-1;+1
19,"InChI=1S/C11H25N6OP/c1-6-7-8-9-10-13-11(12)17(14-10)19(18,15(2)3)16(4)5/h6-9H2,1-5H3,(H2,12,13,14)"
20,"InChI=1S/C12H19N6OP/c1-16(2)20(19,17(3)4)18-12(13)14-11(15-18)10-8-6-5-7-9-10/h5-9H,1-4H3,(H2,13,14,15)"
21,"InChI=1S/C4H4N6/c5-3-2-4(7-1-6-3)9-10-8-2/h1H,(H3,5,6,7,8,9,10)"
22,"InChI=1S/C42H53N9O7/c1-26(2)18-35(39(54)57-41(3,4)5)50-24-33(44-46-50)27-19-28(21-29(20-27)37(52)48-14-16-49(17-15-48)40(55)58-42(6,7)8)34-25-51(47-45-34)36(38(53)56-9)22-30-23-43-32-13-11-10-12-31(30)32/h10-13,19-21,23-26,35-36,43H,14-18,22H2,1-9H3/t35-,36+/m0/s1"
23,"InChI=1S/C16H13N3O3S/c20-12-7-6-11(8-13(12)21)14(22)9-23-16-17-15(18-19-16)10-4-2-1-3-5-10/h1-8,20-21H,9H2,(H,17,18,19)"
24,"InChI=1S/C2H5N5/c3-1-5-2(4)7-6-1/h(H5,3,4,5,6,7)"
25,"InChI=1S/C4H3N5O2/c10-3-1-2(8-9-7-1)5-4(11)6-3/h(H3,5,6,7,8,9,10,11)"
26,"InChI=1S/C7H6N4O4/c1-10-7(12)8-6(9-10)4-2-3-5(15-4)11(13)14/h2-3H,1H3,(H,8,9,12)"
27,"InChI=1S/C8H7N3/c1-2-4-7(5-3-1)8-6-9-11-10-8/h1-6H,(H,9,10,11)"
28,"InChI=1S/C8H7N5O4/c1-4(14)9-8-10-7(11-12-8)5-2-3-6(17-5)13(15)16/h2-3H,1H3,(H2,9,10,11,12,14)"
29,"InChI=1S/C6H4N4O2/c11-10(12)4-1-2-5-6(3-4)8-9-7-5/h1-3H,(H,7,8,9)"
30,"InChI=1S/C13H11N3O/c1-9-6-7-13(17)12(8-9)16-14-10-4-2-3-5-11(10)15-16/h2-8,17H,1H3"
31,"InChI=1S/C6H5N3O/c10-9-6-4-2-1-3-5(6)7-8-9/h1-4,10H"
32,"InChI=1S/C4H3N5O/c10-4-2-3(5-1-6-4)8-9-7-2/h1H,(H2,5,6,7,8,9,10)"
33,"InChI=1S/C24H33N3O/c1-2-3-4-5-6-7-8-9-10-11-14-20-17-18-24(28)23(19-20)27-25-21-15-12-13-16-22(21)26-27/h12-13,15-19,28H,2-11,14H2,1H3"
34,"InChI=1S/C20H25N3O/c1-19(2,3)13-20(4,5)14-10-11-18(24)17(12-14)23-21-15-8-6-7-9-16(15)22-23/h6-12,24H,13H2,1-5H3"
35,"InChI=1S/C16H17N3O/c1-16(2,3)11-8-9-15(20)14(10-11)19-17-12-6-4-5-7-13(12)18-19/h4-10,20H,1-3H3"
36,"InChI=1S/C2H3N3O2/c6-1-3-2(7)5-4-1/h(H3,3,4,5,6,7)"
37,"InChI=1S/C8H9N5/c9-7-11-8(13-12-7)10-6-4-2-1-3-5-6/h1-5H,(H4,9,10,11,12,13)"
