Compound Id	Number of carbon-carbon links
1	0
2	3
3	3
4	10
5	15
6	1
7	4
8	2
9	1
10	0
11	0
12	0
13	4
14	4
15	3
16	4
17	5
18	9
19	5
20	4
21	1
22	26
23	9
24	0
25	1
26	2
27	5
28	3
29	4
30	8
31	3
32	2
33	19
34	15
35	11
36	0
37	3
38	16
39	4
40	1
41	4
42	5
43	4
44	5
45	3
46	3
47	8
48	3
49	3
50	15
51	15
52	12
53	6
54	1
55	4
56	4
57	1
58	1
59	4
60	6
61	5
62	16
63	6
64	5
65	4
66	4
67	6
68	0
69	18
70	1
71	0
72	2
73	3
74	3
75	2
76	2
77	3
78	3
79	0
80	3
81	3
82	4
83	9
84	8
85	16
86	4
87	4
88	7
89	15
90	9
91	3
92	0
93	2
94	7
95	5
96	2
97	17
98	0
99	6
100	5
101	4
102	6
103	10
104	10
105	0
106	5
107	9
108	13
109	5
110	8
111	3
112	8
113	12
114	7
115	9
116	4
117	15
118	5
119	9
120	4
121	2
122	10
123	18
124	2
125	3
126	3
127	4
128	2
129	2
130	4
131	2
132	4
133	2
134	2
135	2
136	2
137	2
138	4
139	2
140	4
141	8
142	8
143	11
144	3
145	10
146	10
147	13
148	8
149	8
150	10
151	10
152	10
153	10
154	10
155	9
156	10
157	8
158	12
159	8
160	2
161	9
162	5
163	5
164	8
165	2
166	8
167	8
168	5
169	5
170	5
171	10
172	6
173	9
174	8
175	5
176	5
177	15
178	10
179	7
180	3
181	3
182	6
183	8
184	8
185	6
186	9
187	12
188	5
189	5
190	8
191	11
192	8
193	21
194	8
195	10
196	9
197	9
198	10
199	4
200	7
201	5
202	4
203	4
204	2
205	7
206	3
207	4
208	5
209	1
210	4
211	3
212	4
213	11
214	1
215	0
216	11
217	2
218	5
219	3
220	4
221	9
222	17
223	6
224	6
225	18
226	18
227	7
228	7
229	8
230	7
231	8
232	9
233	10
234	9
235	8
236	21
237	21
238	14
239	13
240	9
241	9
242	6
243	15
244	6
245	8
246	10
247	8
248	6
249	18
250	11
251	3
252	10
253	8
254	6
255	9
256	8
257	9
258	10
259	8
260	7
261	9
262	8
263	8
264	9
265	8
266	8
267	9
268	11
269	9
270	11
271	12
272	13
273	11
274	14
275	9
276	10
277	9
278	8
279	8
280	7
281	9
282	7
283	8
284	7
285	8
286	9
287	11
288	9
289	9
290	10
291	10
292	13
293	12
294	11
295	9
296	13
297	5
298	7
299	7
300	6
301	5
302	32
303	9
304	2
305	10
306	11
307	6
308	7
309	10
310	12
311	8
312	11
313	10
314	4
315	13
316	14
317	20
318	8
319	20
320	12
321	8
322	11
323	6
324	12
325	7
326	13
327	14
328	17
329	5
330	13
331	12
332	12
333	12
334	12
335	14
336	13
337	13
338	13
339	13
340	14
341	13
342	13
343	12
344	11
345	11
346	11
347	13
348	12
349	12
350	12
351	12
352	6
353	5
354	4
355	6
356	7
357	6
358	6
359	10
360	8
361	6
362	3
363	5
364	4
365	11
366	6
367	13
368	6
369	6
370	9
371	10
372	11
373	7
374	12
375	12
376	8
377	4
378	4
379	4
380	12
381	12
382	4
383	9
384	12
385	5
386	10
387	4
388	0
389	3
390	3
391	3
392	1
393	7
394	9
395	4
396	4
397	5
398	9
399	10
400	3
401	5
402	4
403	10
404	9
